block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic
block_2,intervals_24_decimal6,antipodal_equal_k6,6.0,0.19903037969705942,-0.03594851320646427,-0.1501568639902435,0.1544000628404659,-1.8057799546267033,-103.4635701294354,1,-103.4635701294354,0.22996771607359065,-0.056325265148122104,0.23676504372501836,-0.2401982508794687,-13.76234602181807,1,-13.76234602181807,0.5462962962962963,0.45370370370370366,0.7267777127781917,nats,0,0,0,0.018154164137188677,0.1851851851851852,0.20197076907614417,0.18518518518518517,1.022566608282835,0.6831504926986722,0,14
block_2,intervals_24_decimal6,asymmetric_w075_sep2_k6,6.0,0.03486181240805586,0.23881609969383288,-0.17164924990919656,0.2941030337608991,-0.6231998220921798,-35.70671959918567,1,-35.70671959918567,-0.22628642174620633,-0.1274886244478844,0.2597285006123041,-2.6285236193921193,-150.60330974162,1,-150.60330974162,0.9930555555555556,0.006944444444444444,0.526908590131867,nats,0,0,0,0.018855774686847755,0.03472222222222223,0.025003796409457955,0.03472222222222223,-0.5123439287509586,2.0373911448298276,0,14
block_2,intervals_24_decimal6,sparse_N8_unimodal_k6,6.0,0.3478770461227661,0.16977464335576697,-0.009016038376620034,0.17001387730002088,-0.053056079040474435,-3.0398894065316915,1,-3.0398894065316915,0.2359233236042985,-0.23719547282376824,0.33454671863372015,-0.788087014830167,-45.15405983883249,1,-45.15405983883249,0.8865740740740741,0.11342592592592594,0.47655938277311666,nats,0,0,0,0.011832358698130652,0.34490740740740744,0.3509438170939406,0.3449074074074074,1.498340125375306,4.077012777281065,0,10
block_2,intervals_24_decimal6,sparse_N16_antipodal_k6,6.0,0.02038187464402289,0.0002146100946023776,-0.12244674611497061,0.12244693418635183,nan,nan,0,-89.89957887440161,-0.02901875908724856,0.004953202262464254,0.029438454300738208,nan,nan,0,170.313554085131,0.6226851851851851,0.3773148148148148,0.7184939559785509,nats,0,0,0,0.008860921677403537,0.016203703703703703,0.01491190552953035,0.0162037037037037,-0.16297894494383275,2.3991989905245457,1,18
block_2,moments_m1_m3,unimodal_k9,9.0,-0.04417039202969003,0.974769724543955,0.02833527918019289,0.9751814723084712,0.029060506818588298,1.6650443912162605,1,1.6650443912162605,0.41505805194256484,0.08332339628244721,0.4233390778683189,0.19811774985100358,11.3513109130911,1,11.3513109130911,1.0,0.0,0.20320909832775721,nats,0,1,1,0.01914817973820711,-0.02777777777777779,-0.04025144260679684,-0.02777777777777779,4.180940042597582,5.743070926263231,0,4
block_2,moments_m1_m3,bimodal_equal_sep2_k6,6.0,0.04136689412313599,1.1220609359070668,0.02589321001095575,1.1223596581369601,0.023072379049641913,1.3219499428705428,1,1.3219499428705428,0.17379207498334925,-0.03413650127876113,0.17711291891494801,-0.19395234530361627,-11.112650812561206,1,-11.112650812561206,1.0,0.0,0.15973830651481277,nats,0,1,1,0.0062661282872367025,0.03703703703703706,0.03887728995504368,0.03703703703703704,3.6354988028116133,5.400138391967675,0,5
block_2,moments_m1_m3,antipodal_equal_k6,6.0,0.010529120851391455,-0.0022683385573644935,-0.022305436046837556,0.022420478073635865,nan,nan,0,-95.8066992667955,0.08413594211113087,0.03376198855146043,0.09065720393811244,nan,nan,0,21.864556225071805,0.06944444444444445,0.9305555555555556,0.14355209778362207,nats,0,0,0,0.005238859952982549,0.013888888888888888,0.011415448439289154,0.013888888888888886,0.29479674084570323,0.32661912305571855,0,26
block_2,moments_m1_m3,asymmetric_w075_sep2_k6,6.0,0.030960182180008067,0.7208044603547173,-0.6803863172141519,0.9912036171844268,-0.7565605923951078,-43.34772889015704,1,-43.34772889015704,0.10048722759511626,-0.4492660632155324,0.46036689549416504,-1.3507483966286515,-77.39218231088469,1,-77.39218231088469,1.0,0.0,0.1734382193094538,nats,0,1,1,0.009070065435349793,0.03240740740740741,0.03296580009926689,0.0324074074074074,-0.8140834704865402,1.737006993599239,1,10
block_2,moments_m1_m3,sparse_N8_unimodal_k6,6.0,0.14280002392746166,0.9945282216471019,-0.28595537148167116,1.0348221384043577,-0.2799762985047819,-16.041460268018902,1,-16.041460268018902,0.4121564246445171,0.17531471438156607,0.4478930312635391,0.4021752385837824,23.042943795517676,1,23.042943795517676,1.0,0.0,0.15638709360645972,nats,0,1,1,0.006468021326671375,0.14351851851851852,0.1423601616282017,0.14351851851851852,4.149345384205911,5.864330065177809,0,4
block_2,moments_m1_m3,sparse_N16_antipodal_k6,6.0,-0.0005566550286185773,-0.005656808906360265,0.0019322075718144127,0.005977701322720445,nan,nan,0,161.14126923355695,0.0534687365036615,0.020122493264368938,0.05712985662919658,nan,nan,0,20.623391052201537,0.04166666666666666,0.9583333333333334,0.11003314228918588,nats,0,0,0,0.0037522867897120337,-1.1564823173178713e-18,-0.0020927201940266612,1.5419764230904951e-18,0.05132713154485451,0.37471658413897097,0,30
block_2,centers_24_standard,unimodal_k9,9.0,-0.26208519931038554,-0.23037948342247933,-0.0014659138050194308,0.2303841472091606,-3.135229699738104,-179.63542959906172,1,-179.63542959906172,-0.19443152829150273,-0.05676353539954417,0.202548063789375,-2.857540995325985,-163.72503881779144,1,-163.72503881779144,0.9861111111111112,0.013888888888888888,0.4847274316583252,nats,0,0,0,0.014950131068252881,-0.2546296296296296,-0.26272833514906835,-0.25462962962962965,1.2419807795269635,1.8477174813523631,1,16
block_2,centers_24_standard,bimodal_equal_sep2_k6,6.0,-0.06344914597974702,0.7758044300913342,0.24917189885425278,0.8148368848597698,0.31077183843141887,17.805914733641817,1,17.805914733641817,-0.21309031776104226,0.09698515399367379,0.2341230523008757,2.7144755370821843,155.52799186631654,1,155.52799186631654,0.9907407407407407,0.009259259259259259,0.39687171296614515,nats,0,0,0,0.009295128367029795,-0.06944444444444445,-0.06916195854495678,-0.06944444444444445,-0.4474419970847209,3.59098992440288,1,9
block_2,centers_24_standard,antipodal_equal_k6,6.0,0.1493686289179815,0.05342224652899054,-0.040347291249200695,0.0669465483453185,nan,nan,0,-37.06202214190383,0.058733747463875476,0.015377939497693104,0.06071354144130458,nan,nan,0,14.6720945390856,0.34259259259259256,0.6574074074074073,0.5390084004667814,nats,0,0,0,0.00760313561448181,0.1527777777777778,0.151362936580544,0.1527777777777778,0.3466020598407347,1.588932037678032,1,12
block_2,centers_24_standard,asymmetric_w075_sep2_k6,6.0,-0.34094314374974616,0.4743216903311585,-0.4737357756032412,0.670377991140082,-0.7847801474286121,-44.964590293314,1,-44.964590293314,-0.13673021967304047,0.07661008357811908,0.1567298882717789,2.6308751932617582,150.73804499956356,1,150.73804499956356,0.988425925925926,0.011574074074074073,0.3784298295150209,nats,0,0,0,0.038556803935298256,-0.3310185185185186,-0.35400333930390837,-0.3310185185185185,-0.17148230453039282,1.1414958028407316,1,6
block_2,centers_24_standard,sparse_N8_unimodal_k6,6.0,0.0390691859616807,-0.6685802334426666,0.14161640422264646,0.6834140286057951,2.9328612072585094,168.040569073556,1,168.040569073556,0.0020478031482451756,-0.06508787541820532,0.06512008157388763,nan,nan,0,-88.19794721995825,0.9074074074074073,0.0925925925925926,0.4450787523342442,nats,0,0,0,0.012052459255433592,0.046296296296296294,0.0418808066489557,0.046296296296296294,1.0117311601395487,1.6708535248560827,1,13
block_2,centers_24_standard,sparse_N16_antipodal_k6,6.0,-0.11416531393304222,-0.010724031975023283,-0.0040268214295337175,0.011455136517155688,nan,nan,0,-159.419089145034,0.31325852683081673,0.0942936104854593,0.3271424607271227,0.2923821508912298,16.75226325102467,1,16.75226325102467,0.5347222222222222,0.4652777777777778,0.6221683530050991,nats,0,0,0,0.015421371809330772,-0.12268518518518517,-0.11763775329036931,-0.12268518518518517,0.7837145157028764,0.8332559321427623,0,14
