run_id,n_agents,coupling,seed_index,t_bin,log_loss,brier,pred_stay,obs_stay,mean_r1_bin
N9_K+0.15_s3,9,0.15,3,t0_9,0.6123678198050168,0.3537456151846281,0.11496279316680966,0.0,0.5441552497761043
N9_K+0.15_s3,9,0.15,3,t10_19,0.443975145744837,0.21044201093926063,0.0764927565951984,0.05555555555555555,0.9822470022433724
N9_K+0.15_s3,9,0.15,3,t20_29,0.46658731581537977,0.21637416495828216,0.07018206736196358,0.07777777777777778,0.9965439883367079
N9_K+0.15_s3,9,0.15,3,t30_39,0.4851055534451191,0.22547473473606222,0.07394003034752192,0.08888888888888889,0.995756197353985
N17_K-0.15_s0,17,-0.15,0,t0_9,0.7373728065633757,0.4541363543577586,0.11894253261202263,0.0,0.04878496649227535
N17_K-0.15_s0,17,-0.15,0,t10_19,0.8666614223422451,0.5454792923909356,0.15985559286146725,0.0,0.04041997364807843
N17_K-0.15_s0,17,-0.15,0,t20_29,0.8800554697484405,0.5529502723527283,0.16765677674815493,0.0,0.037522916100787534
N17_K-0.15_s0,17,-0.15,0,t30_39,0.8222409222864608,0.5207942216168915,0.13224330463987416,0.0,0.020087630850965665
N17_K-0.15_s1,17,-0.15,1,t0_9,0.8457769691201652,0.530259914384609,0.1427333076341459,0.0058823529411764705,0.04219704611451877
N17_K-0.15_s1,17,-0.15,1,t10_19,0.858000834467226,0.5463091261360218,0.1525755158173908,0.0,0.027145428834481407
N17_K-0.15_s1,17,-0.15,1,t20_29,0.8687469147391701,0.5540183479653936,0.14812808944092462,0.0,0.039857452445458616
N17_K-0.15_s1,17,-0.15,1,t30_39,0.8329326974415098,0.5273013677286327,0.1333723770884391,0.0,0.03296756707361172
N17_K-0.15_s2,17,-0.15,2,t0_9,0.7827217017501611,0.4930983895602454,0.11251316494342968,0.0,0.06892176832220472
N17_K-0.15_s2,17,-0.15,2,t10_19,0.8122402571242819,0.5094324529482279,0.12659824751775037,0.0058823529411764705,0.03395083970045999
N17_K-0.15_s2,17,-0.15,2,t20_29,0.9067523405406318,0.5721811973730825,0.17971120036314567,0.0,0.03793634915607828
N17_K-0.15_s2,17,-0.15,2,t30_39,0.916662927513597,0.5771442509433795,0.17640070776047706,0.011764705882352941,0.03356055831282087
N17_K-0.15_s3,17,-0.15,3,t0_9,0.7997211357530798,0.5010840803332084,0.13180657922820116,0.0,0.0731143659401977
N17_K-0.15_s3,17,-0.15,3,t10_19,0.8707171558175175,0.5474372523441086,0.16848590493116744,0.011764705882352941,0.037196868599701255
N17_K-0.15_s3,17,-0.15,3,t20_29,0.8294430613279746,0.5245373804481515,0.14027694638028176,0.0,0.022178640915727545
N17_K-0.15_s3,17,-0.15,3,t30_39,0.8421176042683441,0.5298209014270692,0.1415159733979702,0.0058823529411764705,0.03536493116045562
