block,representation,profile,concentration,estimator,a0
block_2,intervals_24_decimal6,kappa_4,4.0,fourier_M6,-0.06889235819551229
block_2,intervals_24_decimal6,kappa_4,4.0,fourier_M8,-0.06608697435849367
block_2,intervals_24_decimal6,kappa_4,4.0,fourier_M12,-0.055171834565295175
block_2,intervals_24_decimal6,kappa_4,4.0,unweighted_mean_g,-0.0787037037037037
block_2,intervals_24_decimal6,kappa_4,4.0,density_weighted_mean_g,-0.06310685721781556
block_2,intervals_24_decimal6,kappa_4,4.0,mirror_even_mean_g,-0.0787037037037037
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M2,-0.09092123550473818
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M4,-0.08188097662478047
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M6,-0.07823986578881956
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M8,-0.07674655677402481
block_2,intervals_24_decimal6,kappa_6,6.0,fourier_M12,-0.06778875993226405
block_2,intervals_24_decimal6,kappa_6,6.0,unweighted_mean_g,-0.08912037037037036
block_2,intervals_24_decimal6,kappa_6,6.0,density_weighted_mean_g,-0.0741602442358036
block_2,intervals_24_decimal6,kappa_6,6.0,mirror_even_mean_g,-0.08912037037037038
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M2,-0.09095026852968031
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M4,-0.08116774079859582
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M6,-0.07755253842646051
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M8,-0.07972551670000003
block_2,intervals_24_decimal6,kappa_9,9.0,fourier_M12,-0.07747797218257585
block_2,intervals_24_decimal6,kappa_9,9.0,unweighted_mean_g,-0.08912037037037038
block_2,intervals_24_decimal6,kappa_9,9.0,density_weighted_mean_g,-0.07790579864954486
block_2,intervals_24_decimal6,kappa_9,9.0,mirror_even_mean_g,-0.08912037037037038
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M2,-0.05380472274602436
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M4,-0.047565939816490474
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M6,-0.043809228959742055
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M8,-0.04248938046290893
block_2,intervals_24_decimal6,kappa_12,12.0,fourier_M12,-0.03893986635736312
block_2,intervals_24_decimal6,kappa_12,12.0,unweighted_mean_g,-0.053240740740740734
block_2,intervals_24_decimal6,kappa_12,12.0,density_weighted_mean_g,-0.04136933744128421
block_2,intervals_24_decimal6,kappa_12,12.0,mirror_even_mean_g,-0.053240740740740734
block_2,moments_m1_m3,kappa_2,2.0,fourier_M2,0.033763199514967916
block_2,moments_m1_m3,kappa_2,2.0,fourier_M4,0.0386063560437985
block_2,moments_m1_m3,kappa_2,2.0,fourier_M6,0.039578409654097285
block_2,moments_m1_m3,kappa_2,2.0,fourier_M8,0.03514496796825825
block_2,moments_m1_m3,kappa_2,2.0,fourier_M12,0.035505085549666845
block_2,moments_m1_m3,kappa_2,2.0,unweighted_mean_g,0.03125
block_2,moments_m1_m3,kappa_2,2.0,density_weighted_mean_g,0.03346636449026609
block_2,moments_m1_m3,kappa_2,2.0,mirror_even_mean_g,0.03125
block_2,moments_m1_m3,kappa_4,4.0,fourier_M2,-0.002275947038800766
block_2,moments_m1_m3,kappa_4,4.0,fourier_M4,-0.0019213229047857574
block_2,moments_m1_m3,kappa_4,4.0,fourier_M6,-0.0033004617331201013
block_2,moments_m1_m3,kappa_4,4.0,fourier_M8,-0.00938627341854617
block_2,moments_m1_m3,kappa_4,4.0,fourier_M12,-0.0044343632236803114
block_2,moments_m1_m3,kappa_4,4.0,unweighted_mean_g,-0.004629629629629638
block_2,moments_m1_m3,kappa_4,4.0,density_weighted_mean_g,-0.005923187529024812
block_2,moments_m1_m3,kappa_4,4.0,mirror_even_mean_g,-0.004629629629629638
block_2,moments_m1_m3,kappa_6,6.0,fourier_M2,-0.013825053048402704
block_2,moments_m1_m3,kappa_6,6.0,fourier_M4,-0.01522181115401905
block_2,moments_m1_m3,kappa_6,6.0,fourier_M6,-0.01675205725309588
block_2,moments_m1_m3,kappa_6,6.0,fourier_M8,-0.024141669397679595
block_2,moments_m1_m3,kappa_6,6.0,fourier_M12,-0.016804572790098407
block_2,moments_m1_m3,kappa_6,6.0,unweighted_mean_g,-0.016203703703703696
block_2,moments_m1_m3,kappa_6,6.0,density_weighted_mean_g,-0.019208680771119754
block_2,moments_m1_m3,kappa_6,6.0,mirror_even_mean_g,-0.016203703703703696
block_2,moments_m1_m3,kappa_9,9.0,fourier_M2,0.030190980738788183
block_2,moments_m1_m3,kappa_9,9.0,fourier_M4,0.03507964225777982
block_2,moments_m1_m3,kappa_9,9.0,fourier_M6,0.03374519474510263
block_2,moments_m1_m3,kappa_9,9.0,fourier_M8,0.032391104222415854
block_2,moments_m1_m3,kappa_9,9.0,fourier_M12,0.031812696128085405
block_2,moments_m1_m3,kappa_9,9.0,unweighted_mean_g,0.027777777777777776
block_2,moments_m1_m3,kappa_9,9.0,density_weighted_mean_g,0.032375501131176675
block_2,moments_m1_m3,kappa_9,9.0,mirror_even_mean_g,0.027777777777777776
block_2,moments_m1_m3,kappa_12,12.0,fourier_M2,0.05347115622036445
block_2,moments_m1_m3,kappa_12,12.0,fourier_M4,0.0610848181645726
block_2,moments_m1_m3,kappa_12,12.0,fourier_M6,0.06203779467421467
block_2,moments_m1_m3,kappa_12,12.0,fourier_M8,0.06054162798797156
block_2,moments_m1_m3,kappa_12,12.0,fourier_M12,0.05749178626761971
block_2,moments_m1_m3,kappa_12,12.0,unweighted_mean_g,0.050925925925925944
block_2,moments_m1_m3,kappa_12,12.0,density_weighted_mean_g,0.05677033407000145
block_2,moments_m1_m3,kappa_12,12.0,mirror_even_mean_g,0.050925925925925944
block_2,centers_24_standard,kappa_2,2.0,fourier_M2,-0.03289041792939416
block_2,centers_24_standard,kappa_2,2.0,fourier_M4,-0.028599701214267824
block_2,centers_24_standard,kappa_2,2.0,fourier_M6,-0.02581923918532935
block_2,centers_24_standard,kappa_2,2.0,fourier_M8,-0.02555940142228351
block_2,centers_24_standard,kappa_2,2.0,fourier_M12,-0.016805154851552182
block_2,centers_24_standard,kappa_2,2.0,unweighted_mean_g,-0.032407407407407406
block_2,centers_24_standard,kappa_2,2.0,density_weighted_mean_g,-0.02200957324198147
block_2,centers_24_standard,kappa_2,2.0,mirror_even_mean_g,-0.032407407407407406
block_2,centers_24_standard,kappa_4,4.0,fourier_M2,-0.11351050422396469
block_2,centers_24_standard,kappa_4,4.0,fourier_M4,-0.10214037001913434
block_2,centers_24_standard,kappa_4,4.0,fourier_M6,-0.09843622786204166
block_2,centers_24_standard,kappa_4,4.0,fourier_M8,-0.09973074541132544
block_2,centers_24_standard,kappa_4,4.0,fourier_M12,-0.09404769084205475
block_2,centers_24_standard,kappa_4,4.0,unweighted_mean_g,-0.1111111111111111
block_2,centers_24_standard,kappa_4,4.0,density_weighted_mean_g,-0.09716471320785017
block_2,centers_24_standard,kappa_4,4.0,mirror_even_mean_g,-0.1111111111111111
block_2,centers_24_standard,kappa_6,6.0,fourier_M2,-0.11351050422396469
block_2,centers_24_standard,kappa_6,6.0,fourier_M4,-0.10214037001913434
block_2,centers_24_standard,kappa_6,6.0,fourier_M6,-0.09843622786204166
block_2,centers_24_standard,kappa_6,6.0,fourier_M8,-0.09973074541132544
block_2,centers_24_standard,kappa_6,6.0,fourier_M12,-0.09404769084205475
block_2,centers_24_standard,kappa_6,6.0,unweighted_mean_g,-0.1111111111111111
block_2,centers_24_standard,kappa_6,6.0,density_weighted_mean_g,-0.09716471320785017
block_2,centers_24_standard,kappa_6,6.0,mirror_even_mean_g,-0.1111111111111111
block_2,centers_24_standard,kappa_9,9.0,fourier_M2,-0.01219438677141953
block_2,centers_24_standard,kappa_9,9.0,fourier_M4,-0.008513551905277169
block_2,centers_24_standard,kappa_9,9.0,fourier_M6,-0.005672768987369651
