run_id,n_agents,coupling,seed_index,t_bin,log_loss,brier,pred_stay,obs_stay,mean_r1_bin
N17_K-0.15_s1,17,-0.15,1,t20_29,0.8599568544126395,0.5466451339339267,0.1513646289385328,0.0,0.026393298204055688
N17_K-0.15_s1,17,-0.15,1,t30_39,0.8884551439136954,0.5609529736306492,0.16434175340507923,0.0058823529411764705,0.035262160848838923
N17_K+0_s0,17,0.0,0,t0_9,0.7001885051808382,0.42880564383294817,0.09820678162020542,0.0,0.14297040326141117
N17_K+0_s0,17,0.0,0,t10_19,0.692303019580412,0.41938457813842195,0.1005146695033508,0.0,0.2217655867443704
N17_K+0_s0,17,0.0,0,t20_29,0.673587150530099,0.4044214441738896,0.10018382371240145,0.0,0.2753701021033744
N17_K+0_s0,17,0.0,0,t30_39,0.6558927929435004,0.38844206897319405,0.10011029413254285,0.0,0.28843377867105513
N17_K+0_s1,17,0.0,1,t0_9,0.7230641136779048,0.44844712178405344,0.1002757306728022,0.0,0.12220715786847983
N17_K+0_s1,17,0.0,1,t10_19,0.7837515069358173,0.48302320224793255,0.1303645392626528,0.01764705882352941,0.09962929581142008
N17_K+0_s1,17,0.0,1,t20_29,0.9146001588053604,0.5598942290391535,0.20586273734825702,0.03529411764705882,0.06999339902776525
N17_K+0_s1,17,0.0,1,t30_39,0.9826182472483762,0.6077427480409708,0.22139980778398263,0.011764705882352941,0.03916054550877258
N17_K+0.15_s0,17,0.15,0,t0_9,0.4417504752004623,0.21869901261197242,0.12061321777210385,0.0,0.5925150338988268
N17_K+0.15_s0,17,0.15,0,t10_19,0.5554856151987058,0.28992315080675385,0.14896772085248625,0.01764705882352941,0.9195067839414033
N17_K+0.15_s0,17,0.15,0,t20_29,0.46125482729546263,0.21913200418847634,0.13963068011481075,0.023529411764705882,0.9871547694129233
N17_K+0.15_s0,17,0.15,0,t30_39,0.4655364693168859,0.21969579963363248,0.13965877036480726,0.029411764705882353,0.9954365436526798
N17_K+0.15_s1,17,0.15,1,t0_9,0.5476099440205472,0.3075317105551663,0.10215917556130477,0.0,0.4052115087183047
N17_K+0.15_s1,17,0.15,1,t10_19,0.7438336650058178,0.43127223603723436,0.13500265805220324,0.0,0.7763412674183703
N17_K+0.15_s1,17,0.15,1,t20_29,0.47285145306726906,0.22843042439932357,0.14117329871842293,0.029411764705882353,0.9832138358928784
N17_K+0.15_s1,17,0.15,1,t30_39,0.4789740537240636,0.22639647489604386,0.13966018833179183,0.047058823529411764,0.9958154805067789
