representation,scheme,d_shape,d_native,local_density,u_ensemble,d_orientation,policy_a,g_peer,e_tv,peer_count,bin_sparsity
intervals_24_decimal6,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.759112256831721,0.0,0,0.03846205843511473,8,0.25
intervals_24_decimal6,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.871042018201396,0.0,0,0.0863739150278813,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,6.573410950211446,0.0,0,0.30124351447803455,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.320124039086971,0.0,0.187965542279277,0.0,4.286431857864393,0.0,0,0.3112120135592224,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,3.559208534092515,0.0,0,0.1516489403485981,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,4.09576819499798,0.0,0.244154442436773,0.0,3.0127922102547893,0.0,0,0.24559894633812016,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.320124039086968,0.0,0.18796554227927711,0.0,4.286431857864392,0.0,0,0.31664837836479987,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997984,0.0,0.24415444243677278,0.0,4.125206501993282,0.0,0,0.07503134746847798,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.320124039086968,0.0,0.18796554227927711,0.0,4.286431857864392,0.0,0,0.09028457013713653,8,0.25
intervals_24_decimal6,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.574038321541296,0.0,0,0.32984625926213756,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997976,0.0,0.24415444243677328,0.0,4.428477605390762,0.0,0,0.10497216981321797,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.0957681949979845,0.0,0.24415444243677273,0.0,5.449138079279118,0.0,0,0.14786605605623315,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,5.6909331062729915,0.0,0,0.2138834721978164,8,0.25
intervals_24_decimal6,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,6.795514797274828,0.0,0,0.03846153846182715,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,6.910621721543897,0.0,0,0.2939178840529878,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,6.0489870870588645,0.0,0,0.2351661231302466,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.095768194997988,0.0,0.24415444243677253,0.0,6.7001971472552615,0.0,0,0.209036463637165,8,0.20833333333333334
intervals_24_decimal6,acquisition_block_holdout,4.095768194997973,0.0,0.24415444243677342,0.0,5.765311034531617,0.0,0,0.19610531588809826,8,0.25
intervals_24_decimal6,acquisition_block_holdout,5.320124039086971,0.0,0.187965542279277,0.0,5.94725068213933,0.0,0,0.09209639256719837,8,0.25
intervals_24_decimal6,acquisition_block_holdout,4.09576819499798,0.0,0.244154442436773,0.0,7.044367542544591,0.0,0,0.08975700564749192,8,0.20833333333333334
