block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic,feature_axis,feature_value
feature_block_1,intervals_n30_d6_o0,kappa_12,12.0,-0.11281059486777856,0.7119683242772042,0.2610034986981367,0.7583018667435538,0.35138096402120145,20.13264623965307,1,20.13264623965307,0.20714129562660566,0.04635070224027057,0.21226376033613242,nan,nan,0,12.612943981922896,0.9537037037037036,0.046296296296296294,0.27595942586268946,nats,0,0,0,0.013706192148708607,-0.12037037037037036,-0.12083246367061366,-0.12037037037037036,3.557124352873993,5.634527152724139,0,9,bin_count,30.0
feature_block_1,intervals_n36_d6_o0,kappa_2,2.0,-0.34068081891293034,0.8135386771792148,0.39973699441416205,0.9064407559072873,0.4567084127152795,26.16746451670446,1,26.16746451670446,0.32456117590834704,-0.11573303784343124,0.3445781376632564,-0.34252743699963034,-19.625376507512016,1,-19.625376507512016,0.9814814814814814,0.018518518518518517,0.18698552903914434,nats,0,0,0,0.01977106741405288,-0.3425925925925926,-0.34807519594841907,-0.34259259259259256,3.08567780214544,3.7109912102842912,0,7,bin_count,36.0
feature_block_1,intervals_n36_d6_o0,kappa_6,6.0,-0.4064431866178846,0.698679484645078,0.34202675650624526,0.7779044442796905,0.45523910781871896,26.083279547313634,1,26.083279547313634,0.3286871815843762,-0.006482101757295322,0.3287510927450624,-0.019718632077637153,-1.1297943958198908,1,-1.1297943958198908,1.0,0.0,0.15570210896113845,nats,0,1,1,0.01910018018398557,-0.3888888888888889,-0.4102307514962428,-0.38888888888888895,4.300549931108667,5.289595595107135,0,7,bin_count,36.0
feature_block_1,intervals_n36_d6_o0,kappa_9,9.0,-0.38303069144870816,0.5408705063312388,0.30462099855050606,0.6207534594159891,0.5129248830736232,29.388431007359845,1,29.388431007359845,0.2105940583483822,0.0688433691834263,0.22156097781912623,nan,nan,0,18.102610643929395,0.9768518518518517,0.023148148148148147,0.34817346774849117,nats,0,0,0,0.01673175525184334,-0.3842592592592593,-0.3873201855922361,-0.38425925925925924,1.5016465412644107,4.516648738213732,0,9,bin_count,36.0
feature_block_1,intervals_n36_d6_o0,kappa_12,12.0,-0.33585398773472486,0.7628298253526898,0.35680040253308326,0.842149553045886,0.437502139260635,25.06702610757918,1,25.06702610757918,0.2636043703344638,0.01886429305593951,0.26427850009399084,0.07144110968884841,4.093274068902188,1,4.093274068902188,0.9907407407407407,0.009259259259259259,0.2890038511142155,nats,0,0,0,0.028273259669166773,-0.33333333333333326,-0.35029809906788323,-0.3333333333333333,2.1893272238095776,2.3651280329861635,0,7,bin_count,36.0
feature_block_1,intervals_n48_d6_o0,kappa_2,2.0,-0.020563483444506425,1.1240636696320814,0.10380751393518274,1.1288468157089093,0.09208900539961405,5.276311348955335,1,5.276311348955335,0.19451652848117057,0.0032954779286681114,0.19454444229312842,nan,nan,0,0.9706060258343033,0.9953703703703702,0.004629629629629629,0.1858157533946272,nats,0,0,0,0.009917714802336433,-0.013888888888888878,-0.02042631739061273,-0.013888888888888881,3.2648462366004773,4.189656282257355,0,6,bin_count,48.0
feature_block_1,intervals_n48_d6_o0,kappa_6,6.0,-0.2281103103481679,0.9070148148233097,0.5189466167568778,1.0449791698174526,0.5196882052963716,29.77594082621037,1,29.77594082621037,0.42742607192587556,-0.09514074638849382,0.43788675315124964,-0.21901933797010878,-12.548883697436612,1,-12.548883697436612,1.0,0.0,0.12970952139853884,nats,0,1,1,0.03500931950980074,-0.21296296296296297,-0.2355380768238838,-0.21296296296296297,2.7264789506001974,6.0658927345895375,0,5,bin_count,48.0
feature_block_1,intervals_n48_d6_o0,kappa_9,9.0,-0.27318894745236805,0.9218439801731342,0.32342704618511825,0.976934684605617,0.3374300079526681,19.333315336753685,1,19.333315336753685,0.3502756973564469,-0.05127843582287729,0.3540092401887077,-0.14536193550705834,-8.328625406407307,1,-8.328625406407307,0.9814814814814815,0.018518518518518517,0.2213434392752014,nats,0,0,0,0.021901071852618803,-0.25925925925925924,-0.27530228733320455,-0.2592592592592593,3.189887330766761,5.4462371488683,0,5,bin_count,48.0
feature_block_1,intervals_n48_d6_o0,kappa_12,12.0,-0.3202669186612178,0.8461934589723972,0.2952292631580177,0.8962163175442054,0.3356864847346316,19.233418814877126,1,19.233418814877126,0.32156797094418565,-0.06929885990051152,0.3289502879169911,-0.21225687886165787,-12.161423331392573,1,-12.161423331392573,1.0,0.0,0.19010259790748982,nats,0,1,1,0.01944562546240114,-0.3055555555555556,-0.32102925035027036,-0.3055555555555556,2.6544723756506743,2.62393701968843,0,7,bin_count,48.0
feature_block_1,centers_n24_d6_o0,kappa_2,2.0,-0.26204098047282454,0.7435918989733065,0.3638985226952053,0.8278593159700994,0.4551150493775087,26.076171522219312,1,26.076171522219312,-0.09048058505051612,0.06826259998494873,0.11334248465508776,nan,nan,0,142.96746487332732,0.9814814814814815,0.018518518518518517,0.2843965368372698,nats,0,0,0,0.02462853253705316,-0.2685185185185185,-0.25748431378327685,-0.26851851851851855,2.144942976150601,4.685935419810907,1,11,origin_shift,0.0
feature_block_1,centers_n24_d6_o0,kappa_6,6.0,-0.2952568139989371,0.09361588119053146,0.23149855390648977,0.24971086014003407,1.1865105332886572,67.98204590525663,1,67.98204590525663,-0.12573179821618796,0.16443303946230833,0.20699446743690822,nan,nan,0,127.40291284788672,1.0,0.0,0.432636313235543,nats,0,1,1,0.034252786011098935,-0.3148148148148148,-0.304046258073701,-0.3148148148148148,0.97963185053321,2.953873454881695,1,13,origin_shift,0.0
feature_block_1,centers_n24_d6_o0,kappa_9,9.0,-0.20757919398010521,-0.12613976101605606,0.1564659038643293,0.20097964668410898,nan,nan,0,128.87508303606214,0.22822529412059037,0.12062416079293083,0.258141381888741,0.48621109381313476,27.857843627931953,1,27.857843627931953,0.9814814814814815,0.018518518518518517,0.3411144987706958,nats,0,0,0,0.015236240197164852,-0.2037037037037037,-0.19188512297554305,-0.20370370370370375,1.438467832912427,5.272342535848868,0,18,origin_shift,0.0
feature_block_1,centers_n24_d6_o0,kappa_12,12.0,-0.32079810684330967,-0.3119625170866785,0.16047907587346805,0.35081924955774374,2.6664774346992455,152.77790317513734,1,152.77790317513734,-0.04198593448662727,-0.17520164794454093,0.18016224947862475,nan,nan,0,-103.47641772557617,0.9675925925925929,0.03240740740740741,0.4397489664434966,nats,0,0,0,0.02755629377498714,-0.31018518518518523,-0.30712451308010996,-0.31018518518518523,-0.22852143158909421,2.5683175197888,0,13,origin_shift,0.0
feature_block_1,centers_n24_d6_o0.125,kappa_2,2.0,-0.26644835283454116,0.6099857960976285,0.03314210325328249,0.6108854806335708,0.054279212650092716,3.1099698001434213,1,3.1099698001434213,-0.24470680258536034,0.14372023332253686,0.2837902829517511,2.610551793379754,149.573599960968,1,149.573599960968,0.9953703703703705,0.004629629629629629,0.3378427477802407,nats,0,0,0,0.02756260101440211,-0.27314814814814814,-0.27840479773740934,-0.27314814814814814,0.40582326449031436,0.9365503248961564,0,15,origin_shift,0.125
feature_block_1,centers_n24_d6_o0.125,kappa_6,6.0,-0.46785024622561755,-0.09546896833274199,0.2937860198531864,0.30890864244254307,1.8849928575159949,108.00213514797144,1,108.00213514797144,0.12295778872403278,0.27083621239563094,0.2974405348178274,1.1446266499513469,65.58227616041043,1,65.58227616041043,0.9907407407407407,0.009259259259259259,0.3088696694004405,nats,0,0,0,0.028651831595185362,-0.4722222222222222,-0.4847026767548099,-0.4722222222222221,0.5960657450529497,1.6239613512902784,1,15,origin_shift,0.125
feature_block_1,centers_n24_d6_o0.125,kappa_9,9.0,-0.2810079360134184,-0.21360377240076728,0.10842237427679005,0.23954536695092882,2.6718943433762607,153.0882691803381,1,153.0882691803381,-0.01867934306982885,0.07660511796790521,0.0788496160827498,nan,nan,0,103.7035498145243,0.9907407407407409,0.009259259259259259,0.469488456882744,nats,0,0,0,0.028047657850214625,-0.28703703703703703,-0.29995668964780736,-0.28703703703703703,0.4237366422528519,1.5425168397225828,1,17,origin_shift,0.125
feature_block_1,centers_n24_d6_o0.125,kappa_12,12.0,-0.3647584756814969,-0.17472965069378546,-0.004395337951913167,0.17478492448516209,nan,nan,0,-178.5590240984433,0.04249382473144404,0.04151273975103305,0.059405662204403416,nan,nan,0,44.3308918932079,0.9675925925925927,0.03240740740740741,0.4159167734084921,nats,0,0,0,0.04954590511746354,-0.3472222222222222,-0.383080350912894,-0.34722222222222227,-0.9330381852200675,1.4438603624379636,0,15,origin_shift,0.125
