block,representation,profile,concentration,harmonic,center_a,center_b,cov_aa,cov_ab,cov_bb,axis_major,axis_minor,angle_radians,angle_degrees,contains_origin,note,feature_axis,feature_value
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,1,-0.27031415630352035,0.03678802974798294,0.004725039902374001,0.00028837266934534137,0.0053050204722963476,0.1802711309657226,0.16612366020687502,1.1794956847661355,67.58012469099255,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,3.0
feature_block_1,intervals_n24_d3_o0,kappa_9,9.0,2,0.13925934539481863,-0.1598514851989205,0.004813074622820589,0.00024801709855216747,0.004472217835783985,0.17210245865278107,0.16128621857098074,-2.657224027458423,-152.2477219941224,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,3.0
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,1,-0.20732356989728815,-0.051071876991534294,0.004415850107764333,-0.0008650085045873054,0.004452430776219219,0.17818760196341893,0.1462298499510584,2.3456237218094764,134.39433958545132,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,3.0
feature_block_1,intervals_n24_d3_o0,kappa_12,12.0,2,0.18343493979068926,-0.2090674507723375,0.004862255910800312,-0.00014215793657033077,0.004330627284308309,0.1713052377741864,0.16041617518295184,2.8960427576640684,165.93102730357936,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,3.0
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,1,0.5992202277315896,0.04735086247059156,0.004963515976012533,-0.000935609012467206,0.005620517482632755,0.19403114756146608,0.16051721094280974,2.1873632607108884,125.32668310070787,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_2,2.0,2,0.13143662042523238,-0.09485490233635874,0.005379944401917224,1.4484404629021473e-05,0.0045577993094066275,0.17954184637283754,0.1652463752270365,-3.123982118844034,-178.9909906840995,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,1,0.1737469801270246,0.10222291282906006,0.006020074168461483,0.0004132011264321793,0.005418352190572286,0.19320681209243387,0.1766466919190257,-2.670870381588953,-153.0296004915427,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_6,6.0,2,0.057968687528148544,-0.12583308870013785,0.0062813670608091,8.472644426247978e-05,0.0050140407821205706,0.19408342385766106,0.17322719249507576,-3.07513235997234,-176.19210567051968,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,1,0.10542650625949576,0.059480021514757106,0.006844633032840471,-0.00013641945064647568,0.006072146546864087,0.20285334077382072,0.19037055720753754,2.9718331925493064,170.2734993499646,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_9,9.0,2,0.17250457382713774,-0.043184125902545806,0.0064695527930127795,-0.00022421315740720938,0.005791559917702694,0.19790441436193823,0.1851914276914702,2.849417925510313,163.25962120066333,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_12,12.0,1,0.13985940528420812,0.03366853587427359,0.0072154453186034475,0.00010262965573795306,0.007064882168598952,0.20866871034197762,0.2049815727934602,-2.672631717961307,-153.13051763198146,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,4.0
feature_block_1,intervals_n24_d4_o0,kappa_12,12.0,2,-0.07909955808023167,0.017338006632675963,0.007043787001555851,8.373590284627726e-06,0.006341991032595152,0.2054341710236421,0.19492874570699278,-3.129663258539725,-179.31649601148683,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,4.0
feature_block_1,intervals_n24_d5_o0,kappa_2,2.0,1,0.5185271216982456,0.11350389387479985,0.005111904504927845,0.0005826207808940876,0.005485676552318606,0.18818463413019593,0.1675755789692505,0.9405978274564494,53.892285732428974,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_2,2.0,2,0.2643978313778631,-0.034218672099465615,0.0057285514612293986,0.0004749221465834659,0.004773760324496778,0.18840573814209285,0.16561251933952886,-2.750192201635278,-157.57440600349332,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_6,6.0,1,0.08393995743017842,0.2813309682886281,0.005499561159168877,-7.88618327740834e-05,0.00538501908613754,0.18218462680241054,0.17895065914036662,2.670248175420264,152.99395070408983,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_6,6.0,2,0.099032138842258,0.026716030393718254,0.005371829490996193,0.0001945880597709631,0.005301836170592516,0.18209892280697548,0.17547327919552813,-2.44516830530323,-140.09782409303102,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_9,9.0,1,0.008660339067461654,0.15304597463348943,0.007203325330764482,0.0003703411381989987,0.006079843636349879,0.20934201178524245,0.1891072659667471,-2.850159088646359,-163.30208672028942,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_9,9.0,2,-0.013904675259363498,-0.12137251087003352,0.007351959815414989,-2.943842590280107e-05,0.006054248015901499,0.20988807891450423,0.19044635271402008,3.118923327469381,178.7011432888947,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_12,12.0,1,-0.060124225300081297,-0.06620391872754068,0.00601134364123913,4.826468934598367e-05,0.00642035637836324,0.19621671406115246,0.18969209538294712,1.4549138721116965,83.36042442703662,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,5.0
feature_block_1,intervals_n24_d5_o0,kappa_12,12.0,2,0.30834254778706194,-0.062059267380398575,0.007173259979843939,0.00016624354494041945,0.005381803961088758,0.20753308423386957,0.17931324389779368,-3.049838657733701,-174.7428832839851,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,5.0
feature_block_1,intervals_n24_d6_o0,kappa_2,2.0,1,0.3323886742451825,0.09046171877052077,0.00542691882411697,-0.0006411798631931047,0.005599474636189418,0.19211546674141938,0.17075096760667444,2.2893156314827814,131.16812365729027,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_2,2.0,2,0.18974275007074845,-0.021528309028628432,0.006028661346619951,0.00012938694194468398,0.005164626789869025,0.19035258057927024,0.17558497686917998,-2.9960960172777837,-171.66365680597198,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_2,2.0,1,0.3323886742451825,0.09046171877052077,0.00542691882411697,-0.0006411798631931047,0.005599474636189418,0.19211546674141938,0.17075096760667444,2.2893156314827814,131.16812365729027,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,bin_count,24.0
feature_block_1,intervals_n24_d6_o0,kappa_2,2.0,2,0.18974275007074845,-0.021528309028628432,0.006028661346619951,0.00012938694194468398,0.005164626789869025,0.19035258057927024,0.17558497686917998,-2.9960960172777837,-171.66365680597198,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,bin_count,24.0
feature_block_1,intervals_n24_d6_o0,kappa_6,6.0,1,0.15995624005498343,0.19534663739954336,0.0060139038711983514,-0.00028166661674238077,0.005850390186974723,0.19313077930989003,0.183806962080228,2.497443582664931,143.09297685873227,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_6,6.0,2,0.33834461949406314,-0.017907125408087178,0.0064569601295079585,-4.481171058927939e-05,0.005967185320233267,0.19675113872455288,0.18901803194623845,3.0510993263062622,174.81511427255762,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_6,6.0,1,0.15995624005498343,0.19534663739954336,0.0060139038711983514,-0.00028166661674238077,0.005850390186974723,0.19313077930989003,0.183806962080228,2.497443582664931,143.09297685873227,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,bin_count,24.0
feature_block_1,intervals_n24_d6_o0,kappa_6,6.0,2,0.33834461949406314,-0.017907125408087178,0.0064569601295079585,-4.481171058927939e-05,0.005967185320233267,0.19675113872455288,0.18901803194623845,3.0510993263062622,174.81511427255762,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,bin_count,24.0
feature_block_1,intervals_n24_d6_o0,kappa_9,9.0,1,0.12259232578268921,-0.010497899629620428,0.005958061624462122,-3.2747778078612143e-05,0.006440412226593195,0.19647076523498097,0.18890276579453322,1.6382756974569517,93.86628314313467,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_9,9.0,2,0.2963024545238916,0.08828630335733281,0.007767611608253437,-0.0004625038584479682,0.005776859568322621,0.21714447924469263,0.184389517048374,2.924106736568844,167.53897485116718,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_9,9.0,1,0.12259232578268921,-0.010497899629620428,0.005958061624462122,-3.2747778078612143e-05,0.006440412226593195,0.19647076523498097,0.18890276579453322,1.6382756974569517,93.86628314313467,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,bin_count,24.0
feature_block_1,intervals_n24_d6_o0,kappa_9,9.0,2,0.2963024545238916,0.08828630335733281,0.007767611608253437,-0.0004625038584479682,0.005776859568322621,0.21714447924469263,0.184389517048374,2.924106736568844,167.53897485116718,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,bin_count,24.0
feature_block_1,intervals_n24_d6_o0,kappa_12,12.0,1,0.08406305557184336,0.02129051105190042,0.006572923590218484,3.158526116748106e-05,0.006455124737110382,0.19856731307549333,0.19654035679518683,-2.8954770599433983,-165.8986152117048,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_12,12.0,2,0.286523430956516,-0.08909385562146593,0.007233970079530061,0.00017778749081189034,0.0055560968031911255,0.20845552309622775,0.1821469933148552,-3.0371774383514447,-174.01744884989256,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,precision,6.0
feature_block_1,intervals_n24_d6_o0,kappa_12,12.0,1,0.08406305557184336,0.02129051105190042,0.006572923590218484,3.158526116748106e-05,0.006455124737110382,0.19856731307549333,0.19654035679518683,-2.8954770599433983,-165.8986152117048,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test,bin_count,24.0
