block,profile,concentration,representation,origin_shift_bins,harmonic,observed_a,observed_b,null_a,null_b,residual_magnitude,phase_residual,phase_residual_degrees,max_coordinate_phase_degrees
feature_block_1,kappa_9,9.0,centers_n24_d6_o0,0.0,2,0.22822529412059037,0.12062416079293083,0.22822529412059037,0.12062416079293083,0.0,0.0,0.0,0.0
feature_block_1,kappa_9,9.0,centers_n24_d6_o0.125,0.125,1,-0.21360377240076728,0.10842237427679005,-0.13119164507560088,0.15225495277207518,0.09334373930695497,0.38987489714099244,22.33818614427595,1.8749999999999998
feature_block_1,kappa_9,9.0,centers_n24_d6_o0.125,0.125,2,-0.01867934306982885,0.07660511796790521,0.2198474486703683,0.1352925436103505,0.24564047774422057,1.258307449506482,72.09570618659237,3.7499999999999996
feature_block_1,kappa_9,9.0,centers_n24_d6_o0.25,0.25,1,-0.3095649001921877,0.006963917074023665,-0.13610304583560634,0.147880963262822,0.2234874243070508,0.8043562549009491,46.08621863077342,3.7499999999999996
feature_block_1,kappa_9,9.0,centers_n24_d6_o0.25,0.25,2,-0.06429778827330547,0.06501620930789058,0.2105281826933453,0.1493815829855415,0.2874836179568013,1.733528127238034,99.32384535795691,7.499999999999999
feature_block_1,kappa_9,9.0,centers_n24_d6_o0.375,0.375,1,-0.1416193712615728,0.278553435774824,-0.14086870404512147,0.1433486191140928,0.1352069005248319,-0.3063199608545504,-17.550840937578325,5.625
feature_block_1,kappa_9,9.0,centers_n24_d6_o0.375,0.375,2,-0.03885282872121521,-0.006567333172253472,0.20030740271715486,0.16283094748891058,0.29307574753400056,2.6264802600936186,150.48623387778707,11.25
feature_block_1,kappa_9,9.0,centers_n24_d6_o0.5,0.5,1,-0.33581347027325203,-0.04520856160040004,-0.14548351651796881,0.1386627736735248,0.2646396781132873,0.8952179026963485,51.29220756905397,7.499999999999999
feature_block_1,kappa_9,9.0,centers_n24_d6_o0.5,0.5,2,-0.39695355524606946,0.01365606450347675,0.18922887569077762,0.17558304487687026,0.6081366534849522,2.359193562063301,135.1718341606622,14.999999999999998
feature_block_1,kappa_12,12.0,centers_n24_d6_o0,0.0,1,-0.3119625170866785,0.16047907587346805,-0.3119625170866785,0.16047907587346805,0.0,0.0,0.0,0.0
feature_block_1,kappa_12,12.0,centers_n24_d6_o0,0.0,2,-0.04198593448662727,-0.17520164794454093,-0.04198593448662727,-0.17520164794454093,0.0,0.0,0.0,0.0
feature_block_1,kappa_12,12.0,centers_n24_d6_o0.125,0.125,1,-0.17472965069378546,-0.004395337951913167,-0.3170462166227919,0.15018602593261532,0.21011759326202614,0.46754006933971226,26.788072726419376,1.8749999999999998
feature_block_1,kappa_12,12.0,centers_n24_d6_o0.125,0.125,2,0.04249382473144404,0.04151273975103305,-0.030437303356141594,-0.1775725392666457,0.23090541121069896,2.514274364412679,144.05730961878405,3.7499999999999996
feature_block_1,kappa_12,12.0,centers_n24_d6_o0.25,0.25,1,-0.4320775445107722,0.008071220902985506,-0.3217904151290038,0.13973215303344422,0.17174938706362877,0.3909875156113256,22.401934486834346,3.7499999999999996
feature_block_1,kappa_12,12.0,centers_n24_d6_o0.25,0.25,2,0.01886558911574705,-0.04266701135309676,-0.018758335019865104,-0.1791830377141785,0.14160573830456824,0.5206221410023604,29.829451400500094,7.499999999999999
feature_block_1,kappa_12,12.0,centers_n24_d6_o0.375,0.375,1,0.02364660607032448,0.44989202847942333,-0.3261900323987246,0.12912865144489613,0.4746312438745667,-1.2463681814484855,-71.41163651639381,5.625
