profile,offset_radians,n_planned,n_valid,p_retard,p_stay,p_advance,g_mean,g_standard_error,g_odd,g_even
narrow_kappa_12,-0.130899693899575,50,50,0.34,0.2,0.46,0.12,0.1266201131780591,-0.09,0.21
narrow_kappa_12,0.0,50,50,0.44,0.14,0.42,-0.02,0.13244945127427724,0.0,-0.02
narrow_kappa_12,0.130899693899575,50,50,0.28,0.14,0.58,0.3,0.12535663410560174,0.09,0.21
narrow_kappa_12,0.2617993877991496,50,50,0.16,0.14,0.7,0.54,0.10770329614269007,0.54,0.0
narrow_kappa_12,0.39269908169872414,50,50,0.12,0.18,0.7,0.58,0.09934479228979264,0.61,-0.030000000000000027
narrow_kappa_12,0.5235987755982987,50,50,0.06,0.12,0.82,0.76,0.07855844048495726,0.7,0.06
narrow_kappa_12,0.6544984694978737,50,50,0.08,0.16,0.76,0.68,0.08778452283278407,0.64,0.040000000000000036
narrow_kappa_12,0.7853981633974478,50,50,0.14,0.16,0.7,0.56,0.10364775512695461,0.65,-0.08999999999999997
narrow_kappa_12,0.9162978572970228,50,50,0.08,0.12,0.8,0.72,0.08590455073355945,0.79,-0.07
narrow_kappa_12,1.0471975511965974,50,50,0.06,0.1,0.84,0.78,0.07714285714285714,0.78,0.0
narrow_kappa_12,1.1780972450961729,50,50,0.04,0.16,0.8,0.76,0.07317856271351827,0.74,0.020000000000000018
narrow_kappa_12,1.3089969389957474,50,50,0.06,0.24,0.7,0.64,0.08456370621113567,0.69,-0.04999999999999999
narrow_kappa_12,1.439896632895322,50,50,0.0,0.24,0.76,0.76,0.061011875725893214,0.72,0.03999999999999998
narrow_kappa_12,1.5707963267948966,50,50,0.1,0.16,0.74,0.64,0.09372125409632415,0.65,-0.010000000000000009
narrow_kappa_12,1.7016960206944711,50,50,0.04,0.14,0.82,0.78,0.07165677830848258,0.77,0.010000000000000009
narrow_kappa_12,1.8325957145940457,50,50,0.0,0.14,0.86,0.86,0.0495695759225642,0.8,0.06
narrow_kappa_12,1.9634954084936203,50,50,0.1,0.16,0.74,0.64,0.09372125409632415,0.6699999999999999,-0.02999999999999997
narrow_kappa_12,2.0943951023931957,50,50,0.02,0.28,0.7,0.68,0.07250615737399725,0.73,-0.04999999999999999
narrow_kappa_12,2.2252947962927694,50,50,0.06,0.12,0.82,0.76,0.07855844048495726,0.78,-0.020000000000000018
narrow_kappa_12,2.356194490192345,50,50,0.02,0.24,0.74,0.72,0.07021831844254005,0.6699999999999999,0.04999999999999999
narrow_kappa_12,2.4870941840919194,50,50,0.04,0.22,0.74,0.7,0.0769309258162072,0.69,0.009999999999999953
narrow_kappa_12,2.617993877991494,50,50,0.06,0.12,0.82,0.76,0.07855844048495725,0.72,0.03999999999999998
narrow_kappa_12,2.7488935718910694,50,50,0.14,0.18,0.68,0.54,0.10384446768792141,0.54,0.0
narrow_kappa_12,2.879793265790643,50,50,0.18,0.12,0.7,0.52,0.11153840740538934,0.47,0.05000000000000002
narrow_kappa_12,3.0106929596902186,50,50,0.3,0.12,0.58,0.28,0.12790302448913934,0.22000000000000003,0.06000000000000001
