representation,profile,profile_family,source_family,acquisition_block,run_dir,offset_index,offset_radians,epsilon_level,sparse_realization,offset_group,count_retard,count_stay,count_advance,estimated_eps,unresolved_near_zero,peer_count,bin_sparsity,p_fail,n_trace_calls
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,13,-0.815390451126862,na,na,g2,19,0,5,0.423395929918976,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,14,-0.582253411155328,na,na,g2,23,0,1,0.4660078761255715,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,15,-0.424110634258503,na,na,g2,22,0,2,0.48072889978417677,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,16,-0.252363301580937,na,na,g2,20,0,4,0.4890328398141893,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,17,-0.126277469898986,na,na,g2,17,1,6,0.491874903144104,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,18,0.126277469898986,na,na,g3,1,1,22,0.4918749031441042,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,19,0.252363301580937,na,na,g3,1,0,23,0.48903283981418944,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,20,0.424110634258503,na,na,g3,24,0,0,0.48072889978417677,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,21,0.582253411155328,na,na,g3,3,0,21,0.4660078761255716,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,22,0.815390451126862,na,na,g3,21,0,3,0.423395929918976,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,23,1.01205578829373,na,na,g3,14,0,10,0.3580040838719747,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,24,1.193267876314604,na,na,g4,20,0,4,0.2674392107507171,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,25,1.326501968991361,na,na,g4,24,0,0,0.18250260561086962,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,26,1.459132129739855,na,na,g4,18,0,6,0.08609714645149835,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,27,1.70513797996314,na,na,g4,10,0,14,-0.1031910954730258,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,28,1.81130581486731,na,na,g4,20,0,4,-0.17989256424468203,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,29,1.955683617054956,na,na,g4,18,0,6,-0.27170038257957785,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,30,2.125472971056087,na,na,g5,8,0,16,-0.3563037676814322,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,31,2.360717942934366,na,na,g5,2,0,22,-0.43177043816185073,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,32,2.518873672395674,na,na,g5,10,0,14,-0.4607002756253144,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,33,2.746279632217894,na,na,g5,10,0,14,-0.4825785465000188,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,34,2.92640177655781,na,na,g5,13,1,10,-0.49010496214536464,False,240,1.0,,0
centers_24_standard,kappa_4,kappa_4,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,35,3.060726315293831,na,na,g5,18,0,6,-0.4923970394261312,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,0,-3.060726315293831,na,na,g0,16,1,7,-0.49917230519074496,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,1,-2.92640177655781,na,na,g0,20,0,4,-0.4985768519233298,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,2,-2.746279632217894,na,na,g0,24,0,0,-0.4961726220166236,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,3,-2.518873672395674,na,na,g0,22,0,2,-0.48635125433253684,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,4,-2.360717942934366,na,na,g0,13,0,11,-0.4689095064400298,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,5,-2.125472971056087,na,na,g0,15,0,9,-0.40835233159353357,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,6,-1.955683617054956,na,na,g1,14,0,10,-0.32402014199522633,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,7,-1.81130581486731,na,na,g1,20,0,4,-0.22048610143088754,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,8,-1.70513797996314,na,na,g1,24,0,0,-0.12817343678664167,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,9,-1.459132129739855,na,na,g1,19,0,5,0.10714804646794851,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,10,-1.326501968991361,na,na,g1,19,0,5,0.22355202835296029,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,11,-1.193267876314604,na,na,g1,23,0,1,0.31944611781004406,False,240,1.0,,0
centers_24_standard,kappa_6,kappa_6,transmutation,block_1,<PROJECT_ROOT>\runs\transmutation\transmutation-v0.1-block1_2bf5f01c6698\20260723T113147Z,12,-1.01205578829373,na,na,g2,9,0,15,0.4098969617935372,False,240,1.0,,0
