block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic,family
block_1,intervals_24_decimal6,kappa_6,6.0,-0.0760668715461879,1.2320558027285369,0.2280591356902986,1.2529854230631994,0.1830328551219203,10.48701011071549,1,10.48701011071549,0.0511451974550407,-0.1609523407061933,0.1688830577693263,-1.2631210920625189,-72.37150758913782,1,-72.37150758913782,0.980324074074074,0.0196759259259259,0.0343120890075084,nats,0,0,0,0.020913984080924,-0.0868055555555555,-0.073034633964944,-0.0868055555555555,3.984188498957249,4.525605376426299,0,2,Claude
block_1,intervals_24_decimal6,kappa_9,9.0,-0.0829522476423479,1.2375218466753886,0.2016775185851395,1.2538477349748347,0.1615486635693409,9.256056608502073,1,9.256056608502073,0.0521878243631014,-0.1633942316209762,0.1715262193915646,-1.261639372472579,-72.28661131021242,1,-72.28661131021242,0.9837962962962964,0.0162037037037037,0.0325917586548719,nats,0,0,0,0.0146303900939287,-0.0949074074074074,-0.0830638110688378,-0.0949074074074074,4.079314776079183,5.68166365716861,0,2,Claude
block_1,intervals_24_decimal6,kappa_12,12.0,-0.0447918094254713,1.2263624594958524,0.2960567778354676,1.2615920488664454,0.2368782357575123,13.572123167410355,1,13.572123167410355,0.0237922810025821,-0.0866682992925362,0.089874728024993,,,0,-74.64925909691664,0.9432870370370372,0.0567129629629629,0.0048112557430326,nats,0,0,0,0.0150899955244368,-0.0543981481481481,-0.042350982634148,-0.0543981481481481,2.961490430045523,1.853575131430631,0,3,Claude
block_1,moments_m1_m3,kappa_2,2.0,0.054665990162654,1.0280298633928289,0.7386922262369475,1.2659034738598265,,,0,35.69918515095394,-0.0964163488601435,0.0395092883509321,0.1041973905312316,,,0,157.7172660954344,1.0,0.0,0.0142150020393724,nats,0,1,1,0.0081477054494043,0.0439814814814814,0.0476329271142327,0.0439814814814814,-0.6407947341527807,1.4739763083025208,1,2,Claude
block_1,moments_m1_m3,kappa_4,4.0,0.0074325512900072,0.9621710748161048,0.8328588819716795,1.2725671276957826,0.7134833785741472,40.87958634503338,1,40.87958634503338,-0.0083269657910284,0.0077386100687657,0.0113676930413061,,,0,137.09735658471476,1.0,0.0,0.0079676661960044,nats,0,1,1,0.0062743045181915,0.0046296296296296,0.0047534862866528,0.0046296296296296,-0.7924566821523625,1.7269533450433254,1,2,Claude
block_1,moments_m1_m3,kappa_6,6.0,-0.0085963097625503,0.9553789725708728,0.8412612884461229,1.2729766441960384,0.721966106405042,41.36561084850182,1,41.36561084850182,0.025232865413678,0.0072155120964316,0.0262442586444833,,,0,15.958246998274165,1.0,0.0,0.0125155891351751,nats,0,1,1,0.0084542064176472,-0.0092592592592592,-0.011382222491868,-0.0092592592592592,-0.90256358725235,1.8901743210957356,1,2,Claude
block_1,moments_m1_m3,kappa_9,9.0,0.0258334021042647,0.9490136021536092,0.8418879140089736,1.2686221174277823,0.7256527254142643,41.57683855840296,1,41.57683855840296,-0.0470118580401232,0.0093441390085103,0.0479314899642715,,,0,168.758325173072,1.0,0.0,0.024735367626569,nats,0,1,1,0.0039506679234003,0.0208333333333333,0.024118234695144,0.0208333333333333,-0.6329737802459052,1.4881432494821567,1,2,Claude
block_1,moments_m1_m3,kappa_12,12.0,0.0565232715228662,0.996510027241932,0.7751621803711548,1.262500946641815,0.6611049576388967,37.87852388788385,1,37.87852388788385,-0.1037184108156771,0.0312927294548996,0.1083362527451781,,,0,163.21098918399227,1.0,0.0,0.0325917586548719,nats,0,1,1,0.0077041270262546,0.0462962962962963,0.0516566633436401,0.0462962962962963,-0.5466012591439499,1.340772599094465,1,2,Claude
block_1,centers_24_standard,kappa_2,2.0,-0.0226175457098778,1.2662120034822952,0.1437013377809594,1.2743401870154945,0.1130056530713168,6.4747469821060415,1,6.4747469821060415,0.003332397817802,-0.0466777125133243,0.0467965139801315,,,0,-85.91648926870062,0.9733796296296297,0.0266203703703703,0.0048112557430326,nats,0,0,0,0.0168770507619333,-0.0289351851851851,-0.018243163839659,-0.0289351851851851,3.5521909309195823,3.771111251175782,0,2,Claude
block_1,centers_24_standard,kappa_4,4.0,-0.0984362278620416,1.2451590451225194,0.1923570072676605,1.2599294686193332,0.1532722549548698,8.781853325367162,1,8.781853325367162,0.0558776685044091,-0.191085632596445,0.1990880027080291,-1.2863061201495811,-73.69991184641879,1,-73.69991184641879,1.0,0.0,0.0,nats,0,1,1,0.0194628133819099,-0.1111111111111111,-0.0971647132078501,-0.1111111111111111,4.374042062560672,6.3811515610117615,0,2,Claude
block_1,centers_24_standard,kappa_6,6.0,-0.0984362278620416,1.2451590451225194,0.1923570072676605,1.2599294686193332,0.1532722549548698,8.781853325367162,1,8.781853325367162,0.0558776685044091,-0.191085632596445,0.1990880027080291,-1.2863061201495811,-73.69991184641879,1,-73.69991184641879,1.0,0.0,0.0,nats,0,1,1,0.0194628133819099,-0.1111111111111111,-0.0971647132078501,-0.1111111111111111,4.374042062560672,6.3811515610117615,0,2,Claude
block_1,centers_24_standard,kappa_9,9.0,-0.0034045481925089,1.2323294727173677,0.1598707266208652,1.2426562592117536,0.1290099801334419,7.391727376712818,1,7.391727376712818,-0.0205732163087646,-0.0687932788003281,0.071803707685515,,,0,-106.64974270995884,0.9722222222222222,0.0277777777777777,0.0176809491193003,nats,0,0,0,0.0125343658093018,-0.0092592592592592,-0.0003058060407531,-0.0092592592592592,3.549829804293549,3.4958746674083656,0,2,Claude
block_1,centers_24_standard,kappa_12,12.0,0.0186508338507525,1.2751026668433194,0.0625073641800458,1.2766338478857917,0.048982225014083,2.8064747644670875,1,2.8064747644670875,-0.0102477217714715,0.039616915620924,0.0409208480462087,,,0,104.50283414800226,0.9733796296296297,0.0266203703703703,0.0152770935557114,nats,0,0,0,0.0095072842714503,0.0196759259259259,0.022985934260622,0.0196759259259259,3.416718078201804,3.436980207314379,0,2,Claude
block_2,intervals_24_decimal6,kappa_2,2.0,-0.0168397248194427,1.262919191032331,0.1545632525132973,1.2723422032241352,0.1217800942900788,6.977485431526733,1,6.977485431526733,-0.0023243192920647,-0.0374941682661161,0.0375661431895702,,,0,-93.5473112503935,0.9675925925925924,0.0324074074074074,0.0159353323920089,nats,0,0,0,0.0158654297908954,-0.0231481481481481,-0.0128249747913678,-0.0231481481481481,3.389559246117835,3.599335602430668,0,2,Claude
