block,representation,profile,concentration,harmonic,center_a,center_b,cov_aa,cov_ab,cov_bb,axis_major,axis_minor,angle_radians,angle_degrees,contains_origin,note
block_1,moments_m1_m3,kappa_2,2.0,1,1.0279533535449668,0.7388065634123415,3.762685950089737e-05,-5.623000116340214e-05,8.403074486619836e-05,0.026998281861102633,0.0,2.1605229991353925,123.7888493914048,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,kappa_2,2.0,2,-0.0962855870672532,0.03946836298494953,0.00010990691763271655,-3.439828048171683e-05,1.0765852828781723e-05,0.026888782531408258,1.0074688951730991e-10,2.838273753312974,162.62110716758875,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,kappa_4,4.0,1,0.9621479409035247,0.8328806931789702,2.6518896954710435e-05,-2.5002651676421677e-05,2.35730992853922e-05,0.01732409938687841,5.234961940455273e-10,2.3856153405523584,136.68569055531472,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,kappa_4,4.0,2,-0.008360834529609869,0.007736607868359231,5.684016357031938e-05,3.3601900566464326e-06,1.9864258840172253e-07,0.018486372951699904,0.0,-3.082544901377166,-176.6168130084822,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,kappa_6,6.0,1,0.9554623671579063,0.8411711697949138,4.425415408809524e-05,-4.782234455937985e-05,5.167823645670514e-05,0.023974476362758963,4.274328525668504e-10,2.317461415506466,132.78075829293414,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,kappa_6,6.0,2,0.025104811466531974,0.007222357460551957,0.00010434322563778104,-5.577862993637422e-06,2.981751367721228e-07,0.025039074321956328,1.7809702190285433e-11,3.0881866094470976,176.94005907013417,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,kappa_9,9.0,1,0.9485789031838292,0.842393978850854,9.024609562543066e-05,-9.404582583633149e-05,0.00010206468698818105,0.033774177811190874,0.0033953128330252726,2.32481863117097,133.20229569947776,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,kappa_9,9.0,2,-0.04709474446137625,0.009228304419496347,0.0002062822250891063,-5.5038187346990005e-06,5.206290816025743e-06,0.03516865899009155,0.005503759624541526,3.1142481056632594,178.4332728111164,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,kappa_12,12.0,1,0.9960637009964453,0.7756749875015299,0.00011344111035588026,-0.00013558185832425189,0.00017039084802319626,0.04099195622101373,0.004497626167097289,2.2526889322331347,129.06956837279054,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,moments_m1_m3,kappa_12,12.0,2,-0.10384259736503632,0.031179318902144842,0.00027624706938621067,-3.862254376086962e-05,1.5165541831821487e-05,0.041093052580228,0.007572935912287718,2.9977628427479326,171.75915887059642,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,kappa_2,2.0,1,1.2662067764290608,0.1437467125033263,5.965274516868104e-08,-5.178303366076808e-07,4.4951536891215575e-06,0.00522397944769974,3.148340297415935e-11,1.6854882426951654,96.57136272535479,0,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
block_1,centers_24_standard,kappa_2,2.0,2,0.0033238694264554093,-0.04663141395886367,1.588001195607741e-07,-8.620870788737914e-07,4.680060277138011e-06,0.005384409021909984,0.0,1.75295858461634,100.43712855974267,1,conditional_on_block_multinomial_bootstrap_not_formal_pairwise_test
