block,representation,profile,concentration,fourier_order,g_prime0,n_fixed_points_fitted,status
block_2,moments_m1_m3,kappa_2,2.0,6,-0.7063897338049379,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_2,2.0,8,-0.2789776648134982,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_2,2.0,12,0.37096484899877835,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,2,0.9677433953883249,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,4,0.2055821191505852,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,6,-0.8612648850166277,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,8,-0.4701977811329619,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_4,4.0,12,0.7281587919136482,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,2,1.0076798249068375,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,4,0.21383237473640282,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,6,-0.9438278381951624,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,8,-0.4770902675785799,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_6,6.0,12,0.7076140444397399,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,2,0.8220946931258505,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,4,0.03563520568673151,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,6,-0.5670043052534025,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,8,-0.12969640026664964,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_9,9.0,12,0.2789732649958317,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_12,12.0,2,0.7807323534653527,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_12,12.0,4,0.06743228765788545,2,diagnostic_only_not_primary
block_2,moments_m1_m3,kappa_12,12.0,6,-0.5248381168447416,2,diagnostic_only_not_primary
