block,profile,concentration,representation_a,representation_b,comparison,response_l2,complex_low_order,c1_chordal,c2_chordal,mean_tv,mean_js,mean_sym_kl
block_2,kappa_2,2.0,intervals_24_decimal6,centers_24_standard,between_representation,0.034407457590022235,0.026566612090351487,0.01796634203150016,0.017388609884611165,0.009259259259259259,0.003364716130378204,0.08666481045517067
block_2,kappa_2,2.0,moments_m1_m3,centers_24_standard,between_representation,0.7819503627196734,0.6885669740451543,0.6761815065827089,0.11236634472791783,0.17939814814814814,0.12056850201599358,3.57228604570272
block_2,kappa_4,4.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.7808885436589225,0.6845840957469173,0.6670566508210626,0.13924263665802286,0.17592592592592593,0.11890297476461582,3.540900284743364
block_2,kappa_4,4.0,intervals_24_decimal6,centers_24_standard,between_representation,0.17545855734946397,0.08357303098000202,0.0456941034639745,0.06343232756990001,0.032407407407407406,0.020963959084508328,0.6198912432593399
block_2,kappa_4,4.0,moments_m1_m3,centers_24_standard,between_representation,0.8363768965872472,0.7449343358161962,0.710503547876884,0.20263528600749897,0.17129629629629628,0.11719310340631672,3.496655313005597
block_2,kappa_6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.7986672143013371,0.7107160081543156,0.689006266618218,0.1631160881369598,0.17592592592592593,0.11908720785392643,3.5360259017430655
block_2,kappa_6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.12351682360807804,0.05518925122577297,0.0376479293814923,0.03493699791274242,0.02083333333333333,0.01007865140479799,0.22278208555462614
block_2,kappa_6,6.0,moments_m1_m3,centers_24_standard,between_representation,0.8414183620163456,0.7567706963071823,0.7258547892007781,0.19789999508711548,0.1747685185185185,0.11867992463556562,3.5342316441055366
block_2,kappa_9,9.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.8099005820076989,0.7475567765224139,0.7110148804463922,0.20226662725041036,0.1840277777777778,0.11850713245297959,3.354837826853002
block_2,kappa_9,9.0,intervals_24_decimal6,centers_24_standard,between_representation,0.38258468623702013,0.13985928524730162,0.037485092751726144,0.1139683562953494,0.08564814814814814,0.050661889449426796,1.4548988129739422
block_2,kappa_9,9.0,moments_m1_m3,centers_24_standard,between_representation,0.8402494353223771,0.752352400489061,0.7460488265405332,0.08883415488612108,0.20949074074074073,0.1367000649475961,3.9149982274027226
block_2,kappa_12,12.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.6554767689790645,0.5631935131421625,0.5223335267111063,0.18207423680131618,0.15509259259259262,0.10242750220690872,3.0358955947718385
block_2,kappa_12,12.0,intervals_24_decimal6,centers_24_standard,between_representation,0.4505311794101645,0.2873982469453464,0.2421695395110787,0.1392879626763446,0.08217592592592593,0.05538180432767641,1.485230535810433
block_2,kappa_12,12.0,moments_m1_m3,centers_24_standard,between_representation,0.8289924547490166,0.7677548658285978,0.7597916178110027,0.10339480101162958,0.20717592592592593,0.13767850807085927,3.9078964608784457
