bundle,n_agents,coupling,p_final_r1_gt_0.9,mean_final_r1,median_final_r1,mean_t_r1_gt_0.5,mean_t_r1_gt_0.9,mean_activity,mean_tau_social,n_seeds
v1,17,0.14,1.0,0.9850089181592817,0.9927859095850184,10.166666666666666,44.916666666666664,0.8648529411764706,-0.007401960784313727,12
v1,17,0.15,0.9166666666666666,0.9807621479355974,0.9913548055190653,13.583333333333334,42.90909090909091,0.8705392156862746,-0.01583333333333333,12
v1,17,0.16,0.8333333333333334,0.9683153973471604,0.9877562526213293,12.833333333333334,39.1,0.8598039215686274,0.0030392156862745104,12
v1,17,0.18,1.0,0.9872313824265149,0.9870825839438129,13.833333333333334,44.416666666666664,0.864313725490196,-0.016470588235294115,12
v1,17,0.2,0.75,0.9568758844170011,0.9857608515239291,7.75,39.666666666666664,0.8636764705882353,-0.0015196078431372565,12
v1,17,0.22,1.0,0.9842984943844751,0.9837325727926718,9.083333333333334,33.333333333333336,0.8676960784313724,-0.002107843137254902,12
v1,17,0.24,0.8333333333333334,0.9658810102045764,0.9813595738653489,5.916666666666667,25.5,0.8626470588235292,0.011764705882352943,12
v1,17,0.26,1.0,0.9817905295547815,0.9827756139554886,6.5,23.333333333333332,0.8647549019607843,0.0007352941176470585,12
v1,17,0.28,1.0,0.9772659879767381,0.9789036717281483,8.916666666666666,32.083333333333336,0.8637254901960785,0.021372549019607844,12
v1,17,0.3,1.0,0.9786378264900968,0.9806563092012176,7.083333333333333,26.333333333333332,0.8638725490196079,0.0029901960784313717,12
v2,9,-0.15,0.0,0.15014422820526,0.1596619495829211,0.0,nan,0.9602777777777779,-0.29194444444444445,12
v2,9,0.0,0.0,0.3051250630462113,0.33225699902216554,40.0,nan,0.9824999999999999,-0.2026851851851852,12
v2,9,0.02,0.0,0.3131216926048759,0.3022116432033126,32.125,nan,0.9850925925925927,-0.18879629629629627,12
v2,9,0.04,0.16666666666666666,0.5864745561072329,0.5815926745650897,32.6,83.0,0.9887962962962962,-0.1026851851851852,12
v2,9,0.06,0.25,0.8055022656200551,0.8039105694210162,19.363636363636363,50.666666666666664,0.9873148148148148,-0.006388888888888898,12
v2,9,0.08,0.5,0.8885113612813421,0.8947045090337273,17.333333333333332,48.833333333333336,0.9886111111111111,0.00805555555555556,12
v2,9,0.1,0.75,0.9174937880668125,0.9944612184231088,14.666666666666666,37.22222222222222,0.9883333333333334,0.06999999999999999,12
v2,9,0.12,0.9166666666666666,0.9818983126949362,0.9939651052679325,9.083333333333334,33.0,0.9896296296296296,0.05962962962962964,12
v2,9,0.14,0.75,0.941205527025203,0.994771737628676,7.416666666666667,18.88888888888889,0.9894444444444445,0.025555555555555554,12
v2,9,0.15,0.75,0.9359922420984804,0.9913484290033433,10.083333333333334,32.888888888888886,0.9882407407407409,0.013055555555555556,12
v2,9,0.16,0.9166666666666666,0.972939303454656,0.992934059276,9.75,23.636363636363637,0.9886111111111111,0.03212962962962962,12
v2,9,0.18,0.9166666666666666,0.984571812402211,0.9935651844070541,7.083333333333333,30.545454545454547,0.989537037037037,0.035833333333333335,12
v2,9,0.2,1.0,0.9903465989153615,0.9922028393012601,6.083333333333333,30.5,0.9880555555555555,0.023611111111111114,12
v2,9,0.22,1.0,0.9803297326309323,0.98821325058173,6.333333333333333,27.25,0.9910185185185186,0.02287037037037037,12
v2,9,0.24,0.9166666666666666,0.9657084220059758,0.9855518029782009,5.666666666666667,13.454545454545455,0.9904629629629631,0.02324074074074074,12
v2,9,0.26,1.0,0.9861799509843966,0.9856954111961639,6.0,20.666666666666668,0.9900925925925925,0.012129629629629627,12
v2,9,0.28,1.0,0.9778821694037035,0.9773849122022459,5.916666666666667,16.25,0.9868518518518519,0.009444444444444445,12
v2,9,0.3,1.0,0.9757934766047908,0.9787256536140998,2.6666666666666665,15.0,0.9910185185185186,0.010092592592592596,12
v2,17,-0.15,0.0,0.0742716696224127,0.07240128183519656,nan,nan,0.9319117647058822,-0.10838235294117644,12
v2,17,0.0,0.0,0.27918815939864744,0.27947737848070653,nan,nan,0.961764705882353,-0.07784313725490197,12
v2,17,0.02,0.0,0.3180670168271485,0.2707742689896656,44.5,nan,0.9753921568627449,-0.04470588235294118,12
v2,17,0.04,0.0,0.6031178472425199,0.6538948825262523,57.6,nan,0.982549019607843,-0.025392156862745093,12
v2,17,0.06,0.4166666666666667,0.8593529694788619,0.8760044008037118,28.833333333333332,66.8,0.9569117647058826,0.025147058823529415,12
v2,17,0.08,0.4166666666666667,0.8941510329972945,0.8836243359335647,24.416666666666668,63.4,0.9708333333333332,0.01602941176470588,12
v2,17,0.1,0.6666666666666666,0.952945556294365,0.9949727898858236,18.083333333333332,44.875,0.9627450980392157,0.04274509803921569,12
v2,17,0.12,0.25,0.9051480960585875,0.8801801146212413,12.666666666666666,31.333333333333332,0.9818627450980392,0.038431372549019606,12
v2,17,0.14,0.75,0.9657562244177734,0.9923614643035459,9.0,31.333333333333332,0.9746568627450981,0.053284313725490196,12
v2,17,0.15,0.8333333333333334,0.9736667405104543,0.9941544054767566,13.0,36.8,0.9758823529411765,0.04960784313725491,12
v2,17,0.16,0.75,0.9613060017253493,0.9899349203417724,11.416666666666666,48.55555555555556,0.9768627450980393,0.0503921568627451,12
v2,17,0.18,1.0,0.9899382574707808,0.9909421468924229,13.083333333333334,41.416666666666664,0.9658333333333333,0.03416666666666666,12
v2,17,0.2,0.8333333333333334,0.9696164391367779,0.9895555367243785,7.75,44.1,0.9729411764705884,0.04666666666666667,12
v2,17,0.22,0.9166666666666666,0.9770970941368687,0.9854188392402885,8.0,32.36363636363637,0.9604901960784313,0.04568627450980392,12
v2,17,0.24,0.9166666666666666,0.9682542493180802,0.9828544013139573,5.416666666666667,32.18181818181818,0.9554411764705882,0.04436274509803922,12
v2,17,0.26,1.0,0.9826622808133149,0.9835935722646028,5.25,28.25,0.937156862745098,0.04294117647058823,12
v2,17,0.28,1.0,0.977782098491871,0.9773636049732912,6.75,24.833333333333332,0.9148039215686277,0.050196078431372554,12
v2,17,0.3,1.0,0.9790638548084378,0.9813592074766213,5.083333333333333,21.416666666666668,0.8860784313725488,0.032058823529411765,12
