representation,distance,mean_ood,mean_tv,mean_nll,n,bin_left,bin_right
moments_m1_m3,d_native,0.13854660191610538,0.38846729905740907,0.6380220660557909,166.0,0.08474001399118333,0.16535076300199786
moments_m1_m3,d_native,0.19052633451689538,0.36305473496114055,0.6272661397675222,167.0,0.16535076300199794,0.22992254685702912
moments_m1_m3,d_native,0.3030364975456115,0.42494871638958426,0.686679916240243,166.0,0.22992254685702915,0.3664457175797639
moments_m1_m3,d_native,0.40904922999550614,0.4181843757389414,0.738547507454831,167.0,0.3677767344531252,0.47151926698978713
moments_m1_m3,d_native,0.5297511826343873,0.37647284227086897,0.6530365469769941,166.0,0.47151926698978713,0.5946514839627756
moments_m1_m3,d_native,0.7032829551137629,0.3347950881946758,0.5876453610211476,167.0,0.5948991505020126,0.9051363221890325
moments_m1_m3,d_native,1.1649668229827468,0.11962396843449408,0.2827385835465627,166.0,0.9053667006289626,1.3553583362563992
moments_m1_m3,d_native,1.6140262319958845,0.12207203403644501,0.3067278431925066,167.0,1.3553583362564001,2.188857791534602
moments_m1_m3,d_combined,0.15747463413103305,0.43001064802360056,0.7210559728744769,166.0,0.10368962758290172,0.21148561557130838
moments_m1_m3,d_combined,0.24296375571877188,0.29853585261728416,0.4719161746043004,167.0,0.21196742706059332,0.2710866899884745
moments_m1_m3,d_combined,0.3262452203685391,0.3963877849440572,0.6706439395816952,166.0,0.2710866899884745,0.37793411359233664
moments_m1_m3,d_combined,0.41270893463788855,0.434494610995017,0.7457265849353891,167.0,0.37861420449762334,0.44421799616094204
moments_m1_m3,d_combined,0.48462635268088056,0.3461813526344101,0.5914395988178033,166.0,0.4442764962044126,0.5384407428056577
moments_m1_m3,d_combined,0.6281473803798873,0.20975537028096328,0.4126869609896003,167.0,0.5419984453160656,0.7109468129431478
moments_m1_m3,d_combined,0.8191387924939237,0.13170494849159026,0.32327615650463565,166.0,0.7177527222728605,0.9624771581732899
moments_m1_m3,d_combined,1.0315711586468295,0.30051718515616527,0.5841936571151171,167.0,0.9624771581732905,1.248887085883456
moments_m1_m3,d_peer,0.0,0.1055867332920773,0.2770595453221863,166.0,0.0,0.0
moments_m1_m3,d_peer,0.0,0.21390636940400648,0.4357103509858943,167.0,0.0,0.0
moments_m1_m3,d_peer,0.0,0.32043465458200715,0.5803841825573525,166.0,0.0,0.0
moments_m1_m3,d_peer,0.0,0.41351279595666474,0.7362342524360732,167.0,0.0,0.0
moments_m1_m3,d_peer,0.0,0.29156684905274016,0.43268277163666513,166.0,0.0,0.0
moments_m1_m3,d_peer,0.0,0.44730409226824996,0.7570567091342458,167.0,0.0,0.0
moments_m1_m3,d_peer,0.0,0.44655986665838254,0.7835038098785178,166.0,0.0,0.0
moments_m1_m3,d_peer,0.0,0.30787725042890884,0.5169134991703833,167.0,0.0,0.0
centers_24_standard,d_canonical,0.31917363693078815,0.41636705238471483,1.010986522360358,166.0,0.24458129634964068,0.39852103939090655
centers_24_standard,d_canonical,0.48911005388028156,0.34877335256432596,0.8553257796974468,167.0,0.39951376111555026,0.5708279121173476
centers_24_standard,d_canonical,0.6555086609458192,0.3075009658911823,0.8443716605362959,166.0,0.5708279121173476,0.7832304551846413
centers_24_standard,d_canonical,0.8917074900715087,0.3377590412816974,0.8478440885134031,167.0,0.7854694119595205,0.9763807891328768
centers_24_standard,d_canonical,1.0517918364228653,0.32706580044896666,0.7715462076618881,166.0,0.9772063705103567,1.1269762813389912
centers_24_standard,d_canonical,1.2780553464730546,0.259524120342996,0.6889142863550662,167.0,1.1269762813389912,1.449923048977236
centers_24_standard,d_canonical,1.6044684677667111,0.1861587943530906,0.5989573805057763,166.0,1.449923048977236,1.7866816187487786
centers_24_standard,d_canonical,2.1554725091744786,0.1656721576133905,0.5425068586433047,167.0,1.7942709800279453,2.7430288187676197
centers_24_standard,d_native,0.3313951491487208,0.4177657607399253,1.0122175993083211,166.0,0.19174324463203118,0.47569601740964224
centers_24_standard,d_native,0.7837363745760452,0.30390622809039014,0.7930256805551907,167.0,0.4762788552661541,1.2253453471804814
centers_24_standard,d_native,1.6699176452670297,0.1983201992391562,0.6345501229227508,166.0,1.254293998582231,1.9167358816074689
centers_24_standard,d_native,2.1274667387868176,0.24493244234094447,0.6973905094601128,167.0,1.917227038698482,2.2906991569194073
centers_24_standard,d_native,2.427593095850059,0.25483599311789107,0.7092214990289056,166.0,2.29070627674715,2.497371042601245
centers_24_standard,d_native,2.6728696229456497,0.3100684089067984,0.7759406057922114,167.0,2.49793553648289,2.8615577656994406
centers_24_standard,d_native,2.982106895094074,0.32789716177432426,0.8062353470462307,166.0,2.8616041004225568,3.200773457209728
