representation,field_id,role,bucket,peer_count,n_obs,p_retard_obs,p_stay_obs,p_advance_obs,p_retard_hat,p_stay_hat,p_advance_hat,e_tv,R_pre,R_bank_moments,d_shape,d_native,u_ensemble,g_peer,policy_a
intervals_24_decimal6,al_f10_n9_p8,active_learning,high_occupancy_high_risk,8,16,0.0,0.0,1.0,0.22030991063175423,0.13616129264030738,0.6435287967279383,0.35647120327206167,0.3463421217847788,0.649517164680506,8.458494450368217,5.482068367955257,0.14169126922973418,0,0.0
intervals_24_decimal6,al_f11_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.5,0.0625,0.4375,0.46128238058998755,0.20278994049032165,0.33592767891969094,0.14028994049032156,0.34054339156662633,0.5941544894244619,3.1595045006797786,4.000942771846157,0.134602252688352,0,0.0
intervals_24_decimal6,al_f12_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.3125,0.0,0.6875,0.2902904925254212,0.24895178368516452,0.46075772378941404,0.24895178368516463,0.3883608696346036,0.5800998357476318,1.5274967714546346,3.9047423632079528,0.14527317110034313,0,0.0
intervals_24_decimal6,al_f13_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.625,0.0,0.375,0.44171803279469224,0.1878802581308026,0.3704017090745051,0.18788025813080264,0.36624491888976207,0.5913174336056166,2.1075270492111575,3.832197851859226,0.14798945257303972,0,0.0
intervals_24_decimal6,al_f14_n9_p8,active_learning,high_occupancy_high_risk,8,16,0.4375,0.0,0.5625,0.40526410758540204,0.24965197045548793,0.3450839219591102,0.24965197045548784,0.3784588780091205,0.6472297008729168,6.840878972747552,4.278530843156419,0.2117265405089116,0,0.0
intervals_24_decimal6,al_f15_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.8125,0.0,0.1875,0.37089023626078677,0.22580445868963156,0.40330530504958156,0.44160976373921323,0.3609153154190217,0.5662979392896231,1.3066281256129626,3.8478644295121405,0.07521190964714443,0,0.0
intervals_24_decimal6,al_f16_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.875,0.0,0.125,0.4003017127058882,0.09902462977155725,0.5006736575225547,0.47469828729411184,0.29553131450289316,0.6564143775657074,5.288455961534703,4.012339375701427,0.06174138156248902,0,0.0
intervals_24_decimal6,al_f17_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.3125,0.0625,0.625,0.2437405717437681,0.1497173120364551,0.6065421162197769,0.08721731203645504,0.37079253236547527,0.5835414555672032,3.6544666659048057,5.507798806044269,0.21665865319292577,0,0.0
intervals_24_decimal6,al_f18_n17_p16,active_learning,high_disagreement,16,16,0.5,0.0,0.5,0.3058916387280667,0.3548825865957045,0.339225774676229,0.3548825865957044,0.3992746873941091,0.5816759125443824,1.4008458289645958,4.22668592643394,0.1963371972489818,0,0.0
intervals_24_decimal6,al_f19_n17_p16,active_learning,high_disagreement,16,16,0.9375,0.0,0.0625,0.41221841110230173,0.2347600410816907,0.3530215478160076,0.5252815888976983,0.3612285541012339,0.56596578217943,1.6221549837717484,2.6382409890722234,0.13398704889329335,0,0.0
intervals_24_decimal6,al_f20_n17_p16,active_learning,high_disagreement,16,16,0.625,0.0625,0.3125,0.5267499782684976,0.17022141136226068,0.30302861036924134,0.10772141136226089,0.3365780745040195,0.5730110581185317,1.7795805572309074,2.705980500730985,0.10183759526153767,0,0.0
intervals_24_decimal6,al_f21_n9_p8,active_learning,high_disagreement,8,16,0.0625,0.0,0.9375,0.23965859760273098,0.24092713210202713,0.519414270295242,0.41808572970475805,0.3956970640225045,0.6399377120847454,7.119537238285647,4.402428672359187,0.23049327993521387,0,0.0
intervals_24_decimal6,al_f22_n17_p16,active_learning,high_disagreement,16,16,0.3125,0.0,0.6875,0.4277598693785279,0.19830463300288326,0.373935497618589,0.3135645023814111,0.38928294459120444,0.562164288279323,1.300471601806762,4.407777829144213,0.0897986158688086,0,0.0
intervals_24_decimal6,al_f23_n9_p8,active_learning,high_disagreement,8,16,0.0,0.0,1.0,0.32341252502096973,0.028820313345852236,0.6477671616331778,0.35223283836682207,0.34313748534868105,0.5153869231218359,7.839628623701051,3.8706953027426403,0.1856311594391278,0,0.0
intervals_24_decimal6,al_f24_n17_p16,active_learning,high_disagreement,16,16,0.25,0.0625,0.6875,0.2577524490691093,0.1511698663376982,0.5910776845931927,0.09642231540680743,0.3650767072284255,0.562359212993876,1.7917207046907901,3.9047423632079528,0.15057762817201562,0,0.0
intervals_24_decimal6,al_f25_n17_p16,active_learning,high_disagreement,16,16,0.375,0.0,0.625,0.3030204559126058,0.0881401538406447,0.6088393902467493,0.08814015384064483,0.305745014642095,0.5508011149582658,6.389766830325534,5.3477908771570455,0.08658294096094377,0,0.0
intervals_24_decimal6,al_f26_n17_p16,active_learning,k0_or_boundary,16,16,0.125,0.3125,0.5625,0.4368352893371788,0.23058939656107588,0.3325753141017454,0.31183528933717874,0.377804754231086,0.543795651956418,3.171863286050396,4.933087273531431,0.15890394053685197,0,0.0
intervals_24_decimal6,al_f27_n17_p16,active_learning,k0_or_boundary,16,16,0.0625,0.0,0.9375,0.07833131544742424,0.01999470450720353,0.9016739800453722,0.03582601995462776,0.31513658618518764,0.2638138842704096,11.980356131602646,4.075371397150787,0.2853044577034595,0,0.0
intervals_24_decimal6,al_f28_n17_p16,active_learning,k0_or_boundary,16,16,0.3125,0.0,0.6875,0.7516628163250112,0.06779538183176359,0.18054180184322544,0.5069581981567747,0.3076824829498833,0.2697098221984915,11.13806100317279,3.850612888446077,0.25127065979390334,0,0.0
intervals_24_decimal6,al_f29_n17_p16,active_learning,k0_or_boundary,16,16,0.0625,0.0,0.9375,0.0980536048347154,0.021702739503494602,0.8802436556617899,0.05725634433821007,0.3079630969962258,0.2602045586817437,7.559469106475307,2.4472463250424883,0.2609978699520246,0,0.0
intervals_24_decimal6,al_f30_n17_p16,active_learning,k0_or_boundary,16,16,0.0,0.0,1.0,0.1676183532587828,0.02511529262892561,0.8072663541122918,0.19273364588770833,0.3179088152392465,0.44790169154439413,6.284900159515689,2.9344235317081777,0.12132410434299312,0,0.0
intervals_24_decimal6,al_f31_n17_p16,active_learning,k0_or_boundary,16,16,0.3125,0.0,0.6875,0.4565901066528638,0.30863668648256243,0.23477320686457354,0.45272679313542635,0.2793197955051119,0.434187959800737,5.925985434601449,1.7226891486139166,0.16651285375440392,0,0.0
intervals_24_decimal6,control_exact_antipodal_8_8_r00,exact_antipodal_balance,control,16,16,0.4375,0.3125,0.25,0.3917321448405039,0.2829279459544686,0.32533990920502753,0.07533990920502753,0.3316166462884802,nan,0.2471914094450728,1.3052619222005157,0.03737700095466338,0,0.0
intervals_24_decimal6,control_lowrisk_sparse_N8_unimodal_k6,low_risk_anchor,control,8,16,0.0,0.9375,0.0625,0.11732666372745386,0.6529241059765728,0.22974923029597305,0.2845758940234271,0.35746825923812897,nan,5.171543825418377,2.159102826166228,0.40863136179414566,0,0.0
intervals_24_decimal6,control_small_imbalance_9_7_r00,small_imbalance,control,16,16,0.3125,0.0,0.6875,0.18040507591786736,0.2765884898492896,0.5430064342328432,0.2765884898492895,0.3828278295761773,nan,1.3452384702412497,3.591450290153222,0.15019078105880826,0,0.0
intervals_24_decimal6,control_sparse_N16_antipodal_equal,sparse_antipodal_manifold,control,16,16,0.0,1.0,0.0,0.3161214870203676,0.37374378877971015,0.31013472419992194,0.6262562112202896,0.33562259224881297,nan,1.1692137100119013,0.9229595564125725,0.0717934098149926,0,0.0
moments_m1_m3,al_f00_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.0,1.0,0.058938139681876445,0.02857298180091026,0.9124888785172133,0.08751112148278671,0.211279548763602,0.4914511445274745,7.351410278776457,3.888332073868339,0.09130720201606372,0,0.0
moments_m1_m3,al_f01_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.0,1.0,0.11644799031007771,0.029441738464383287,0.8541102712255386,0.14588972877446119,0.1708592808959945,0.49330752787582255,6.037437411392919,3.502903015405936,0.052575891022827816,0,0.0
moments_m1_m3,al_f02_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.8125,0.0,0.1875,0.7300077839032821,0.0909090909090909,0.17908312518762695,0.0909090909090909,0.4325268326569684,0.6341891301733826,4.3921386869767565,3.4685032816808827,0.33486752600287667,0,0.0
moments_m1_m3,al_f03_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.6875,0.0,0.3125,0.3590055429441678,0.3633741816798524,0.27762027537597966,0.36337418167985247,0.3111329465592263,0.6165494305501064,3.268072052621738,2.110348873105662,0.18915565761957912,0,0.0
moments_m1_m3,al_f04_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,1.0,0.0,0.49279784583162306,0.029245455379895764,0.4779566987884812,0.9707545446201042,0.19064441602152293,0.4297651217236177,7.527487772119713,3.6330435130737393,0.06937716060057782,0,0.0
moments_m1_m3,al_f05_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.0,1.0,0.09090909090909088,0.36073853711119097,0.5483523719797182,0.4516476280202818,0.38069545614142253,0.6015426781997408,1.0304338332140457,0.9315028359316273,0.26423939112664124,0,0.0
moments_m1_m3,al_f06_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0625,0.0,0.9375,0.4057159894184643,0.2785888872932103,0.31569512328832544,0.6218048767116746,0.3873450234845497,0.5927109284884508,2.4810726685698614,2.181305456249885,0.27792764990989144,0,0.0
moments_m1_m3,al_f07_n17_p16,active_learning,high_occupancy_high_risk,16,16,0.0,0.0,1.0,0.2455245532144584,0.3250593760092101,0.4294160707763313,0.5705839292236686,0.3924879969258108,0.5849109768849361,4.41771518206806,1.6686143545217602,0.26868924265161936,0,0.0
