representation,regime,n_agents,t,agent,peer_count_query,abs_z1,abs_z2,abs_z3,d_canonical,d_native,d_peer,policy_a,nn_train_index,nn_canonical_dist,nn_source_family,nn_profile,nn_representation,nn_peer_count,nn_abs_z1,nn_abs_z2,nn_abs_z3
moments_m1_m3,closed_loop,17,8,6,16,0.5533378931542097,0.016746824526945262,0.13025134581999676,2.733013111495853,1.3555685899584529,0.0,0,19,2.5989679258223397,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.30222534203599205,0.0933239738920241
moments_m1_m3,closed_loop,17,8,7,16,0.55093531739145,0.040094747740903124,0.1892787799621503,3.1820628116022216,1.5049619810146364,0.0,0,13,2.8697009408363914,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.3022253420359919,0.09332397389202389
moments_m1_m3,closed_loop,17,9,0,16,0.6691553777768279,0.16535945694153692,0.11717239278891854,2.9966419034412874,1.1511775145589047,0.0,0,29,2.5846584583035592,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.30222534203599205,0.09332397389202417
moments_m1_m3,closed_loop,17,9,1,16,0.5827872444366979,0.08838834764831852,0.1530931089239487,2.378872098021732,1.2910131572896077,0.0,0,18,2.1528055827766877,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,9,2,16,0.5867377830216959,0.07745710468296735,0.1701815845737131,2.5037364857912507,1.2772293994386956,0.0,0,14,2.2030499848347995,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.302225342035992,0.09332397389202395
moments_m1_m3,closed_loop,17,9,3,16,0.5955689771763296,0.08838834764831852,0.20002578629781645,2.6349211222419733,1.3975644024250244,0.0,0,18,2.4609719857344126,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,9,4,16,0.613194599844241,0.08838834764831852,0.1338403088459531,2.8808002708459255,1.3131728109660337,0.0,0,18,2.6897521582505535,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,9,5,16,0.5825131585771524,0.06250000000000008,0.13384030884595308,2.422363164916012,1.2418825068033768,0.0,0,18,2.26893481255218,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,9,7,16,0.5957858940635892,0.0723421223401026,0.11717239278891835,2.383821963196882,1.3871066766465914,0.0,0,15,2.199147108626201,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.30222534203599194,0.09332397389202382
moments_m1_m3,closed_loop,17,9,8,16,0.6363779564207332,0.1540063509461097,0.2217278247581482,2.559015047158678,1.4832789079056172,0.0,0,10,2.0545290145886943,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.302225342035992,0.09332397389202396
moments_m1_m3,closed_loop,17,10,0,16,0.6991251796660594,0.24363901658231546,0.18313445408218548,2.5282292860019857,1.197639560618879,0.0,0,26,1.7488619720345826,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.302225342035992,0.09332397389202378
moments_m1_m3,closed_loop,17,10,2,16,0.6544326602255774,0.15309310892394867,0.1499656121113779,2.420906558330231,1.396382831927293,0.0,0,15,1.970561392123836,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.30222534203599194,0.09332397389202382
moments_m1_m3,closed_loop,17,10,3,16,0.6577941140249821,0.14800357832702715,0.13384030884595316,2.788150343982823,1.2271439760995642,0.0,0,19,2.502780370241893,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.30222534203599205,0.0933239738920241
moments_m1_m3,closed_loop,17,10,8,16,0.6930382825048953,0.2414814565722671,0.24067310497028915,2.623834483032046,1.1957042092353911,0.0,0,11,2.0500507579010927,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.302225342035992,0.09332397389202389
moments_m1_m3,closed_loop,17,10,9,16,0.674121182857073,0.23385358667337133,0.26516504294495524,2.8292933998740026,1.3123135699352415,0.0,0,23,2.4568442814110263,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.302225342035992,0.09332397389202385
moments_m1_m3,closed_loop,17,10,10,16,0.6561871699328709,0.12611683524310427,0.08838834764831861,2.4755693142115387,1.2006021232628954,0.0,0,18,2.1893208224702163,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,10,11,16,0.6661277294529975,0.18750000000000008,0.24538087074590778,2.781347902065436,1.4231344715087757,0.0,0,12,2.1048673149416186,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.30222534203599205,0.09332397389202406
moments_m1_m3,closed_loop,17,10,12,16,0.6946000716841432,0.24148145657226705,0.21650635094610948,2.5987593037689853,1.096777758159117,0.0,0,24,1.963852514599718,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.302225342035992,0.09332397389202376
moments_m1_m3,closed_loop,17,11,12,16,0.727564265556687,0.28592095737854495,0.21741112644908644,2.4643482523091618,1.1814184449075291,0.0,0,23,2.103451274455763,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.302225342035992,0.09332397389202385
moments_m1_m3,closed_loop,17,11,14,16,0.7539191728027007,0.30572789187161803,0.19522982563107585,2.4346852863846173,1.1862970555750147,0.0,0,10,2.1631780443313207,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.302225342035992,0.09332397389202396
moments_m1_m3,closed_loop,17,11,15,16,0.695814320299148,0.21715307073982704,0.15865216983004388,2.5482247153556234,1.259423151741467,0.0,0,21,2.2049966341988285,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640082,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,11,16,16,0.7056366109439488,0.2253469547164994,0.14996561211137804,2.4190096207067224,1.2267332250020075,0.0,0,13,1.699865006421417,transmutation,kappa_2,moments_m1_m3,240,0.697774657964008,0.3022253420359919,0.09332397389202389
moments_m1_m3,closed_loop,17,12,0,16,0.7498498915579345,0.3361559070851852,0.25530535869002197,2.456137679163144,1.1044870779422025,0.0,0,60,1.9616717854051104,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245504,0.568238694487725,0.29528391653682967
moments_m1_m3,closed_loop,17,12,2,16,0.7514350086957682,0.3044722047528576,0.16451790589446647,2.460062190896447,1.1707367012480752,0.0,0,17,2.1483356555907624,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.302225342035992,0.09332397389202385
moments_m1_m3,closed_loop,17,12,4,16,0.7498498915579345,0.29052548803436246,0.1586521698300436,2.4531905332201593,1.1940395267563118,0.0,0,17,2.020681202244724,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.302225342035992,0.09332397389202385
moments_m1_m3,closed_loop,17,12,5,16,0.7514350086957682,0.3044722047528576,0.16451790589446652,2.4229503821622407,1.1471539943843174,0.0,0,18,2.236926229381928,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,12,6,16,0.7509096813363084,0.29136029837139105,0.10696327107891057,2.3595698569533896,1.2269058515190538,0.0,0,18,1.9809589155498724,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,12,9,16,0.7433738114017087,0.2813746195607097,0.14996561211137804,2.7964651839906414,1.2285066221292078,0.0,0,21,2.409231821663048,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640082,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,12,10,16,0.7365900234039428,0.25878014271476213,0.11717239278891843,2.462343635866208,1.102731053430186,0.0,0,18,2.1851967157540493,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.3022253420359921,0.09332397389202404
moments_m1_m3,closed_loop,17,12,11,16,0.7705975667656096,0.35864438357273043,0.24538087074590778,2.512936154790262,1.378364328096536,0.0,0,48,2.184927311456149,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245505,0.5682386944877245,0.29528391653682307
moments_m1_m3,closed_loop,17,13,0,16,0.8173042941524195,0.45408136011599415,0.21958008354110892,2.7403400379678207,1.2495438779078334,0.0,0,60,1.8118677551087097,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245504,0.568238694487725,0.29528391653682967
moments_m1_m3,closed_loop,17,13,1,16,0.7650378024747396,0.31824839963189727,0.10243693755594602,2.5418965051605538,1.3114772183773544,0.0,0,17,2.235297188976744,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.302225342035992,0.09332397389202385
moments_m1_m3,closed_loop,17,13,2,16,0.7901866250637843,0.3746258718618668,0.15309310892394876,2.6171512270728674,1.125628260610721,0.0,0,54,2.1834157198970567,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245507,0.5682386944877251,0.2952839165368302
moments_m1_m3,closed_loop,17,13,3,16,0.7917431471585125,0.3777808267578812,0.14996561211137807,2.805464197869025,1.2035221754044987,0.0,0,53,2.2510564451163475,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245505,0.5682386944877251,0.29528391653683
moments_m1_m3,closed_loop,17,13,4,16,0.7794282090288034,0.3460731387081779,0.10243693755594607,2.4500193509830477,1.258269183888258,0.0,0,17,2.2947355696485165,transmutation,kappa_2,moments_m1_m3,240,0.6977746579640081,0.302225342035992,0.09332397389202385
moments_m1_m3,closed_loop,17,13,5,16,0.7936321116735834,0.3836476447592776,0.1616116523516816,3.110393469037558,1.0646116156009753,0.0,0,53,2.5264837870756813,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245505,0.5682386944877251,0.29528391653683
moments_m1_m3,closed_loop,17,13,6,16,0.7936321116735835,0.38364764475927754,0.16161165235168157,3.1341669309408746,1.0410938449559348,0.0,0,54,2.5266136453366888,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245507,0.5682386944877251,0.2952839165368302
moments_m1_m3,closed_loop,17,13,7,16,0.7898892783316341,0.36366411389705133,0.11548494156391087,2.4246651111450466,1.1964000707841806,0.0,0,54,2.244937168267291,transmutation,kappa_4,moments_m1_m3,240,0.8635226110245507,0.5682386944877251,0.2952839165368302
