bundle,n_agents,coupling,seed_index,final_r,mean_r,t_r1_gt_0.5,t_r1_gt_0.9,mean_activity,mean_tau_social
v1,9,0.12,6,0.9987759516834912,0.7246085800772173,24.0,64.0,0.9255555555555555,0.04333333333333335
v1,9,0.12,7,0.9964990872753929,0.9428217237910895,3.0,14.0,0.9300000000000002,-0.047777777777777766
v1,9,0.12,8,0.9964064344063956,0.8985963207502425,1.0,32.0,0.9333333333333331,0.04666666666666666
v1,9,0.12,9,0.9840397323950826,0.7828594053323676,7.0,74.0,0.9355555555555556,-0.02444444444444445
v1,9,0.12,10,0.9919067204960097,0.9221231686106143,2.0,22.0,0.9355555555555556,-0.046666666666666655
v1,9,0.12,11,0.9973561507511407,0.7817661008303461,16.0,63.0,0.9,-0.011111111111111106
v1,9,0.14,0,0.9952734973909617,0.9718960216940077,0.0,8.0,0.8977777777777777,-0.028888888888888895
v1,9,0.14,1,0.9957302929913129,0.958074781618391,1.0,10.0,0.9299999999999998,-0.09666666666666666
v1,9,0.14,2,0.986872240481784,0.8467394534518152,16.0,29.0,0.8933333333333334,0.011111111111111117
v1,9,0.14,3,0.9939390591015782,0.9179767372334453,6.0,18.0,0.9266666666666665,-0.07555555555555556
v1,9,0.14,4,0.8014994112764725,0.7116540757041756,11.0,nan,0.9477777777777777,-0.03222222222222222
v1,9,0.14,5,0.9871632988720993,0.9598982457318164,0.0,11.0,0.9211111111111113,-0.06333333333333332
v1,9,0.14,6,0.9941345660171736,0.842167969421594,17.0,29.0,0.9133333333333334,-0.12444444444444443
v1,9,0.14,7,0.9913649087817339,0.9828642848759799,0.0,5.0,0.9244444444444443,-0.02666666666666666
v1,9,0.14,8,0.7670864418680471,0.7525917948782082,3.0,nan,0.94,-0.04666666666666667
v1,9,0.14,9,0.992070019298289,0.9231285499841255,4.0,22.0,0.9155555555555555,-0.07111111111111111
v1,9,0.14,10,0.9951617615807629,0.9444109004426764,1.0,13.0,0.9133333333333333,-0.019999999999999997
v1,9,0.14,11,0.9939655555008617,0.8468237844449661,15.0,30.0,0.9,-0.09333333333333334
v1,9,0.16,0,0.8843933868506784,0.7306187265135959,9.0,nan,0.941111111111111,-0.03666666666666667
v1,9,0.16,1,0.9851890376824524,0.9720318004919685,0.0,7.0,0.9066666666666666,-0.06444444444444443
v1,9,0.16,2,0.9786008042325617,0.9394977458937833,0.0,21.0,0.9166666666666667,-0.018888888888888886
v1,9,0.16,3,0.9817078678770481,0.9309313156305616,5.0,16.0,0.9288888888888889,-0.026666666666666665
v1,9,0.16,4,0.9927653219847378,0.9256874616668743,5.0,16.0,0.9088888888888889,0.004444444444444442
v1,9,0.16,5,0.9972599312791328,0.9671512815166952,0.0,9.0,0.91,-0.0877777777777778
v1,9,0.16,6,0.9921516282467027,0.8994066734669193,7.0,25.0,0.9122222222222222,0.023333333333333334
v1,9,0.16,7,0.7933990086899236,0.6757385970123906,17.0,nan,0.9288888888888889,-0.042222222222222223
v1,9,0.16,8,0.9918712998797001,0.8145061985398249,12.0,47.0,0.9122222222222222,-0.03444444444444444
v1,9,0.16,9,0.9870189372219629,0.7608300431550148,27.0,36.0,0.8933333333333334,-0.09333333333333331
v1,9,0.16,10,0.9854842795914257,0.9096735541450033,6.0,21.0,0.9344444444444445,-0.01888888888888889
v1,9,0.16,11,0.7682688534226889,0.5769704731597315,16.0,nan,0.9266666666666669,-0.05555555555555555
