block,representation,profile,concentration,a0,a1,b1,R1,phi1,phi1_degrees,phi1_reportable,phi1_raw_degrees,a2,b2,R2,phi2,phi2_degrees,phi2_reportable,phi2_raw_degrees,activity,mean_stay,mean_entropy,entropy_units,entropy_normalized_by_log3,no_stay_directional_controller,hard_directional_controller,a0_fourier_range,a0_unweighted_mean_g,a0_density_weighted_mean_g,a0_mirror_even_mean_g,g_prime0_M6_diagnostic,g_prime0_order_range_diagnostic,g_prime0_sign_flip_diagnostic,n_fixed_points_diagnostic,epsilon
block_1,moments_m1_m3,antipodal_weps_m020_k6,-0.02,-0.08333662710234109,-1.0066757931015922,-0.12900346882910557,1.01490790093814,-3.0141393204135993,-172.69746192412939,1,-172.69746192412939,0.3828581065497224,-0.10163270369613057,0.3961180836713013,-0.25947352306354127,-14.866737766931342,1,-14.866737766931342,0.8680555555555556,0.13194444444444442,0.26625985725791523,nats,0,0,0,0.005257139967809923,-0.08101851851851853,-0.08365387089355113,-0.08101851851851853,1.3125373493938746,4.232876338666383,1,5,-0.02
block_1,moments_m1_m3,antipodal_weps_p000_k6,0.0,0.020964668519409216,-0.0002355033242632116,-0.0008893034382491507,0.0009199578365451235,nan,nan,0,-104.83246896365428,0.11053309090663896,0.03574340364579908,0.11616864934035273,nan,nan,0,17.919800447064326,0.08101851851851853,0.9189814814814814,0.14930465098929177,nats,0,0,0,0.005510552751095181,0.02546296296296296,0.022626920160730483,0.025462962962962965,0.44602745111247266,0.8161640187873223,0,26,0.0
block_1,moments_m1_m3,antipodal_weps_p020_k6,0.02,-0.054324234440214315,0.9399594664361819,0.095823060659728,0.9448311264438686,0.10159285615867945,5.820841886571985,1,5.820841886571985,0.42548861824479545,-0.012048977331071678,0.42565918539435976,-0.028310412170900745,-1.6220671336684114,1,-1.6220671336684114,0.8217592592592593,0.17824074074074076,0.2805044177964309,nats,0,0,0,0.015297914339329123,-0.053240740740740734,-0.04874311606788083,-0.053240740740740734,3.643516924780382,3.6426122027710024,0,9,0.02
block_1,moments_m1_m3,antipodal_weps_p050_k6,0.05,-0.14741686080052785,1.0926623014177925,0.35194207063524663,1.1479434332852172,0.31160302110027455,17.85353799257167,1,17.85353799257167,0.27656009376927987,-0.16108933311887977,0.3200550869934085,-0.5274337744266717,-30.21972924730338,1,-30.21972924730338,0.988425925925926,0.011574074074074073,0.14061858838500388,nats,0,0,0,0.012051201787697308,-0.13657407407407407,-0.14669136936141697,-0.13657407407407407,3.707878133805415,4.304965203644938,0,2,0.05
block_1,moments_m1_m3,antipodal_weps_p100_k6,0.1,-0.08510958703823963,1.0804976958233987,0.31525248426951685,1.1255484883014928,0.28388564686254647,16.265449429565212,1,16.265449429565212,0.22393477896858405,-0.05418687111111477,0.23039748747007022,-0.23741264485029118,-13.602742552960002,1,-13.602742552960002,1.0,0.0,0.15550408845168578,nats,0,1,1,0.011068179682635237,-0.07407407407407407,-0.08255077221217635,-0.07407407407407408,3.3714349644122734,2.7966182888861284,0,6,0.1
block_1,moments_m1_m3,antipodal_weps_p200_k6,0.2,-0.04709023877070105,1.0604019479667812,0.07479603358616786,1.0630365647013122,0.07041891933317189,4.0347068756629465,1,4.0347068756629465,0.31838746179396854,0.0263125289591723,0.3194728861857185,0.08245572633301694,4.724365115567594,1,4.724365115567594,1.0,0.0,0.17707188697448537,nats,0,1,1,0.01733566012325137,-0.03703703703703705,-0.04428757672556299,-0.037037037037037035,3.8279889562948477,5.42177451670038,0,6,0.2
block_1,centers_24_standard,antipodal_weps_m100_k6,-0.1,-0.26442052247949693,-0.621799904405605,-0.3248763154373176,0.701555230506442,-2.6601253486071417,-152.41395545095605,1,-152.41395545095605,0.16534844179758781,-0.023173934024911042,0.16696448251972998,-0.13924513038083774,-7.978158288570881,1,-7.978158288570881,0.988425925925926,0.011574074074074075,0.3656351252550346,nats,0,0,0,0.04090088436086628,-0.2569444444444444,-0.2398358817441042,-0.2569444444444445,0.8834442743199005,2.8204368000260667,1,8,-0.1
block_1,centers_24_standard,antipodal_weps_m050_k6,-0.05,-0.13007080768315404,-0.4678843873716806,-0.3172241203119758,0.5652848330301103,-2.545787070564016,-145.8628546822916,1,-145.8628546822916,0.3951662229725436,-0.1356116060597059,0.4177880461148678,-0.3305827404853518,-18.94099580967923,1,-18.94099580967923,0.9699074074074076,0.030092592592592598,0.4434261392438444,nats,0,0,0,0.020314928919253877,-0.13194444444444445,-0.12346236085861374,-0.13194444444444442,1.8531233401137652,1.718717609715333,0,9,-0.05
block_1,centers_24_standard,antipodal_weps_m020_k6,-0.02,-0.01350660399265974,-0.48667558073300976,-0.3575454071751657,0.6038972090297051,-2.507975875783826,-143.69643280303964,1,-143.69643280303964,0.3288874263737196,-0.12532633308087307,0.35195685671716465,-0.36407423533234956,-20.859917113996346,1,-20.859917113996346,0.9675925925925927,0.032407407407407406,0.4826795309171408,nats,0,0,0,0.040844017534939894,-0.023148148148148154,-0.0019130102472841646,-0.02314814814814814,2.100070144553051,1.8991401553271547,0,8,-0.02
block_1,centers_24_standard,antipodal_weps_p000_k6,0.0,0.14225522006129832,0.07204027678122396,-0.026725001789488344,0.07683766784177869,nan,nan,0,-20.3534968987161,0.011798217377992082,0.023306775298620026,0.02612285796230418,nan,nan,0,63.150825795299575,0.337962962962963,0.6620370370370371,0.4868428329041945,nats,0,0,0,0.006735812375696759,0.14814814814814817,0.14413232472428397,0.14814814814814814,0.2555859609612557,2.411363622193545,1,14,0.0
