block,representation,profile,concentration,a0,a1,a2,b1,b2,activity,a1_ci_low,a1_ci_high,a2_ci_low,a2_ci_high
block_1,centers_24_standard,kappa_2,2.0,-0.30946867910402265,0.6855769597524454,-0.07065940038315366,0.3198046622318364,0.10771007290743015,0.988425925925926,0.6264379022040114,0.7433203872053222,-0.13170784040470554,-0.013456171108601972
block_1,centers_24_standard,kappa_4,4.0,-0.358527583698225,0.2630842508907621,-0.19932691948957257,0.05374630242145143,0.12572222779311737,0.9942129629629631,0.188415732080323,0.33912004833998666,-0.268347291168865,-0.1272298710346266
block_1,centers_24_standard,kappa_6,6.0,-0.33646359811805177,0.015841699218968216,-0.17768175729435534,0.08348124743550356,0.2213089466781847,0.9907407407407407,-0.057118625979586266,0.08851403935871133,-0.25788401776971787,-0.09610647157210875
block_1,centers_24_standard,kappa_9,9.0,-0.18282430517594628,-0.13376242282824857,-0.04917874438709588,0.18467803113783132,0.1202839842059045,0.9849537037037036,-0.21006598981566865,-0.061760525413457876,-0.13261865537292752,0.032997966586091027
block_1,centers_24_standard,kappa_12,12.0,-0.2920376738299285,-0.3712652789964506,-0.1164185659052041,0.1798784644991329,-0.22017833582005994,0.9722222222222222,-0.4320216658373457,-0.3076696929866348,-0.18215119876335362,-0.048162271691513284
block_2,intervals_24_decimal6,kappa_2,2.0,0.13125795034234464,0.6356458253984548,0.05140387694425759,0.014385909207925804,-0.13084911070228622,0.9861111111111112,0.5657206452252458,0.7041536008672735,-0.027789831971896307,0.13156888876740458
block_2,intervals_24_decimal6,kappa_4,4.0,0.05780757294595832,0.48073833001704935,-0.008206247454303265,0.044364136767863833,-0.008628530573148042,0.9780092592592593,0.4077784158361297,0.5559269519230069,-0.08911924808583094,0.07335843563943555
block_2,intervals_24_decimal6,kappa_6,6.0,0.14302110252628256,0.20976782116732343,-0.03452706091956092,0.22885869687566626,-0.010116515738199116,0.9756944444444444,0.13034884645062408,0.2887016571238366,-0.11423865103880547,0.04733324615064993
block_2,intervals_24_decimal6,kappa_9,9.0,0.286471356564745,-0.0836250113250498,0.4156437725872096,0.016005399488248934,0.018173351571638637,0.9675925925925924,-0.1533694865929108,-0.0155018750050408,0.33865552882004507,0.49050888725669434
block_2,intervals_24_decimal6,kappa_12,12.0,0.13732642574996567,0.11074961435595922,0.327751843077771,0.13452189327338107,0.00019210894449846536,0.9803240740740742,0.03227338748465599,0.1861556859835212,0.2442079025755188,0.40770331167299995
block_2,moments_m1_m3,kappa_2,2.0,0.04257260630587603,0.9889566415464394,0.4467654454820075,-0.03040114234093472,-0.015862270454434522,1.0,0.9519897073336141,1.0279827635459604,0.38927312620656784,0.49976375090899905
block_2,moments_m1_m3,kappa_4,4.0,0.09169927955797219,0.9842107029960498,0.41087538742761626,-0.19530094258001376,0.19259394663740137,1.0,0.9415841786856034,1.0274908320100264,0.35181763315421466,0.4687906292764103
block_2,moments_m1_m3,kappa_6,6.0,0.08915968630906891,0.8485726835521296,0.6013580074988045,-0.19516369491891788,0.15563486358023612,1.0,0.800242177523058,0.8942195041907101,0.5409683358063275,0.6599866453765204
block_2,moments_m1_m3,kappa_9,9.0,-0.05037571044880746,0.9697138005651353,0.46141420882851647,0.039224762034880956,0.07603399806942923,1.0,0.9328007935721052,1.0042416061630517,0.4101609037443961,0.5103549904245196
block_2,moments_m1_m3,kappa_12,12.0,-0.020739085585846147,1.0106692652303573,0.40169362683140464,0.02525523425297725,-0.005205325309434138,1.0,0.9721419906034965,1.0496183368841931,0.34805462697861805,0.4540790197282898
block_2,centers_24_standard,kappa_2,2.0,-0.2645018582495133,0.6780541537575304,-0.033461862837581346,0.28703216432435663,0.1274362761263985,0.9884259259259258,0.6169849699079127,0.7389296546231809,-0.09344795264314866,0.027760058456822497
block_2,centers_24_standard,kappa_4,4.0,-0.3774733627386645,0.20613972024424293,-0.17806172220690025,0.07225778210417004,0.030493366674602333,0.988425925925926,0.12868891397727378,0.2812234194055919,-0.2543499429207875,-0.10212899929047253
block_2,centers_24_standard,kappa_6,6.0,-0.3438658367338155,-0.10539633528367345,-0.1838871408742553,0.10019601842193368,0.08423294587587214,0.9942129629629631,-0.1773496596674929,-0.03141491198910799,-0.2601295733503229,-0.10866179753195339
block_2,centers_24_standard,kappa_9,9.0,-0.3227350306579162,-0.14959830688909856,-0.02126123061346788,0.08622968423464665,0.08468233212376383,0.9791666666666666,-0.21922084102388867,-0.07868244103833656,-0.09608507666412221,0.05292267154230534
block_2,centers_24_standard,kappa_12,12.0,-0.2836810745421547,-0.41307989895627356,0.0017462233962782583,0.12612580387335157,-0.1947790402314323,0.9733796296296295,-0.4800400468630285,-0.3474108125485392,-0.06914005202018021,0.07170571546760592
