block,representation,profile,imbalance,realization,count_a,count_b,a0,a1,b1,R1,phi1_degrees,R2,activity,mean_entropy
block_1,moments_m1_m3,sparse_peer16_antipodal_10_6_r03_k6,10_6,3,10,6,-0.06954541723678381,1.0792486474071001,0.09723108159489503,1.0836196409064245,5.147962431968401,0.22728897189549097,0.9930555555555556,0.14185774497535314
block_1,moments_m1_m3,sparse_peer16_antipodal_10_6_r04_k6,10_6,4,10,6,-0.05063568856766965,1.0256366526882965,0.2902207603170115,1.0659074223668008,15.799733196980782,0.28320962268856026,1.0,0.12387761544711684
block_1,moments_m1_m3,sparse_peer16_antipodal_10_6_r05_k6,10_6,5,10,6,0.011101594975675075,1.1534753511059685,0.18008073081079934,1.1674478383287148,8.87339577797833,0.17870143624975604,1.0,0.13586436846594105
block_1,centers_24_standard,sparse_peer16_antipodal_8_8_r00_k6,8_8,0,8,8,0.00844563204373267,-0.17482390561996305,-0.1251068666866139,0.21497703614190966,-144.41186620514156,0.19948501622193993,0.6111111111111112,0.3812598905157942
block_1,centers_24_standard,sparse_peer16_antipodal_8_8_r01_k6,8_8,1,8,8,-0.13797546850163106,-0.0870932893572347,0.018744714597466485,0.08908762751585365,167.85375982984797,0.21025946072644408,0.6388888888888888,0.45808803511442203
block_1,centers_24_standard,sparse_peer16_antipodal_8_8_r02_k6,8_8,2,8,8,0.043033212007490336,-0.033873072162678236,-0.07499356173445423,0.08228863420520117,-114.30772973357834,0.4536571724966752,0.6319444444444444,0.5062232559866403
block_1,centers_24_standard,sparse_peer16_antipodal_8_8_r03_k6,8_8,3,8,8,0.020312422673073708,-0.12554370577448487,0.14139215355635035,0.18908453968236796,131.60223821578518,0.4237442750423836,0.6666666666666666,0.5098569236516719
block_1,centers_24_standard,sparse_peer16_antipodal_8_8_r04_k6,8_8,4,8,8,-0.013503432519090317,0.1411926952091884,0.05591091015725201,0.15185982699531525,21.603075625026683,0.5150330303272043,0.6319444444444444,0.45228286740193163
block_1,centers_24_standard,sparse_peer16_antipodal_8_8_r05_k6,8_8,5,8,8,-0.057110323672053105,0.015272993775247034,0.09009276817997186,0.09137817691981431,80.37839715412935,0.3156282667697431,0.6666666666666666,0.5171242589817351
block_1,centers_24_standard,sparse_peer16_antipodal_9_7_r00_k6,9_7,0,9,7,-0.05954394932919896,0.17473720308553886,0.5595556020910963,0.5862043687773797,72.657536241564,0.48591895566761995,0.8611111111111112,0.33185071082292467
block_1,centers_24_standard,sparse_peer16_antipodal_9_7_r01_k6,9_7,1,9,7,-0.21366476801627232,0.07373143962285482,0.25190379943036734,0.2624725687692209,73.68541466241692,0.5127612758251526,0.8958333333333334,0.45936199393507304
block_1,centers_24_standard,sparse_peer16_antipodal_9_7_r02_k6,9_7,2,9,7,-0.07902673430305124,0.05027416275021921,0.00729089612965624,0.05080008471064753,8.251662515964624,0.5169201692582195,0.9305555555555556,0.4856952088171018
block_1,centers_24_standard,sparse_peer16_antipodal_9_7_r03_k6,9_7,3,9,7,-0.2506266502416885,0.22450298851948441,-0.04323234701916568,0.22862770541420677,-10.899971871617288,0.40459049535851344,0.8819444444444444,0.3402037961767173
block_1,centers_24_standard,sparse_peer16_antipodal_9_7_r04_k6,9_7,4,9,7,-0.12234592722638421,0.2096364822497424,0.2836267707658619,0.3526919332577899,53.53085655443699,0.5054896597713819,0.8680555555555556,0.4065073553740936
