representation,imbalance,realization,a1,b1,R1,R2,a0,activity
moments_m1_m3,10_6,0,1.026020227207984,0.2809304540090688,1.064150866288255,0.32530355924449256,-0.017294707550319394,1.0
moments_m1_m3,10_6,1,0.9909481176343995,0.12078462088830613,0.9990570366023546,0.32106234732912314,0.022406310105392138,0.9965277777777778
moments_m1_m3,10_6,2,1.0590468719606143,-0.04048450743322006,1.0598299516296643,0.16646845743768693,0.11438897168025888,1.0
moments_m1_m3,10_6,3,1.044172350663374,0.07613321966686692,1.0471076872203415,0.23796268523616793,-0.0263912878973902,0.9965277777777778
moments_m1_m3,10_6,4,1.010644776968317,0.22293985032077102,1.0368273077994532,0.30309459630828595,-0.029965209993868185,1.0
moments_m1_m3,10_6,5,1.1383248293653736,0.2025142934932767,1.1564634025480482,0.17168169554781365,-0.010572583290685802,1.0
moments_m1_m3,8_8,0,-0.01904105222115066,-0.006550535626711178,0.03453544043592387,0.0715907840504386,0.01209409987479207,0.04513888888888889
moments_m1_m3,8_8,1,-0.02349286023125722,-0.014952276991485745,0.0279692970960485,0.03963943909375095,0.015382006451356999,0.020833333333333332
moments_m1_m3,8_8,2,0.03684852360564562,-0.004561687507771202,0.041406553015773284,0.10969606598549592,-0.01809785152043487,0.05555555555555555
moments_m1_m3,8_8,3,-0.006612151072888013,-0.012440788823407368,0.01494539862138166,0.052016954412796634,-0.00786899414915104,0.04166666666666667
moments_m1_m3,8_8,4,0.0040776128305042274,0.02983955567950438,0.03041612361868168,0.08611379913874063,-0.01367805294992363,0.059027777777777776
moments_m1_m3,8_8,5,-0.025215655161141146,0.026564501807032688,0.04912512826673841,0.06922832997829752,-0.007525868785354948,0.0625
moments_m1_m3,9_7,0,0.9430656464156255,0.3314529224650784,1.0008635301647542,0.26113222371991746,-0.11298668693059227,1.0
moments_m1_m3,9_7,1,1.0922232702144283,0.23340297620693595,1.1169386962224763,0.25518056514796916,-0.06727033856647217,0.9930555555555556
moments_m1_m3,9_7,2,1.0627048607024188,0.363407665509713,1.1246117496109687,0.20621204677152288,-0.08620683946241013,0.9756944444444444
moments_m1_m3,9_7,3,1.051393968524601,0.2560167961910255,1.0828584867487971,0.28397544433477967,-0.07806191760433014,0.9930555555555556
moments_m1_m3,9_7,4,1.1217234968734888,0.307930930666948,1.16438898359762,0.2720828852848003,-0.11989337214635201,0.9965277777777778
moments_m1_m3,9_7,5,0.999754432903279,0.4663971881710088,1.103451421053363,0.16309384696808607,-0.025292354633280206,0.9965277777777778
