model,field_id,bucket,role,peer_count,bin_sparsity,p_fail,n_valid,log_loss,d_TV,abs_e_A,abs_e_a0,a0_mae,a0_sign_acc,a0_corr,n,hat_A,hat_a0,hat_C1,hat_C2,hat_p_minus,hat_p_stay,hat_p_plus,obs_A,obs_a0,obs_C1,obs_C2,obs_p_minus,obs_p_stay,obs_p_plus
pooled_global,cent_ctrl_small_imbalance,control,small_imbalance,16,0.25,0.15625,27,1.0848891671471501,0.40826045352382223,0.035776012343206376,0.7807448947044381,0.7807448947044381,0.0,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,0.8518518518518519,0.7037037037037037,0.7037037037037037,0.14814814814814814,0.07407407407407407,0.14814814814814814,0.7777777777777778
pooled_global,cent_ctrl_sparse_unimodal,control,sparse_unimodal,8,0.25,0.0,32,1.693231777581704,0.8160758395086455,0.8160758395086455,0.07704119100073437,0.07704119100073437,nan,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,0.0,0.0,0.0,1.0,0.0,1.0,0.0
pooled_global,cent_ctrl_sparse_antipodal,control,sparse_antipodal,16,0.5,0.75,8,1.693231777581704,0.8160758395086455,0.8160758395086455,0.07704119100073437,0.07704119100073437,nan,nan,1.0,0.8160758395086455,-0.07704119100073437,0.07704119100073437,0.18392416049135457,0.4465585152546899,0.18392416049135457,0.36951732425395556,0.0,0.0,0.0,1.0,0.0,1.0,0.0
peer_specific_global,cent_al_f00_n17_p16,high_occupancy_high_risk,active_learning,16,0.08333333333333333,0.0,32,0.9780021106793635,0.3959399587502865,0.1953250324650524,0.5965548850355207,0.5965548850355207,0.0,nan,1.0,0.8046749675349476,-0.09655488503552062,0.09655488503552062,0.19532503246505234,0.45061492628523414,0.19532503246505234,0.3540600412497135,1.0,0.5,0.5,0.0,0.25,0.0,0.75
peer_specific_global,cent_al_f01_n17_p16,high_occupancy_high_risk,active_learning,16,0.08333333333333333,0.0,32,0.9327871145537786,0.20843995875028648,0.1953250324650524,0.22155488503552062,0.22155488503552062,0.0,nan,1.0,0.8046749675349476,-0.09655488503552062,0.09655488503552062,0.19532503246505234,0.45061492628523414,0.19532503246505234,0.3540600412497135,1.0,0.125,0.125,0.0,0.4375,0.0,0.5625
peer_specific_global,cent_al_f02_n17_p16,high_occupancy_high_risk,active_learning,16,0.041666666666666664,0.0,32,0.8197496242398161,0.45563507371476586,0.1953250324650524,0.7159451149644793,0.7159451149644793,1.0,nan,1.0,0.8046749675349476,-0.09655488503552062,0.09655488503552062,0.19532503246505234,0.45061492628523414,0.19532503246505234,0.3540600412497135,1.0,-0.8125,0.8125,0.0,0.90625,0.0,0.09375
peer_specific_global,cent_al_f03_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0.0,32,0.757631722280205,0.398532522474881,0.10523532522474888,0.6918297197250132,0.6918297197250132,1.0,nan,1.0,0.8947646747752511,0.058170280274986774,0.058170280274986774,0.10523532522474881,0.4182971972501322,0.10523532522474881,0.476467477525119,1.0,0.75,0.75,0.0,0.125,0.0,0.875
peer_specific_global,cent_al_f04_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,32,0.8552871896607182,0.4567028027498678,0.10523532522474888,0.8081702802749868,0.8081702802749868,0.0,nan,1.0,0.8947646747752511,0.058170280274986774,0.058170280274986774,0.10523532522474881,0.4182971972501322,0.10523532522474881,0.476467477525119,1.0,-0.75,0.75,0.0,0.875,0.0,0.125
peer_specific_global,cent_al_f05_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,32,0.8471492340456754,0.3942028027498678,0.10523532522474888,0.6831702802749868,0.6831702802749868,0.0,nan,1.0,0.8947646747752511,0.058170280274986774,0.058170280274986774,0.10523532522474881,0.4182971972501322,0.10523532522474881,0.476467477525119,1.0,-0.625,0.625,0.0,0.8125,0.0,0.1875
peer_specific_global,cent_al_f06_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0.0,32,0.7739076335102906,0.273532522474881,0.10523532522474888,0.4418297197250132,0.4418297197250132,1.0,nan,1.0,0.8947646747752511,0.058170280274986774,0.058170280274986774,0.10523532522474881,0.4182971972501322,0.10523532522474881,0.476467477525119,1.0,0.5,0.5,0.0,0.25,0.0,0.75
peer_specific_global,cent_al_f07_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,32,0.8512182118531968,0.4254528027498678,0.10523532522474888,0.7456702802749868,0.7456702802749868,0.0,nan,1.0,0.8947646747752511,0.058170280274986774,0.058170280274986774,0.10523532522474881,0.4182971972501322,0.10523532522474881,0.476467477525119,1.0,-0.6875,0.6875,0.0,0.84375,0.0,0.15625
peer_specific_global,cent_al_f08_n9_p8,high_occupancy_high_risk,active_learning,8,0.08333333333333333,0.0,32,0.7494937666651623,0.461032522474881,0.10523532522474888,0.8168297197250132,0.8168297197250132,1.0,nan,1.0,0.8947646747752511,0.058170280274986774,0.058170280274986774,0.10523532522474881,0.4182971972501322,0.10523532522474881,0.476467477525119,1.0,0.875,0.875,0.0,0.0625,0.0,0.9375
peer_specific_global,cent_al_f09_n9_p8,high_occupancy_high_risk,active_learning,8,0.041666666666666664,0.0,32,0.8943429975732955,0.3942028027498678,0.07398532522474888,0.7144202802749868,0.7144202802749868,0.0,nan,1.0,0.8947646747752511,0.058170280274986774,0.058170280274986774,0.10523532522474881,0.4182971972501322,0.10523532522474881,0.476467477525119,0.96875,-0.65625,0.65625,0.03125,0.8125,0.03125,0.15625
peer_specific_global,cent_al_f10_n9_p8,high_occupancy_high_risk,active_learning,8,0.125,0.03125,31,0.758156751674724,0.3945002644103649,0.10523532522474888,0.6837652035959809,0.6837652035959809,1.0,nan,1.0,0.8947646747752511,0.058170280274986774,0.058170280274986774,0.10523532522474881,0.4182971972501322,0.10523532522474881,0.476467477525119,1.0,0.7419354838709677,0.7419354838709677,0.0,0.12903225806451613,0.0,0.8709677419354839
