representation,scheme,d_shape,d_native,local_density,u_ensemble,d_orientation,policy_a,g_peer,e_tv
centers_24_standard,leave_one_profile_out,0.0023319800868294425,0.14127198878654107,428.8201282883161,0.0,0.3686599809722993,1.0,0,0.12405686005342889
centers_24_standard,leave_one_profile_out,0.0019532568750283484,0.1412739377628815,511.96543208659466,0.0,0.37137146169239377,1.0,0,0.46489332765610675
centers_24_standard,leave_one_profile_out,0.002436946319732383,0.1412728559131318,410.3496215336481,0.0,0.3729360911776493,1.0,0,0.40766034865129697
centers_24_standard,leave_one_profile_out,0.006080452468830115,0.21240109725234935,164.46144511880397,0.0,0.7246659618403183,0.0,0,0.42499648764442366
centers_24_standard,leave_one_profile_out,0.004873469987650854,0.21240266942478703,205.19260455772854,0.0,0.6183027782153269,0.0,0,0.5386681474985261
centers_24_standard,leave_one_profile_out,0.005818571385346595,0.2123998378903788,171.8634925608003,0.0,0.7374543292140485,0.0,0,0.46925475314669507
centers_24_standard,leave_one_profile_out,0.024168449834547523,0.2124003828912906,41.37625734566363,0.0,0.7386661469289764,0.0,0,0.26030216973838066
centers_24_standard,leave_one_profile_out,0.05388193456869218,0.21240376113287426,18.559096068184694,0.0,0.7352022411536454,0.0,0,0.5537183700036599
centers_24_standard,leave_one_profile_out,0.15810618450987385,0.033354946060428395,6.32486327527276,0.0,0.7309223602666733,0.0,0,0.32071069548283804
centers_24_standard,leave_one_profile_out,0.20365191667422108,0.06039184179911681,4.910339251064771,0.0,0.7329531521454776,0.0,0,0.27205372272833617
centers_24_standard,leave_one_profile_out,0.20986664353290613,0.03106520631125909,4.764930639600212,0.0,0.7372530022145749,0.0,0,0.3378098013914621
centers_24_standard,leave_one_profile_out,0.38771552985536656,0.18608985847705872,2.579210588683513,0.0,0.7402012501047756,1.0,0,0.35324482158609594
centers_24_standard,leave_one_profile_out,0.4303346341839769,0.186089858477061,2.323772990980037,0.0,0.6182399467951538,1.0,0,0.533525992802649
centers_24_standard,leave_one_profile_out,0.2036519166742246,0.031065206311258933,4.910339251064687,0.0,0.5601330511812084,0.0,0,0.39606963190366096
centers_24_standard,leave_one_profile_out,0.19438023081758274,0.06039184179911481,5.144556088826008,0.0,0.7331379659391662,0.0,0,0.2642423695967959
centers_24_standard,leave_one_profile_out,0.15497517215794376,0.03335494606042643,6.452646485727692,0.0,0.644015660957692,0.0,0,0.24694038927117004
centers_24_standard,leave_one_profile_out,0.06557872789434697,0.2124032871321426,15.248847181224479,0.0,0.7342894810258138,0.0,0,0.22207130526086627
centers_24_standard,leave_one_profile_out,0.0186949710217289,0.2124021298476556,53.490320944478285,0.0,0.6763005252953199,0.0,0,0.07596802439065464
centers_24_standard,leave_one_profile_out,0.007199803093898932,0.21240037087092822,138.89268733576807,0.0,0.7380704845517003,0.0,0,0.3937519762711893
centers_24_standard,leave_one_profile_out,0.0042602826247940696,0.21240372271056024,234.72621139738052,0.0,0.7115588883246758,0.0,0,0.44061136790055977
centers_24_standard,leave_one_profile_out,0.005818571385342125,0.2123998461796727,171.86349256093231,0.0,0.5148692663421809,0.0,0,0.5091685853305958
centers_24_standard,leave_one_profile_out,0.005818571385344449,0.21239984617967245,171.86349256086368,0.0,0.5752099712040933,0.0,0,0.28451642802164107
centers_24_standard,leave_one_profile_out,0.004260282624794086,0.21240372271056054,234.72621139737961,0.0,0.7332796415240235,0.0,0,0.6295933975464036
centers_24_standard,leave_one_profile_out,0.007199803093900004,0.21240037087092808,138.89268733574738,0.0,0.7301210842005618,0.0,0,0.3067353122245816
centers_24_standard,leave_one_profile_out,0.018694971021727652,0.21240212984765536,53.49032094448186,0.0,0.7390857677201943,0.0,0,0.2614327307789488
centers_24_standard,leave_one_profile_out,0.06557872789434804,0.212403287132143,15.248847181224232,0.0,0.7342894810258138,0.0,0,0.279821945033221
centers_24_standard,leave_one_profile_out,0.15497517215794593,0.03335494606042857,6.452646485727603,0.0,0.6790243668835977,0.0,0,0.48219872321251384
centers_24_standard,leave_one_profile_out,0.1943802308175781,0.06039184179911688,5.14455608882613,0.0,0.7331379659391679,0.0,0,0.27026330776025265
centers_24_standard,leave_one_profile_out,0.20365191667422675,0.03106520631125962,4.910339251064635,0.0,0.6327207060044808,0.0,0,0.24067716187180369
centers_24_standard,leave_one_profile_out,0.43033463418397905,0.18608985847705836,2.323772990980025,0.0,0.5622165843240157,1.0,0,0.5282104405855499
centers_24_standard,leave_one_profile_out,0.38771552985536867,0.18608985847706114,2.5792105886834986,0.0,0.5522582824207269,1.0,0,0.17628077696032696
centers_24_standard,leave_one_profile_out,0.20986664353290865,0.031065206311258933,4.764930639600154,0.0,0.6654635546831537,0.0,0,0.5595248910292387
centers_24_standard,leave_one_profile_out,0.2036519166742178,0.06039184179911454,4.91033925106485,0.0,0.634098749707286,0.0,0,0.40846931728329966
centers_24_standard,leave_one_profile_out,0.15810618450987599,0.033354946060426445,6.324863275272675,0.0,0.7309223602666718,0.0,0,0.37875960424124283
centers_24_standard,leave_one_profile_out,0.05388193456869218,0.2124037611328742,18.559096068184694,0.0,0.7352022411536455,0.0,0,0.4385728599852049
centers_24_standard,leave_one_profile_out,0.02416844983454752,0.21240038289129046,41.37625734566364,0.0,0.7386661469289769,0.0,0,0.10446139710099865
centers_24_standard,leave_one_profile_out,0.005818571385346595,0.21239983789037875,171.8634925608003,0.0,0.7374543292140484,0.0,0,0.1719984088799727
centers_24_standard,leave_one_profile_out,0.004873469987650841,0.21240266942478703,205.19260455772908,0.0,0.6693124287478426,0.0,0,0.4781420228644167
centers_24_standard,leave_one_profile_out,0.0060804524688322596,0.21240109725234949,164.46144511874596,0.0,0.5079348833706863,0.0,0,0.39936926810484563
centers_24_standard,leave_one_profile_out,0.006080452468830115,0.21240109725234935,164.46144511880397,0.0,0.7246659618403183,0.0,0,0.5083298209777569
