representation,scheme,d_shape,d_native,local_density,u_ensemble,d_orientation,policy_a,g_peer,e_tv,peer_count,bin_sparsity
centers_24_standard,acquisition_block_holdout,0.9761994140721922,0.0,1.024380864795364,0.0,0.3272208388992545,0.0,0,0.18544756035645982,16,0.5
centers_24_standard,acquisition_block_holdout,0.9761994140721922,0.0,1.024380864795364,0.0,0.18023567446900465,0.0,0,0.408456286173525,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.3371142210419541,0.0,0,0.19048959097354673,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721922,0.0,1.024380864795364,0.0,0.23954227936956451,0.0,0,0.12388753450920684,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.38504892941114083,0.0,0,0.11535487755490394,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.6657185476421339,0.0,1.5021363060137596,0.0,0.3272208388992544,0.0,0,0.5540145999760695,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.18023567446900451,0.0,0,0.1364215534594286,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.17739257558607474,0.0,0,0.029200926621044093,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721943,0.0,1.0243808647953618,0.0,0.17156509236027453,0.0,0,0.2702943735404404,16,0.5
centers_24_standard,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.27129522296300945,0.0,0,0.2513487961116784,16,0.5
centers_24_standard,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.38504892941114116,0.0,0,0.43644452092876207,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.34672542255726674,0.0,0,0.23729066666169593,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721868,0.0,1.0243808647953698,0.0,0.2395422793695649,0.0,0,0.05339225470092408,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421345,0.0,1.5021363060137582,0.0,0.1802356744690046,0.0,0,0.31208892543120226,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.6657185476421333,0.0,1.5021363060137607,0.0,0.18023567446900451,0.0,0,0.3234334334115728,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.29198189210131104,0.0,0,0.21374661548315688,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.17156509236027473,0.0,0,0.3554409166799377,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.32722083889925435,0.0,0,0.19543312480069674,16,0.5
centers_24_standard,acquisition_block_holdout,0.9761994140721922,0.0,1.024380864795364,0.0,0.3272208388992545,0.0,0,0.11747660118636363,16,0.5
centers_24_standard,acquisition_block_holdout,0.9761994140721922,0.0,1.024380864795364,0.0,0.18023567446900465,0.0,0,0.32512295284019155,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.3371142210419541,0.0,0,0.3804944277530774,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721922,0.0,1.024380864795364,0.0,0.23954227936956451,0.0,0,0.16041063215200502,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.38504892941114083,0.0,0,0.22377196304575653,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.6657185476421339,0.0,1.5021363060137596,0.0,0.3272208388992544,0.0,0,0.3873479333094028,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.18023567446900451,0.0,0,0.15154814588759755,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.17739257558607474,0.0,0,0.2792009266210441,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721943,0.0,1.0243808647953618,0.0,0.17156509236027453,0.0,0,0.1841781664540661,16,0.5
centers_24_standard,acquisition_block_holdout,0.9761994140721926,0.0,1.0243808647953638,0.0,0.27129522296300945,0.0,0,0.355292846972591,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421339,0.0,1.5021363060137596,0.0,0.25382062558770696,0.0,0,0.4354992303902985,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.6657185476421336,0.0,1.5021363060137602,0.0,0.34672542255726674,0.0,0,0.2372906666616959,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,0.9761994140721868,0.0,1.0243808647953698,0.0,0.2395422793695649,0.0,0,0.17326300649313106,16,0.5
centers_24_standard,acquisition_block_holdout,0.6657185476421345,0.0,1.5021363060137582,0.0,0.1802356744690046,0.0,0,0.31208892543120226,16,0.4166666666666667
centers_24_standard,acquisition_block_holdout,4.095768194997973,0.0,0.24415444243677342,0.0,6.530577237349291,0.0,0,0.04925712424004197,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086975,0.0,0.18796554227927686,0.0,5.6106937399530805,0.0,0,0.21176264720512727,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997976,0.0,0.24415444243677328,0.0,6.596190052977344,0.0,0,0.18591830641749463,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,6.748479284141927,0.0,0,0.12246958822310383,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086971,0.0,0.187965542279277,0.0,5.733698567281509,0.0,0,0.07410339547140896,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997973,0.0,0.24415444243677342,0.0,5.6408448450333495,0.0,0,0.038461538699094,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997989,0.0,0.24415444243677248,0.0,6.613445940320395,0.0,0,0.11092514876246558,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,5.922675280714944,0.0,0,0.1418171995781563,8,0.25
centers_24_standard,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,6.959220410961485,0.0,0,0.038461538469973966,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,5.449138079279117,0.0,0,0.09550774123027238,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,4.421651900083847,0.0,0,0.09128752975140961,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997988,0.0,0.24415444243677253,0.0,5.449138079279117,0.0,0,0.1240923272745483,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,4.095768194997975,0.0,0.2441544424367733,0.0,4.428477605390762,0.0,0,0.07848263184782292,8,0.25
centers_24_standard,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.759112256831721,0.0,0,0.1297220255064493,8,0.25
centers_24_standard,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.871042018201396,0.0,0,0.04024785027169743,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,6.573410950211446,0.0,0,0.20604212243890435,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086971,0.0,0.187965542279277,0.0,4.286431857864393,0.0,0,0.08132011160496103,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997979,0.0,0.24415444243677306,0.0,3.559208534092515,0.0,0,0.22654788126874387,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,4.09576819499798,0.0,0.244154442436773,0.0,3.0127922102547893,0.0,0,0.2812997545945979,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086968,0.0,0.18796554227927711,0.0,4.286431857864392,0.0,0,0.10419981996434208,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997984,0.0,0.24415444243677278,0.0,4.125206501993282,0.0,0,0.09891020330802837,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.320124039086968,0.0,0.18796554227927711,0.0,4.286431857864392,0.0,0,0.11685005677534738,8,0.25
centers_24_standard,acquisition_block_holdout,5.32012403908697,0.0,0.18796554227927703,0.0,5.574038321541296,0.0,0,0.3261654880953996,8,0.25
centers_24_standard,acquisition_block_holdout,4.095768194997976,0.0,0.24415444243677328,0.0,4.428477605390762,0.0,0,0.2865717899874066,8,0.25
centers_24_standard,acquisition_block_holdout,4.0957681949979845,0.0,0.24415444243677273,0.0,5.449138079279118,0.0,0,0.14917382337174329,8,0.20833333333333334
centers_24_standard,acquisition_block_holdout,5.383837850316306,0.0,0.18574110658649368,0.0,5.6909331062729915,0.0,0,0.09088620006490504,8,0.25
centers_24_standard,acquisition_block_holdout,8.075756775474458,0.0,0.1238274043909958,0.0,6.795514797274828,0.0,0,0.10157572656572096,8,0.20833333333333334
