model,field_id,bucket,role,peer_count,bin_sparsity,unresolved_near_zero,R_pre,log_loss,d_TV,abs_e_A,abs_e_a0,abs_e_C1,abs_e_C2,n_valid,p_minus_hat,p_stay_hat,p_plus_hat,p_minus_obs,p_stay_obs,p_plus_obs,A_hat,A_obs,a0_hat,a0_obs
kernel_nn_euclidean,cent_al_f12_n17_p16,high_occupancy_high_risk,active_learning,16,0.125,0,0.32305455047111964,1.4322470659606432,0.581189597412831,0.15551997577279064,1.0068592190528713,0.006859219052871457,0.15551997577279064,32.0,0.16881040258716895,0.15551997577279064,0.6756696216400404,0.75,0.0,0.25,0.8444800242272094,1.0,0.5068592190528715,-0.5
kernel_nn_euclidean,cent_al_f13_n17_p16,high_occupancy_high_risk,active_learning,16,0.16666666666666666,0,0.31087167056481463,2.501465675215541,0.7911006239936487,0.05262261143884861,1.5295786365484483,0.15457863654844828,0.05262261143884904,32.0,0.05264937600635155,0.05262261143884904,0.8947280125547998,0.84375,0.0,0.15625,0.9473773885611514,1.0,0.8420786365484483,-0.6875
kernel_nn_euclidean,cent_al_f14_n17_p16,high_occupancy_high_risk,active_learning,16,0.041666666666666664,0,0.2918700461761089,14.805564046514867,0.4999996805345785,0.9999993479722847,0.49999966835376564,0.49999966835376564,1.3096872231907224e-08,32.0,1.60190740451927e-07,1.3096872231907224e-08,4.918369748059393e-07,0.25,0.0,0.75,6.520277152578664e-07,1.0,3.316462343540123e-07,0.5
kernel_nn_euclidean,cent_al_f15_n9_p8,high_occupancy_high_risk,active_learning,8,0.125,0,0.30009602903574656,0.4258970963104758,0.07267745240469639,0.0330787143378759,0.11227619047151705,0.11227619047151705,0.0330787143378757,31.0,0.7982902895307874,0.0330787143378757,0.16863099613133672,0.8709677419354839,0.0,0.12903225806451613,0.9669212856621241,1.0,-0.6296592933994507,-0.7419354838709677
kernel_nn_euclidean,cent_al_f16_n9_p8,model_disagreement,active_learning,8,0.125,0,0.36543923276628754,1.1826998514423925,0.5288108943423218,0.020750610733751396,1.0368711779508926,0.0031288220491074714,0.020750610733750924,25.0,0.7480602836085706,0.020750610733750924,0.231189105657678,0.24,0.0,0.76,0.9792493892662486,1.0,-0.5168711779508925,0.52
kernel_nn_euclidean,cent_al_f17_n9_p8,model_disagreement,active_learning,8,0.125,0,0.338080081668029,1.7346666950833363,0.6300181536746498,0.6300181536746499,0.01110216005602066,0.01110216005602066,0.6300181536746498,28.0,0.28658270027752186,0.6300181536746498,0.08339914604782829,0.6071428571428571,0.0,0.39285714285714285,0.36998184632535014,1.0,-0.20318355422969359,-0.21428571428571425
kernel_nn_euclidean,cent_al_f18_n9_p8,model_disagreement,active_learning,8,0.20833333333333334,0,0.32899877846998926,1.1879242103704948,0.5953354526035155,0.04716630787656406,1.1435045973304665,0.3110408572149881,0.04716630787656438,22.0,0.6845327810905876,0.04716630787656438,0.26830091103284837,0.13636363636363635,0.0,0.8636363636363636,0.9528336921234359,1.0,-0.4162318700577392,0.7272727272727273
kernel_nn_euclidean,cent_al_f19_n9_p8,model_disagreement,active_learning,8,0.20833333333333334,0,0.3535448863838194,1.4309695594136067,0.7609229895302778,0.03717575844564003,1.4846702206149156,0.5153297793850844,0.03717575844564,30.0,0.7237472310846378,0.03717575844564,0.23907701046972213,0.0,0.0,1.0,0.96282424155436,1.0,-0.48467022061491566,1.0
kernel_nn_euclidean,cent_al_f20_n9_p8,model_disagreement,active_learning,8,0.16666666666666666,0,0.37301769502575266,0.7357194344560761,0.1616559499523785,0.11689918257981846,0.20641271732493877,0.20641271732493877,0.11689918257981824,32.0,0.3260067673725601,0.11689918257981824,0.5570940500476214,0.28125,0.0,0.71875,0.8831008174201815,1.0,0.23108728267506123,0.4375
kernel_nn_euclidean,cent_al_f21_n9_p8,model_disagreement,active_learning,8,0.16666666666666666,0,0.3355605415660828,1.1986135589414666,0.6452462095581563,0.18310766075278417,1.1073847583635283,0.6345507255074392,0.18310766075278395,31.0,0.5266546778376302,0.18310766075278395,0.29023766140958557,0.06451612903225806,0.0,0.9354838709677419,0.8168923392472158,1.0,-0.23641701642804464,0.8709677419354838
kernel_nn_euclidean,cent_al_f22_n9_p8,model_disagreement,active_learning,8,0.16666666666666666,0,0.36975697094347965,2.409751007780527,0.759640776215833,0.05262446357456496,1.466657088857101,0.2166570888571011,0.05262446357456492,32.0,0.052859223784166985,0.05262446357456492,0.8945163126412681,0.8125,0.0,0.1875,0.947375536425435,1.0,0.8416570888571011,-0.625
kernel_nn_euclidean,cent_al_f23_n9_p8,model_disagreement,active_learning,8,0.125,0,0.3055455001740441,0.9089047199940634,0.3836425510231205,0.09740687639821477,0.669878225648026,0.33012177435197393,0.0974068763982149,32.0,0.5362356746249056,0.0974068763982149,0.36635744897687955,0.25,0.0,0.75,0.9025931236017852,1.0,-0.16987822564802607,0.5
kernel_nn_euclidean,cent_al_f24_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0,0.28662747335466,0.5499563923531653,0.25639452326100554,0.02710405890939538,0.48568498761261597,0.48568498761261597,0.02710405890939502,32.0,0.3542904643516103,0.02710405890939502,0.6186054767389944,0.125,0.0,0.875,0.9728959410906046,1.0,0.26431501238738403,0.75
kernel_nn_euclidean,cent_al_f25_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0,0.3552083186558595,0.33998692293122734,0.22995563944155029,0.036906786614347764,0.42300449226875303,0.42300449226875303,0.036906786614347604,32.0,0.22429885282720258,0.036906786614347604,0.7387943605584496,0.03125,0.0,0.96875,0.9630932133856522,1.0,0.514495507731247,0.9375
kernel_nn_euclidean,cent_al_f26_n9_p8,k0_or_drift,active_learning,8,0.16666666666666666,0,0.33899097466735345,1.2501056294997797,0.6647436475156576,0.12917193487612488,1.2003153601551901,0.5496846398448099,0.12917193487612497,32.0,0.27275635248434243,0.12917193487612497,0.5980717126395326,0.9375,0.0,0.0625,0.8708280651238751,1.0,0.3253153601551902,-0.875
