profile,profile_family,source_family,acquisition_block,epsilon_level,sparse_realization,offset_group,offset_index,p_retard,p_stay,p_advance,activity,g,a0,abs_z1,antipodal_balance,n_trials
sparse_peer16_antipodal_9_7_r03_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,03,g5,35,0.75,0.25,0.0,0.75,-0.75,0.25,0.12074072828613351,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g0,0,0.25,0.75,0.0,0.25,-0.25,0.75,0.12074072828613348,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g0,1,1.0,0.0,0.0,1.0,-1.0,0.0,0.12074072828613354,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g0,2,0.5,0.0,0.5,1.0,0.0,0.0,0.12074072828613348,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g0,3,1.0,0.0,0.0,1.0,-1.0,0.0,0.12393060767172633,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g0,4,0.75,0.0,0.25,1.0,-0.5,0.0,0.12500000000000008,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g0,5,0.5,0.0,0.5,1.0,0.0,0.0,0.12393060767172626,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g1,6,0.5,0.0,0.5,1.0,0.0,0.0,0.12393060767172633,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g1,7,0.75,0.0,0.25,1.0,-0.5,0.0,0.12074072828613368,1.0,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g1,8,1.0,0.0,0.0,1.0,-1.0,0.0,0.12393060767172621,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g1,9,1.0,0.0,0.0,1.0,-1.0,0.0,0.12074072828613353,1.0,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g1,10,1.0,0.0,0.0,1.0,-1.0,0.0,0.12393060767172628,1.0,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g1,11,0.75,0.0,0.25,1.0,-0.5,0.0,0.12499999999999992,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g2,12,1.0,0.0,0.0,1.0,-1.0,0.0,0.11548494156391086,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g2,13,1.0,0.0,0.0,1.0,-1.0,0.0,0.12393060767172626,0.875,4
sparse_peer16_antipodal_9_7_r04_k6,sparse_peer16_antipodal_9_7_rXX_k6,sparse_peer,block_2,na,04,g2,14,0.0,0.0,1.0,1.0,1.0,0.0,0.11548494156391084,0.875,4
