field_id,bucket,R_pre,p_minus_pre,p_stay_pre,p_plus_pre,disagreement,g_peer,d_shape,d_native,abs_z1,abs_z2,physical_hash
cent_al_f13_n17_p16,high_occupancy_high_risk,0.31087167056481463,0.05248581070368847,0.05555546684000764,0.8919587224563038,0.2983308814922338,0,4.450282656779027,3.8630844302523784,0.9784334994588838,0.9228719630283033,f873a888cfc5cb6108dbe1f3d7ba046b8b792849f034355de7f745c25d3e4813
cent_al_f14_n17_p16,high_occupancy_high_risk,0.2918700461761089,0.24572151949840015,5.274779965178156e-19,0.7542784805015998,0.3988490989032201,0,11.233753443854953,6.411388904490512,1.0,1.0,eab5acd008f852c15babc933dfc4715f9c2753bf153374e38cc22177349fc57e
cent_al_f15_n9_p8,high_occupancy_high_risk,0.30009602903574656,0.7967824282970398,0.03530625965166941,0.16791131205129076,0.13380885345194635,0,7.152312282191417,3.6069166377604813,0.982999824109709,0.933613692283465,a481469be9d8879c177cb5058bada9dbae27a7b552817a834156431ff1366563
cent_al_f16_n9_p8,model_disagreement,0.36543923276628754,0.7636382057508491,1.6214406096906707e-05,0.23634557984305407,0.2611611139634069,0,8.669485516650942,5.149860219570466,0.7464421681266855,0.9852375637773084,8be7873ea4beef2ffc62124ad8ff0fa0971c8035042e82d315ea21277100fc1e
cent_al_f17_n9_p8,model_disagreement,0.338080081668029,0.24935934251259045,0.6916234915845417,0.05901716590286782,0.3264801928960821,0,8.141189541267458,4.848874432369787,0.7464421681266853,0.9680905990783898,9cee0f12a093b025563e6c71157922766c273d2bae367cd5298308fbe31615a5
cent_al_f18_n9_p8,model_disagreement,0.32899877846998926,0.6814037778429551,0.05380321091709703,0.26479301123994775,0.16276791556847117,0,7.2408440605372775,4.625681556172645,0.7414814565722672,0.5153882032022075,227720d31c302879f20d1b61ed129025b891292f4a444047b5f0d71ec9262506
cent_al_f19_n9_p8,model_disagreement,0.3535448863838194,0.7228075263403171,0.03848586232980013,0.23870661132988277,0.15852273654332413,0,6.656360312105063,4.686895711556738,0.8201039844286642,0.5514767336311909,1db2f7a89d9b7c0115b947aecfc277d5cbe01c0184b14a4e3c919361423d40cf
cent_al_f20_n9_p8,model_disagreement,0.37301769502575266,0.32269262657375414,0.11679764973376007,0.5605097236924858,0.27935704071737816,0,7.129636540928075,4.93187486401299,0.8802832811876804,0.6089444095057149,a9a40697da9acd6e89ea06ad591850a255aa2aaefbfea50db6d9fafbbdee0716
cent_al_f21_n9_p8,model_disagreement,0.3355605415660828,0.490761839637949,0.2146066231163682,0.29463153724568286,0.11005637886758386,0,9.406018198285084,5.856339459420169,0.7745090084859765,0.5205127574408541,710e0b17f46e930c42733f094ba300985e0ae310dcfde805612d453415edc280
cent_al_f22_n9_p8,model_disagreement,0.36975697094347965,0.05270369238282392,0.05555540753035448,0.8917409000868216,0.2811963658932366,0,10.1632258641769,6.5417015919584385,0.6548191727030512,0.4378204039691804,72a5fbbdf1aef8f60a098a2ff9ead4d2fe62dd274f110ce799041455cc5e1b9e
