block,profile,concentration,representation_a,representation_b,comparison,response_l2,complex_low_order,c1_chordal,c2_chordal,mean_tv,mean_js,mean_sym_kl
block_1,kappa_12,12.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.8470705583835233,0.9822525732019243,0.9624737268138294,0.1469484562322788,0.3530092592592592,0.14081007193117723,2.1565468552869027
block_1,kappa_12,12.0,intervals_24_decimal6,centers_24_standard,between_representation,0.9247651332238159,0.8127917765840832,0.42499710928310763,0.5400008158026094,0.40277777777777773,0.1405255524694534,1.0847473975700659
block_1,kappa_12,12.0,moments_m1_m3,centers_24_standard,between_representation,1.2706578207159993,1.521607074006285,1.3783899948711393,0.5681624156294848,0.5671296296296295,0.2826558077503354,4.724207085554758
block_2,kappa_2,2.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.6110814046685366,0.5515725213852453,0.35613819339351294,0.4117435406983513,0.24305555555555555,0.0878088776103657,1.8534376436589457
block_2,kappa_2,2.0,intervals_24_decimal6,centers_24_standard,between_representation,0.6548590434950408,0.5537813717324294,0.2759247120923116,0.2718704375947523,0.26851851851851855,0.08772555861643233,1.3240870844422872
block_2,kappa_2,2.0,moments_m1_m3,centers_24_standard,between_representation,0.78046609187742,0.7367982959968279,0.4443244997676738,0.5011514153507467,0.2974537037037037,0.11993685129318964,2.306597104243778
block_2,kappa_4,4.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.8004823985999904,0.7267684159476508,0.5576053986574468,0.46488697769463555,0.3321759259259259,0.13439676235792883,2.528384428751031
block_2,kappa_4,4.0,intervals_24_decimal6,centers_24_standard,between_representation,0.9125992918142181,0.5440894687985425,0.27601168804836085,0.17430262518876086,0.39236111111111116,0.13232015477415482,1.153417093368962
block_2,kappa_4,4.0,moments_m1_m3,centers_24_standard,between_representation,1.0028137088119116,1.1270441920188985,0.8227892350748091,0.6108383723448735,0.4201388888888889,0.19170825971522468,3.9252321376113652
block_2,kappa_6,6.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.9151601991465176,1.0112324327720053,0.7667246187189185,0.6571326654362825,0.3900462962962963,0.15731351993184395,2.7776879185512113
block_2,kappa_6,6.0,intervals_24_decimal6,centers_24_standard,between_representation,0.858207239887124,0.6197997066402672,0.3404152322360987,0.1766642419702918,0.35185185185185186,0.12052182114097551,1.4449289268465866
block_2,kappa_6,6.0,moments_m1_m3,centers_24_standard,between_representation,1.1948301567500959,1.3440660436396672,0.9986462082055559,0.7884847347255934,0.5081018518518519,0.233922951885684,3.537672370006132
block_2,kappa_9,9.0,intervals_24_decimal6,moments_m1_m3,between_representation,1.0605029829372332,1.1085894304176789,1.053594699792714,0.073775248199256,0.4467592592592593,0.21256247962683417,4.076604790156896
block_2,kappa_9,9.0,intervals_24_decimal6,centers_24_standard,between_representation,1.0688089075884226,0.7587659549851182,0.09635313121909678,0.44193826075128073,0.4722222222222222,0.19273967031172878,2.726205341027401
block_2,kappa_9,9.0,moments_m1_m3,centers_24_standard,between_representation,1.1618240129190602,1.249919609187663,1.1202986461674602,0.4827529114592972,0.5069444444444444,0.2406304567335946,4.335087567018554
block_2,kappa_12,12.0,intervals_24_decimal6,moments_m1_m3,between_representation,0.8184214865130337,0.9231878499841871,0.9065288637453193,0.07413851685321635,0.3414351851851851,0.1408938672069707,2.847231372565537
block_2,kappa_12,12.0,intervals_24_decimal6,centers_24_standard,between_representation,0.9011227984929727,0.7720159206332865,0.5238967964534084,0.3798597281561934,0.37268518518518523,0.1377825128704045,1.2202241128230713
block_2,kappa_12,12.0,moments_m1_m3,centers_24_standard,between_representation,1.2689285378134463,1.517323684253889,1.4273179583882734,0.442601535134964,0.5567129629629629,0.2846353227743659,5.107074478748858
