block,representation,profile,concentration,estimator,a0
block_2,moments_m1_m3,kappa_9,9.0,fourier_M12,-0.050269252831492806
block_2,moments_m1_m3,kappa_9,9.0,unweighted_mean_g,-0.030092592592592584
block_2,moments_m1_m3,kappa_9,9.0,density_weighted_mean_g,-0.04758523733054195
block_2,moments_m1_m3,kappa_9,9.0,mirror_even_mean_g,-0.030092592592592584
block_2,moments_m1_m3,kappa_12,12.0,fourier_M2,-0.016207209137162087
block_2,moments_m1_m3,kappa_12,12.0,fourier_M4,-0.018410908552873757
block_2,moments_m1_m3,kappa_12,12.0,fourier_M6,-0.020739085585846147
block_2,moments_m1_m3,kappa_12,12.0,fourier_M8,-0.01760999402697161
block_2,moments_m1_m3,kappa_12,12.0,fourier_M12,-0.02169783532725514
block_2,moments_m1_m3,kappa_12,12.0,unweighted_mean_g,-0.016203703703703692
block_2,moments_m1_m3,kappa_12,12.0,density_weighted_mean_g,-0.01967077958888206
block_2,moments_m1_m3,kappa_12,12.0,mirror_even_mean_g,-0.016203703703703696
block_2,centers_24_standard,kappa_2,2.0,fourier_M2,-0.2658574908282114
block_2,centers_24_standard,kappa_2,2.0,fourier_M4,-0.2623474193462274
block_2,centers_24_standard,kappa_2,2.0,fourier_M6,-0.2645018582495133
block_2,centers_24_standard,kappa_2,2.0,fourier_M8,-0.261719378914644
block_2,centers_24_standard,kappa_2,2.0,fourier_M12,-0.25788087207775906
block_2,centers_24_standard,kappa_2,2.0,unweighted_mean_g,-0.26851851851851855
block_2,centers_24_standard,kappa_2,2.0,density_weighted_mean_g,-0.2651610490650129
block_2,centers_24_standard,kappa_2,2.0,mirror_even_mean_g,-0.26851851851851855
block_2,centers_24_standard,kappa_4,4.0,fourier_M2,-0.3836797755767638
block_2,centers_24_standard,kappa_4,4.0,fourier_M4,-0.37720931939171615
block_2,centers_24_standard,kappa_4,4.0,fourier_M6,-0.3774733627386645
block_2,centers_24_standard,kappa_4,4.0,fourier_M8,-0.3727404208937545
block_2,centers_24_standard,kappa_4,4.0,fourier_M12,-0.37485431536216884
block_2,centers_24_standard,kappa_4,4.0,unweighted_mean_g,-0.38425925925925924
block_2,centers_24_standard,kappa_4,4.0,density_weighted_mean_g,-0.3760838694798077
block_2,centers_24_standard,kappa_4,4.0,mirror_even_mean_g,-0.38425925925925924
block_2,centers_24_standard,kappa_6,6.0,fourier_M2,-0.3561121395555527
block_2,centers_24_standard,kappa_6,6.0,fourier_M4,-0.34067784385248323
block_2,centers_24_standard,kappa_6,6.0,fourier_M6,-0.3438658367338155
block_2,centers_24_standard,kappa_6,6.0,fourier_M8,-0.33556757887338723
block_2,centers_24_standard,kappa_6,6.0,fourier_M12,-0.3734263236661171
block_2,centers_24_standard,kappa_6,6.0,unweighted_mean_g,-0.35763888888888884
block_2,centers_24_standard,kappa_6,6.0,density_weighted_mean_g,-0.34988018352995387
block_2,centers_24_standard,kappa_6,6.0,mirror_even_mean_g,-0.3576388888888889
