run_id,n_agents,coupling,seed_index,t,r1,r2,r3,activity,tau_social
N17_K+0.15_s0,17,0.15,0,4,0.528302433965506,0.467529509005372,0.46965151650908926,1.0,0.5294117647058824
N17_K+0.15_s0,17,0.15,0,5,0.5913140721966139,0.3699405804475053,0.3920449056156647,1.0,0.4117647058823529
N17_K+0.15_s0,17,0.15,0,6,0.6508486015718945,0.37685353983310493,0.28086425204047266,1.0,0.4117647058823529
N17_K+0.15_s0,17,0.15,0,7,0.7063453524896011,0.46893210318701384,0.19204809627167216,1.0,0.058823529411764705
N17_K+0.15_s0,17,0.15,0,8,0.7478769525076037,0.5702089432381662,0.22341738362642793,1.0,0.17647058823529413
N17_K+0.15_s0,17,0.15,0,9,0.7873063643971888,0.6831748094281699,0.3690743682172636,1.0,0.058823529411764705
N17_K+0.15_s0,17,0.15,0,10,0.8163174106368569,0.7577453231589104,0.4838832863757315,1.0,-0.058823529411764705
N17_K+0.15_s0,17,0.15,0,11,0.8431945213554952,0.8174169929350156,0.6220848464508983,1.0,-0.29411764705882354
N17_K+0.15_s0,17,0.15,0,12,0.8675884761192231,0.8507653900017081,0.7542193400534201,0.9411764705882353,-0.35294117647058826
N17_K+0.15_s0,17,0.15,0,13,0.8754765796773268,0.8994268559435777,0.8127802340598121,1.0,-0.058823529411764705
N17_K+0.15_s0,17,0.15,0,14,0.8915186800718413,0.9128638286745495,0.911264074019343,1.0,-0.4117647058823529
N17_K+0.15_s0,17,0.15,0,15,0.905886174962411,0.89669620054472,0.953237364965751,0.9411764705882353,-0.47058823529411764
N17_K+0.15_s0,17,0.15,0,16,0.9046105311044061,0.9137373278216848,0.9708113025373282,1.0,-0.29411764705882354
N17_K+0.15_s0,17,0.15,0,17,0.9149678205130243,0.8862787296309963,0.9608571068348215,0.9411764705882353,-0.35294117647058826
N17_K+0.15_s0,17,0.15,0,18,0.9281053440957738,0.8707220417325175,0.9380566791250751,1.0,-0.29411764705882354
N17_K+0.15_s0,17,0.15,0,19,0.9359583069077696,0.8467397409995387,0.8579793069527162,1.0,-0.17647058823529413
N17_K+0.15_s0,17,0.15,0,20,0.9515784714858551,0.8693371743602082,0.8604285998608087,1.0,-0.29411764705882354
N17_K+0.15_s0,17,0.15,0,21,0.9648596194970562,0.8920075239899188,0.8521710756218747,0.9411764705882353,-0.35294117647058826
N17_K+0.15_s0,17,0.15,0,22,0.9775511186609525,0.9237897604486218,0.873257909528006,1.0,-0.29411764705882354
N17_K+0.15_s0,17,0.15,0,23,0.9814811135210079,0.9306594479950474,0.8605371767503895,0.9411764705882353,-0.11764705882352941
N17_K+0.15_s0,17,0.15,0,24,0.9900041197743961,0.9612549519741185,0.9173289841115484,0.9411764705882353,-0.11764705882352941
N17_K+0.15_s0,17,0.15,0,25,0.9946896779554767,0.9789517612125509,0.9533576421586673,0.9411764705882353,-0.11764705882352941
N17_K+0.15_s0,17,0.15,0,26,0.9970445318485803,0.9882121825639975,0.9736046143383171,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,27,0.9947575581701237,0.9791431829953288,0.9534927642574207,1.0,0.058823529411764705
N17_K+0.15_s0,17,0.15,0,28,0.9931607592910734,0.972911322694604,0.9400430595912572,1.0,0.058823529411764705
N17_K+0.15_s0,17,0.15,0,29,0.996504895899718,0.9860699033124164,0.968845064683331,0.9411764705882353,-0.11764705882352941
N17_K+0.15_s0,17,0.15,0,30,0.9956439607245957,0.982634390963712,0.9611460652118372,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,31,0.9973954548117574,0.9896318398201916,0.9768579837105799,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,32,0.9931430202503486,0.9727164917134056,0.9391501812895019,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,33,0.9982501061836558,0.9930152064150142,0.9843394883992556,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,34,0.9943483474684912,0.9775020407644007,0.9497848029954447,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,35,0.9969578491799258,0.9878776737482183,0.9728974519138355,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,36,0.9957948236558347,0.9832359400852899,0.9624923753315597,0.9411764705882353,0.0
N17_K+0.15_s0,17,0.15,0,37,0.997489849001788,0.9899883996482819,0.9775822519947671,1.0,-0.058823529411764705
