block,representation,profile,concentration,a0,a1,a2,b1,b2,activity,a1_class,a1_ci_low,a1_ci_high
feature_block_1,intervals_n24_d6_o0,kappa_2,2.0,-0.09697287359560536,0.41841264577237014,0.23840748735661782,0.11274998415609769,-0.024918151519035894,0.9629629629629629,polar,0.1879945596581012,0.480496111228144
feature_block_1,intervals_n24_d6_o0,kappa_6,6.0,0.017774701413225055,0.19681253152539488,0.42364338864310913,0.24518378395853063,-0.024638225163681055,0.9722222222222222,unresolved,0.00673162804445335,0.3057181059895277
feature_block_1,intervals_n24_d6_o0,kappa_9,9.0,-0.12349438538701592,0.15429656998959507,0.37293443329287035,-0.013370547693766712,0.10778141687065214,0.9490740740740742,unresolved,-0.030783578543091605,0.27806133053325943
feature_block_1,intervals_n24_d6_o0,kappa_12,12.0,-0.13050506475373475,0.10587615284226408,0.3604077179136423,0.02809078627803311,-0.11137682139268429,0.9907407407407409,unresolved,-0.08001821350584809,0.23954065010989384
feature_block_1,intervals_n12_d6_o0,kappa_2,2.0,0.023199072571630244,0.3926532603621958,0.24370651647457117,0.3148419736723347,-0.3359126225201613,0.976851851851852,unresolved,0.1712483350262867,0.45549875971876896
feature_block_1,intervals_n12_d6_o0,kappa_6,6.0,-0.0546744922255573,-0.00810581569268899,0.33276848785585017,0.07724832245396258,-0.3360749049276152,0.9953703703703705,suppressed,-0.15881111480478985,0.1445224692995173
feature_block_1,intervals_n12_d6_o0,kappa_9,9.0,0.3340895409386325,-0.18002122730416661,0.5503231536515085,0.13698429218940977,-0.4690564953299826,1.0,unresolved,-0.279706951660691,-0.011426385455754449
feature_block_1,intervals_n12_d6_o0,kappa_12,12.0,0.46419195833632665,-0.22835212331942722,0.38578958188364176,0.05779401405632516,-0.4996505234133932,1.0,unresolved,-0.30445583262670267,-0.05936891976088813
feature_block_1,intervals_n18_d6_o0,kappa_2,2.0,-0.06851687739666111,0.11864597138499745,0.08242760948939931,0.17181606316452883,-0.18036162530744168,1.0,unresolved,-0.06698719236788968,0.2537484925789033
feature_block_1,intervals_n18_d6_o0,kappa_6,6.0,0.1679799141930025,-0.18510959234948393,-0.027833728585717945,-0.14156780991108844,-0.1907132255448882,1.0,unresolved,-0.29130178680527447,-0.003013144809479269
feature_block_1,intervals_n18_d6_o0,kappa_9,9.0,0.33944823280367054,-0.13171397706433924,0.23462388978844365,-0.22154627835266455,-0.34671889140581186,0.9953703703703705,unresolved,-0.24931865128795927,0.03558988167218924
feature_block_1,intervals_n18_d6_o0,kappa_12,12.0,0.3270651712265978,-0.12140858607902318,-0.08306164527529561,-0.06298215111490646,-0.17321933290898842,0.9768518518518517,unresolved,-0.239390608491748,0.05109137496985971
feature_block_1,intervals_n30_d6_o0,kappa_2,2.0,0.10658878544237312,0.5775456594031795,0.14073109613706944,0.3703420637055081,0.15039862880008298,1.0,polar,0.31972559763147246,0.6092490688569719
feature_block_1,intervals_n30_d6_o0,kappa_6,6.0,-0.256854721858682,0.4076214624731411,0.24213676446118326,0.10268321618518696,0.06146353532347218,1.0,polar,0.18043775008582236,0.46662424498844157
feature_block_1,intervals_n30_d6_o0,kappa_9,9.0,-0.04979638904204471,0.3178829801132627,0.4674188914563869,0.03590117644064802,0.26135093899794526,0.9814814814814815,unresolved,0.10698255376612924,0.3977726954253794
feature_block_1,intervals_n30_d6_o0,kappa_12,12.0,-0.11281059486777856,0.7119683242772042,0.20714129562660566,0.2610034986981367,0.04635070224027057,0.9537037037037037,polar,0.4351868874007658,0.698220133872884
feature_block_1,intervals_n36_d6_o0,kappa_2,2.0,-0.34068081891293034,0.8135386771792148,0.32456117590834704,0.39973699441416205,-0.11573303784343124,0.9814814814814814,polar,0.5204447949383015,0.7789064601977888
feature_block_1,intervals_n36_d6_o0,kappa_6,6.0,-0.4064431866178846,0.698679484645078,0.3286871815843762,0.34202675650624526,-0.006482101757295322,1.0,polar,0.4380892547612243,0.6787003097254807
feature_block_1,intervals_n36_d6_o0,kappa_9,9.0,-0.38303069144870816,0.5408705063312388,0.2105940583483822,0.30462099855050606,0.0688433691834263,0.9768518518518517,polar,0.29586501608997423,0.5708799971197727
feature_block_1,intervals_n36_d6_o0,kappa_12,12.0,-0.33585398773472486,0.7628298253526898,0.2636043703344638,0.35680040253308326,0.01886429305593951,0.9907407407407407,polar,0.47764639373580003,0.7382359062882332
feature_block_1,intervals_n48_d6_o0,kappa_2,2.0,-0.020563483444506425,1.1240636696320814,0.19451652848117057,0.10380751393518274,0.0032954779286681114,0.9953703703703705,polar,0.7857486574039367,1.005797483850053
feature_block_1,intervals_n48_d6_o0,kappa_6,6.0,-0.2281103103481679,0.9070148148233097,0.42742607192587556,0.5189466167568778,-0.09514074638849382,1.0,polar,0.6109658135399832,0.8357606163305565
feature_block_1,intervals_n48_d6_o0,kappa_9,9.0,-0.27318894745236805,0.9218439801731342,0.3502756973564469,0.32342704618511825,-0.05127843582287729,0.9814814814814815,polar,0.6130440654706236,0.8546482763624855
feature_block_1,intervals_n48_d6_o0,kappa_12,12.0,-0.3202669186612178,0.8461934589723972,0.32156797094418565,0.2952292631580177,-0.06929885990051152,1.0,polar,0.5590034180122722,0.7937596776225883
feature_block_1,centers_n24_d6_o0,kappa_2,2.0,-0.26204098047282454,0.7435918989733065,-0.09048058505051612,0.3638985226952053,0.06826259998494873,0.9814814814814815,polar,0.45745011181465517,0.7211450015459546
feature_block_1,centers_n24_d6_o0,kappa_6,6.0,-0.2952568139989371,0.09361588119053146,-0.12573179821618796,0.23149855390648977,0.16443303946230833,1.0,unresolved,-0.07206566987889172,0.22762034196973238
feature_block_1,centers_n24_d6_o0,kappa_9,9.0,-0.20757919398010521,-0.12613976101605606,0.22822529412059037,0.1564659038643293,0.12062416079293083,0.9814814814814815,unresolved,-0.23602053618497262,0.03502538117964496
