panel,run_id,n_agents,coupling,seed_index,llm_activity,llm_final_r1,llm_mean_r1,llm_t05,llm_t09,llm_tau,llm_p_stay,v1_activity,v1_final_r1,v1_mean_r1,v1_t05,v1_t09,v1_tau,v2_activity,v2_final_r1,v2_mean_r1,v2_t05,v2_t09,v2_tau,v1_pred_stay,v2_pred_stay,obs_stay_teacher,eA_v1,eA_v2,delta_e_A,er1_v1,er1_v2,delta_e_r1,et09_v1,et09_v2,delta_e_t09,etau_v1,etau_v2,delta_e_tau,estay_v1,estay_v2,delta_e_stay_teacher,locked_llm
v0.2b,N9_K+0.08_s2,9,0.08,2,0.9688888888888889,0.9978452950775236,0.8077596317511341,8.0,62.0,0.04888888888888889,0.03111111111111111,0.9294444444444445,0.8932045538267741,0.7384064633858187,13.625,50.2,0.028888888888888884,0.9872222222222223,0.8874290415236501,0.7601073154431726,10.25,44.25,0.021666666666666667,0.06743611435197133,0.009391006463379847,0.03111111111111111,0.03944444444444439,0.018333333333333424,0.02111111111111097,0.10464074125074951,0.11041625355387352,-0.0057755123031240085,11.799999999999997,17.75,-5.950000000000003,0.020000000000000007,0.027222222222222224,-0.007222222222222217,0.03632500324086022,0.02172010464773126,0.01460489859312896,1
v0.2b,N9_K+0.08_s3,9,0.08,3,0.9211111111111111,0.9985125940352403,0.9628476683351537,1.0,14.0,-0.052222222222222225,0.07888888888888888,0.9229166666666666,0.9084769143341376,0.801143711750497,8.0,28.8,-0.06625,0.9900000000000001,0.9685792728999151,0.8252810994153144,10.25,38.285714285714285,0.04638888888888888,0.07048094429574565,0.009041359754528216,0.07888888888888888,0.0018055555555555047,0.068888888888889,-0.0670833333333335,0.09003567970110271,0.029933321135325208,0.0601023585657775,14.8,24.285714285714285,-9.485714285714284,0.014027777777777778,0.09861111111111111,-0.08458333333333333,0.00840794459314323,0.06984752913436067,-0.06143958454121744,1
v0.2b,N9_K+0.1_s0,9,0.1,0,0.94,0.998226033612498,0.9025044336739666,9.0,22.0,-0.035555555555555556,0.06,0.9280555555555555,0.8604397824477905,0.753328390128386,10.375,34.25,-0.03694444444444444,0.9888888888888889,0.860573249264085,0.7480711134987517,9.125,40.5,-0.007222222222222224,0.07474505761188896,0.00800556181243734,0.06,0.011944444444444424,0.04888888888888898,-0.03694444444444456,0.13778625116470744,0.137652784348413,0.00013346681629444745,12.25,18.5,-6.25,0.001388888888888884,0.028333333333333332,-0.026944444444444448,0.014745057611888962,0.05199443818756266,-0.037249380575673695,1
v0.2b,N9_K+0.1_s1,9,0.1,1,0.9322222222222222,0.9983418525669803,0.9564124080617294,1.0,16.0,-0.07666666666666666,0.06777777777777778,0.9199999999999999,0.9361465031378771,0.8287360066459573,7.25,35.5,-0.06805555555555556,0.9884722222222222,0.914634477184096,0.8297024876212641,7.25,24.4,0.06819444444444445,0.06963978543758886,0.011866540050892735,0.06777777777777778,0.012222222222222245,0.05625000000000002,-0.04402777777777778,0.06219534942910321,0.08370737538288431,-0.0215120259537811,19.5,8.399999999999999,11.100000000000001,0.008611111111111097,0.1448611111111111,-0.13625,0.0018620076598110796,0.05591123772688505,-0.05404923006707397,1
v0.2b,N9_K+0.1_s2,9,0.1,2,0.9288888888888889,0.9977701231288448,0.9525242690309558,4.0,13.0,-0.011111111111111112,0.07111111111111111,0.9252777777777779,0.8740573974040617,0.7797760493740982,11.625,24.75,-0.013055555555555553,0.9891666666666667,0.9213019051098827,0.7669554166485721,18.375,26.6,-0.00805555555555557,0.07633332068030439,0.007843971009090624,0.07111111111111111,0.0036111111111110095,0.060277777777777874,-0.056666666666666865,0.12371272572478309,0.07646821801896209,0.047244507705821004,11.75,13.600000000000001,-1.8500000000000014,0.0019444444444444414,0.0030555555555555423,-0.001111111111111101,0.005222209569193281,0.06326714010202049,-0.05804493053282721,1
v0.2b,N9_K+0.1_s3,9,0.1,3,0.9377777777777778,0.9984716513572873,0.9116998461077478,4.0,27.0,-0.035555555555555556,0.06222222222222222,0.9159722222222222,0.9666550755817509,0.8121030795363036,13.0,41.57142857142857,-0.03208333333333333,0.9898611111111112,0.9413757784051916,0.8007826607418631,11.875,42.333333333333336,0.0029166666666666716,0.06684253420276941,0.009609886796078219,0.06222222222222222,0.021805555555555634,0.05208333333333337,-0.030277777777777737,0.031816575775536426,0.05709587295209573,-0.0252792971765593,14.57142857142857,15.333333333333336,-0.7619047619047663,0.0034722222222222238,0.03847222222222223,-0.035,0.004620311980547187,0.052612335426144005,-0.04799202344559682,1
v0.2b,N9_K+0.15_s0,9,0.15,0,0.9211111111111111,0.9946125374129646,0.9637437531465245,3.0,11.0,0.016666666666666666,0.07888888888888888,0.9163888888888889,0.9687586359075798,0.8621907917284983,9.125,28.142857142857142,-0.0275,0.9876388888888888,0.9125919976560616,0.8150901343222937,9.0,32.8,0.012083333333333331,0.07426066244756874,0.00813271396681689,0.07888888888888888,0.004722222222222183,0.06652777777777774,-0.06180555555555556,0.025853901505384802,0.08202053975690304,-0.05616663825151824,17.142857142857142,21.799999999999997,-4.657142857142855,0.04416666666666667,0.004583333333333335,0.03958333333333333,0.004628226441320146,0.070756174922072,-0.06612794848075185,1
v0.2b,N9_K+0.15_s1,9,0.15,1,0.9333333333333333,0.9965786212294294,0.9383811610691608,4.0,18.0,-0.08222222222222222,0.06666666666666667,0.9268055555555555,0.9092610287618061,0.8050010646798149,9.75,32.2,0.01263888888888889,0.9915277777777778,0.9387060732832992,0.8433371772112315,7.5,33.166666666666664,0.04930555555555556,0.07161238457487476,0.00927041178772162,0.06666666666666667,0.006527777777777799,0.05819444444444444,-0.05166666666666664,0.08731759246762327,0.05787254794613017,0.029445044521493102,14.200000000000003,15.166666666666664,-0.9666666666666615,0.09486111111111112,0.1315277777777778,-0.03666666666666668,0.004945717908208094,0.05739625487894505,-0.052450536970736955,1
v0.2b,N9_K+0.15_s2,9,0.15,2,0.9266666666666666,0.9972880630800072,0.959970712636144,2.0,12.0,-0.04666666666666667,0.07333333333333333,0.9254166666666666,0.9648048952747623,0.8796484112862546,4.625,30.142857142857142,-0.041805555555555554,0.9898611111111111,0.9125280838943541,0.8588946888494526,4.625,17.2,0.018472222222222223,0.07219634408606579,0.008729154278944174,0.07333333333333333,0.0012500000000000844,0.06319444444444444,-0.06194444444444436,0.03248316780524485,0.08475997918565303,-0.052276811380408184,18.142857142857142,5.199999999999999,12.942857142857143,0.004861111111111115,0.06513888888888889,-0.06027777777777777,0.0011369892472675447,0.06460417905438916,-0.06346718980712161,1
v0.2b,N9_K+0.15_s3,9,0.15,3,0.9233333333333333,0.9974029245352132,0.957828151881014,4.0,10.0,-0.0077777777777777776,0.07666666666666666,0.9238888888888889,0.9367945037643037,0.8246032612192997,8.25,37.666666666666664,-0.032222222222222215,0.9877777777777778,0.9664696520200112,0.8661649161375017,6.875,31.142857142857142,0.04305555555555555,0.07682604275973258,0.008835971395727114,0.07666666666666666,0.0005555555555555314,0.06444444444444442,-0.06388888888888888,0.060608420770909444,0.03093327251520195,0.029675148255707495,27.666666666666664,21.142857142857142,6.523809523809522,0.024444444444444435,0.05083333333333333,-0.026388888888888892,0.00015937609306591882,0.06783069527093954,-0.06767131917787363,1
