run_id,n_agents,coupling,seed_index,bundle,llm_final_r1,llm_mean_r1,llm_activity,llm_t05,llm_t09,llm_tau,llm_p_stay,surr_final_r1,surr_mean_r1,surr_activity,surr_t05,surr_t09,surr_tau,err_final_r1,err_activity,err_t09
N9_K+0_s1,9,0.0,1,v1,0.1100712769032266,0.19606730052316432,0.9977777777777778,nan,nan,0.051111111111111114,0.0022222222222222222,0.2771391699557758,0.345583157452105,0.841111111111111,26.0,nan,-0.09166666666666667,-0.1670678930525492,0.15666666666666673,nan
N9_K+0_s1,9,0.0,1,v2,0.1100712769032266,0.19606730052316432,0.9977777777777778,nan,nan,0.051111111111111114,0.0022222222222222222,0.2771391699557758,0.345583157452105,0.9845833333333333,26.0,nan,-0.20625,-0.1670678930525492,0.013194444444444509,nan
N9_K+0_s2,9,0.0,2,v1,0.34602097552997685,0.33469746335156075,1.0,nan,nan,0.042222222222222223,0.0,0.2827955177204776,0.31674181139827456,0.8283333333333334,30.0,nan,-0.10305555555555557,0.06322545780949923,0.17166666666666663,nan
N9_K+0_s2,9,0.0,2,v2,0.34602097552997685,0.33469746335156075,1.0,nan,nan,0.042222222222222223,0.0,0.2827955177204776,0.31674181139827456,0.9852777777777778,30.0,nan,-0.2227777777777778,0.06322545780949923,0.014722222222222192,nan
N9_K+0_s3,9,0.0,3,v1,0.22696196071889024,0.2544375274149744,0.9988888888888889,nan,nan,0.1388888888888889,0.0011111111111111111,0.37113612997046924,0.2706373398143839,0.8147222222222223,58.0,nan,-0.11944444444444444,-0.144174169251579,0.1841666666666666,nan
N9_K+0_s3,9,0.0,3,v2,0.22696196071889024,0.2544375274149744,0.9988888888888889,nan,nan,0.1388888888888889,0.0011111111111111111,0.37113612997046924,0.2706373398143839,0.9702777777777778,58.0,nan,-0.24722222222222223,-0.144174169251579,0.028611111111111143,nan
N9_K+0.06_s0,9,0.06,0,v1,0.9974282993527716,0.879572286022715,0.9766666666666667,4.0,44.0,0.058888888888888886,0.023333333333333334,0.7832855189024244,0.6663675683905312,0.8977777777777778,23.142857142857142,39.0,0.018333333333333337,0.21414278045034718,0.0788888888888889,5.0
N9_K+0.06_s0,9,0.06,0,v2,0.9974282993527716,0.879572286022715,0.9766666666666667,4.0,44.0,0.058888888888888886,0.023333333333333334,0.8388942240043127,0.6666508818864328,0.9877777777777778,24.0,38.0,-0.028888888888888895,0.15853407534845887,-0.011111111111111072,6.0
N9_K+0.06_s1,9,0.06,1,v1,0.9994202285490421,0.8406802108030326,0.9688888888888889,14.0,36.0,0.04888888888888889,0.03111111111111111,0.7681717282672196,0.6536426918068853,0.9043055555555556,22.714285714285715,37.0,-0.010138888888888888,0.23124850028182253,0.06458333333333333,-1.0
N9_K+0.06_s1,9,0.06,1,v2,0.9994202285490421,0.8406802108030326,0.9688888888888889,14.0,36.0,0.04888888888888889,0.03111111111111111,0.7999170262346369,0.6920741022043765,0.9844444444444445,13.428571428571429,46.0,-0.011388888888888893,0.19950320231440521,-0.015555555555555545,-10.0
N9_K+0.06_s2,9,0.06,2,v1,0.9981409496873731,0.8589147170584575,0.9466666666666667,1.0,55.0,0.03111111111111111,0.05333333333333334,0.8811576871707989,0.7418735069929484,0.9180555555555555,17.125,46.5,0.01472222222222223,0.1169832625165742,0.028611111111111143,8.5
N9_K+0.06_s2,9,0.06,2,v2,0.9981409496873731,0.8589147170584575,0.9466666666666667,1.0,55.0,0.03111111111111111,0.05333333333333334,0.9497949459400283,0.7706211712528672,0.9891666666666666,14.0,47.5,0.004166666666666659,0.04834600374734477,-0.04249999999999998,7.5
N9_K+0.06_s3,9,0.06,3,v1,0.9986667559655904,0.8705436288265972,0.9588888888888889,11.0,29.0,-0.03666666666666667,0.04111111111111111,0.8067612689580288,0.6301624493441877,0.9204166666666665,23.125,69.0,0.022361111111111106,0.1919054870075616,0.03847222222222235,-40.0
N9_K+0.06_s3,9,0.06,3,v2,0.9986667559655904,0.8705436288265972,0.9588888888888889,11.0,29.0,-0.03666666666666667,0.04111111111111111,0.8733486598497961,0.6760561170329957,0.9872222222222222,23.5,64.75,-0.013055555555555563,0.12531809611579425,-0.02833333333333332,-35.75
N9_K+0.08_s0,9,0.08,0,v1,0.998931566889625,0.9125135548426552,0.9433333333333334,1.0,35.0,0.04111111111111111,0.056666666666666664,0.8854023537643521,0.7509773159618828,0.9245833333333333,12.25,51.25,0.015138888888888886,0.11352921312527298,0.018750000000000044,-16.25
N9_K+0.08_s0,9,0.08,0,v2,0.998931566889625,0.9125135548426552,0.9433333333333334,1.0,35.0,0.04111111111111111,0.056666666666666664,0.9413528877477491,0.8023184261582588,0.9904166666666667,9.375,45.0,0.04763888888888888,0.05757867914187598,-0.047083333333333366,-10.0
N9_K+0.08_s1,9,0.08,1,v1,0.9983399146372719,0.9366254255890777,0.9266666666666666,6.0,15.0,-0.024444444444444446,0.07333333333333333,0.9110233295487755,0.7069338025500513,0.915,23.125,53.6,-0.029166666666666667,0.08731658508849638,0.011666666666666603,-38.6
N9_K+0.08_s1,9,0.08,1,v2,0.9983399146372719,0.9366254255890777,0.9266666666666666,6.0,15.0,-0.024444444444444446,0.07333333333333333,0.8864152935340217,0.7069428553621249,0.9886111111111112,20.625,56.75,0.005833333333333323,0.11192462110325019,-0.06194444444444458,-41.75
N9_K+0.08_s2,9,0.08,2,v1,0.9978452950775236,0.8077596317511341,0.9688888888888889,8.0,62.0,0.04888888888888889,0.03111111111111111,0.8932045538267741,0.7384064633858187,0.9294444444444445,13.625,50.2,0.028888888888888884,0.10464074125074951,0.03944444444444439,11.799999999999997
N9_K+0.08_s2,9,0.08,2,v2,0.9978452950775236,0.8077596317511341,0.9688888888888889,8.0,62.0,0.04888888888888889,0.03111111111111111,0.8874290415236501,0.7601073154431726,0.9872222222222223,10.25,44.25,0.021666666666666667,0.11041625355387352,-0.018333333333333424,17.75
N9_K+0.08_s3,9,0.08,3,v1,0.9985125940352403,0.9628476683351537,0.9211111111111111,1.0,14.0,-0.052222222222222225,0.07888888888888888,0.9084769143341376,0.801143711750497,0.9229166666666666,8.0,28.8,-0.06625,0.09003567970110271,-0.0018055555555555047,-14.8
N9_K+0.08_s3,9,0.08,3,v2,0.9985125940352403,0.9628476683351537,0.9211111111111111,1.0,14.0,-0.052222222222222225,0.07888888888888888,0.9685792728999151,0.8252810994153144,0.9900000000000001,10.25,38.285714285714285,0.04638888888888888,0.029933321135325208,-0.068888888888889,-24.285714285714285
N9_K+0.1_s0,9,0.1,0,v1,0.998226033612498,0.9025044336739666,0.94,9.0,22.0,-0.035555555555555556,0.06,0.8604397824477905,0.753328390128386,0.9280555555555555,10.375,34.25,-0.03694444444444444,0.13778625116470744,0.011944444444444424,-12.25
N9_K+0.1_s0,9,0.1,0,v2,0.998226033612498,0.9025044336739666,0.94,9.0,22.0,-0.035555555555555556,0.06,0.860573249264085,0.7480711134987517,0.9888888888888889,9.125,40.5,-0.007222222222222224,0.137652784348413,-0.04888888888888898,-18.5
N9_K+0.1_s1,9,0.1,1,v1,0.9983418525669803,0.9564124080617294,0.9322222222222222,1.0,16.0,-0.07666666666666666,0.06777777777777778,0.9361465031378771,0.8287360066459573,0.9199999999999999,7.25,35.5,-0.06805555555555556,0.06219534942910321,0.012222222222222245,-19.5
N9_K+0.1_s1,9,0.1,1,v2,0.9983418525669803,0.9564124080617294,0.9322222222222222,1.0,16.0,-0.07666666666666666,0.06777777777777778,0.914634477184096,0.8297024876212641,0.9884722222222222,7.25,24.4,0.06819444444444445,0.08370737538288431,-0.05625000000000002,-8.399999999999999
N9_K+0.1_s2,9,0.1,2,v1,0.9977701231288448,0.9525242690309558,0.9288888888888889,4.0,13.0,-0.011111111111111112,0.07111111111111111,0.8740573974040617,0.7797760493740982,0.9252777777777779,11.625,24.75,-0.013055555555555553,0.12371272572478309,0.0036111111111110095,-11.75
N9_K+0.1_s2,9,0.1,2,v2,0.9977701231288448,0.9525242690309558,0.9288888888888889,4.0,13.0,-0.011111111111111112,0.07111111111111111,0.9213019051098827,0.7669554166485721,0.9891666666666667,18.375,26.6,-0.00805555555555557,0.07646821801896209,-0.060277777777777874,-13.600000000000001
