n_agents,coupling,n_seeds,n_steps,final_r1_mean,final_r1_p10,final_r1_p50,final_r1_p90,mean_r1_mean,p_final_r1_gt_0.5,p_final_r1_gt_0.9,envelope_note
9,0.22,16,100,0.983822445198838,0.9658994704807615,0.9889685347416413,0.9928880218521159,0.8964612517247845,1.0,1.0,attenuated_v1_conservative
9,0.24,16,100,0.9843615459037705,0.9720381281806441,0.9869696967010242,0.9929504072427969,0.934704804167021,1.0,1.0,attenuated_v1_conservative
9,0.26,16,100,0.9817905161830135,0.9688791786360018,0.9850879424298621,0.9920188608468821,0.9042029610799607,1.0,1.0,attenuated_v1_conservative
9,0.28,16,100,0.9798389910437049,0.9662779173609936,0.9822796750949523,0.9891004437157479,0.9252306703541775,1.0,1.0,attenuated_v1_conservative
9,0.3,16,100,0.9755092228188249,0.9650638223604053,0.975672730650305,0.9860479413748229,0.922077963455568,1.0,1.0,attenuated_v1_conservative
17,-0.2,16,100,0.1053654626594982,0.051688669165055004,0.09297720312884632,0.1870682931240054,0.09525517156167587,0.0,0.0,attenuated_v1_conservative
17,-0.15,16,100,0.10334614243715101,0.044281382408693684,0.10080343173409852,0.1820981144906732,0.09992812011921201,0.0,0.0,attenuated_v1_conservative
17,-0.1,16,100,0.11885970356267729,0.04644276473044579,0.10402532501590174,0.20131495476876787,0.12935667623575112,0.0,0.0,attenuated_v1_conservative
17,-0.05,16,100,0.09464221649767321,0.02946783964236971,0.08214838876652697,0.19420272373221714,0.13213719385240397,0.0,0.0,attenuated_v1_conservative
17,0.0,16,100,0.2709686520999771,0.16043855581793592,0.27947737848070653,0.3824742823222492,0.20465109865061618,0.0,0.0,attenuated_v1_conservative
17,0.02,16,100,0.26157603179852923,0.07218084376814676,0.22790460218170472,0.4845574824097096,0.3164860477885608,0.125,0.0,attenuated_v1_conservative
17,0.04,16,100,0.524353214415676,0.34622072931099757,0.5220548833594831,0.685669456695806,0.37807604181083315,0.5,0.0,attenuated_v1_conservative
17,0.06,16,100,0.7841374926281206,0.6003930405400415,0.8026955711302073,0.9301163891271054,0.5664728686919077,1.0,0.1875,attenuated_v1_conservative
17,0.08,16,100,0.886297919055762,0.7657899675114135,0.8885504568553392,0.9868506938028253,0.6503234523268396,1.0,0.4375,attenuated_v1_conservative
17,0.1,16,100,0.9215311048753158,0.8342088706395787,0.9288374404239086,0.9943113792896697,0.7437850286345669,1.0,0.5,attenuated_v1_conservative
17,0.12,16,100,0.938621050086123,0.8655188487390907,0.9873034490270396,0.9956745155486448,0.7812537953444464,1.0,0.625,attenuated_v1_conservative
17,0.14,16,100,0.9689661176733888,0.9021905258408651,0.9904292070113876,0.994745546828189,0.8226588630448969,1.0,0.875,attenuated_v1_conservative
17,0.16,16,100,0.9737154020269534,0.9214099682863145,0.9880280044413216,0.993186314475232,0.849439305842496,1.0,0.875,attenuated_v1_conservative
17,0.18,16,100,0.9885228320817862,0.984334416660188,0.9885840736655729,0.9925576749755052,0.8499626561791918,1.0,1.0,attenuated_v1_conservative
17,0.2,16,100,0.9640573529464345,0.8749758755755161,0.9857755638635505,0.9907106924313306,0.8618544551721168,1.0,0.8125,attenuated_v1_conservative
17,0.22,16,100,0.9715063065707029,0.9774527860795679,0.9834501129883781,0.9907792790858905,0.8634489713937636,1.0,0.9375,attenuated_v1_conservative
17,0.24,16,100,0.9697196189688455,0.931700350291656,0.9813595738653489,0.9875372933746656,0.882530136391479,1.0,0.875,attenuated_v1_conservative
17,0.26,16,100,0.9825337373914806,0.9752983481934474,0.9831121457894443,0.9882095166544664,0.888807224608784,1.0,1.0,attenuated_v1_conservative
17,0.28,16,100,0.9755462222586333,0.961768018670467,0.9789036717281483,0.9849055373453695,0.8647247704144922,1.0,1.0,attenuated_v1_conservative
17,0.3,16,100,0.9786051195238583,0.9697063736527012,0.9806563092012176,0.9870012536721284,0.9026109508469184,1.0,1.0,attenuated_v1_conservative
