run_id,n_agents,coupling,seed_index,t,r1,r2,r3,activity,tau_social
N17_K+0_s0,17,0.0,0,92,0.3498261786157573,0.17009966394083303,0.035886219941194654,1.0,0.058823529411764705
N17_K+0_s0,17,0.0,0,93,0.349084349623108,0.19012982273838075,0.046248202056756386,1.0,-0.058823529411764705
N17_K+0_s0,17,0.0,0,94,0.34822023402676217,0.21011945309453472,0.0786567538040085,1.0,0.058823529411764705
N17_K+0_s0,17,0.0,0,95,0.3472332317107224,0.229499733925812,0.11463753765758276,1.0,0.17647058823529413
N17_K+0_s0,17,0.0,0,96,0.3461230819717196,0.2478440169117637,0.15025929417310463,1.0,0.17647058823529413
N17_K+0_s0,17,0.0,0,97,0.34488985386557297,0.26482062725840205,0.18427967898537412,1.0,0.17647058823529413
N17_K+0_s0,17,0.0,0,98,0.34353393545106015,0.2801645589165072,0.21602828157346649,1.0,-0.058823529411764705
N17_K+0_s0,17,0.0,0,99,0.3420560220831937,0.2936605898929577,0.24503073791593946,1.0,0.058823529411764705
N17_K+0_s0,17,0.0,0,100,0.34045710390617334,0.3051331451711161,0.27091310513713956,nan,nan
N17_K+0_s1,17,0.0,1,0,0.08973332790401282,0.11786897902619978,0.07004027286011318,1.0,-0.058823529411764705
N17_K+0_s1,17,0.0,1,1,0.09209495995349451,0.10919485877750244,0.08155821515779735,1.0,0.058823529411764705
N17_K+0_s1,17,0.0,1,2,0.0943964473512104,0.1044640906700221,0.10104269295566184,1.0,0.058823529411764705
N17_K+0_s1,17,0.0,1,3,0.09663657543818018,0.10367131239803151,0.12430074049343225,1.0,0.058823529411764705
N17_K+0_s1,17,0.0,1,4,0.09881351588255967,0.1063345685683542,0.14874321433127854,1.0,-0.29411764705882354
N17_K+0_s1,17,0.0,1,5,0.10092483876622242,0.11164572680109142,0.17284498620815542,1.0,-0.058823529411764705
N17_K+0_s1,17,0.0,1,6,0.10296753258782007,0.11872011862800998,0.1956182229225512,1.0,-0.058823529411764705
N17_K+0_s1,17,0.0,1,7,0.10493803136407434,0.12677794277398013,0.21635968058812513,1.0,0.058823529411764705
N17_K+0_s1,17,0.0,1,8,0.10683224797875185,0.1352108080991786,0.23454227917326095,1.0,0.058823529411764705
N17_K+0_s1,17,0.0,1,9,0.10864561291318794,0.14357551051435016,0.24976972572559328,1.0,0.058823529411764705
N17_K+0_s1,17,0.0,1,10,0.11037311749465659,0.15156226150223925,0.26175870138464663,1.0,0.058823529411764705
N17_K+0_s1,17,0.0,1,11,0.11200936081880054,0.1589617673784024,0.2703335659859113,1.0,0.058823529411764705
N17_K+0_s1,17,0.0,1,12,0.11354859953797758,0.16563887470280672,0.2754269993392227,1.0,-0.058823529411764705
N17_K+0_s1,17,0.0,1,13,0.11498479975622242,0.17151333681160588,0.27708361593307146,1.0,0.058823529411764705
